frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,5.428400,0.396608,36.645909,0.953033,37.297241,37.254179
17,0.300006,5.119300,0.396128,36.763928,0.953685,37.696121,37.518482
18,0.316673,5.323300,0.396320,36.757524,0.953206,37.807456,37.731175
19,0.333340,5.088500,0.394784,36.791012,0.953177,38.237085,38.042544
20,0.350007,5.332400,0.397312,36.921942,0.954373,37.936942,37.852402
21,0.366674,4.944500,0.395968,36.906607,0.954419,38.395225,38.305627
22,0.383341,5.090900,0.394720,36.929292,0.954555,38.337860,38.286264
23,0.400008,4.882200,0.394432,37.076356,0.955743,39.169234,38.938038
24,0.416675,4.933500,0.396960,37.002279,0.955802,38.592409,38.504628
25,0.433342,4.596800,0.397120,37.039159,0.956446,38.982523,38.937759
26,0.450009,5.257100,0.398720,37.020136,0.956285,38.687258,38.607298
27,0.466676,4.808800,0.397344,37.117295,0.956779,38.979421,38.777617
28,0.483343,5.097700,0.398048,37.211934,0.957930,38.512363,38.350113
29,0.500010,4.942000,0.396832,37.176782,0.958051,39.102964,38.960046
30,0.516677,5.245900,0.397440,37.243086,0.958576,39.093510,38.975833
31,0.533344,4.974000,0.402528,37.105900,0.958171,39.317128,38.992874
32,0.550011,5.082900,0.399776,37.132941,0.958915,38.150959,38.066194
33,0.566678,4.600800,0.402336,37.314141,0.960033,38.729828,38.471376
34,0.583345,4.994300,0.405120,37.277878,0.960112,38.132784,37.886925
35,0.600012,4.863600,0.402976,37.463391,0.961576,38.728371,38.522965
36,0.616679,5.325400,0.399552,37.375380,0.961131,38.570567,38.511001
37,0.633346,4.875200,0.631616,37.380386,0.961602,39.093384,38.865575
38,0.650013,5.060400,0.593024,37.387586,0.962272,38.281705,38.284083
39,0.666680,5.105100,0.399392,37.315775,0.962541,39.069347,38.891185
40,0.683347,5.136300,0.403584,37.504793,0.962912,38.629778,38.398130
41,0.700014,4.917000,0.404768,37.591404,0.964543,39.367212,38.850080
42,0.716681,5.209600,0.406336,37.589469,0.964880,38.081437,37.669897
43,0.733348,4.710300,0.405952,37.569685,0.965307,38.717054,38.288745
44,0.750015,4.988200,0.406976,37.572345,0.965612,37.962517,37.692727
45,0.766682,4.876400,0.406880,37.569865,0.966136,38.500027,38.101930
46,0.783349,5.153200,0.404896,37.713770,0.967663,37.410923,37.213901
47,0.800016,4.864900,0.687904,37.563597,0.967981,37.724407,37.601091
48,0.816683,5.571600,0.406208,37.605208,0.968506,37.303139,37.195718
49,0.833350,4.979900,0.406336,37.557334,0.968542,37.638639,37.243525
50,0.850017,5.102600,0.405856,37.543261,0.969126,36.144775,36.398270
51,0.866684,5.363400,0.404704,37.868918,0.970564,37.101974,37.002291
52,0.883351,5.618200,0.407808,37.832247,0.971063,36.375818,36.346587
53,0.900018,5.091900,0.406624,37.882605,0.972009,29.564504,29.579060
54,0.916685,5.288200,0.407488,36.867991,0.965306,21.527942,21.521209
55,0.933352,4.859000,0.398848,36.643449,0.961603,20.979101,20.950712
56,0.950019,5.170400,0.389280,36.641333,0.964817,20.140306,20.122358
57,0.966686,5.160100,0.378176,36.919946,0.969518,21.656146,21.607104
58,0.983353,5.188900,0.365792,37.215792,0.973764,24.052920,23.970339
59,1.000020,4.831600,0.359776,37.446351,0.979305,25.971681,25.778413
60,1.016687,5.387300,0.364384,37.998858,0.982015,27.702530,27.552877
61,1.033354,5.037900,0.362976,37.928903,0.978393,25.051553,24.963936
62,1.050021,4.920300,0.363008,36.805990,0.963643,22.020633,21.967876
63,1.066688,5.030000,0.369888,35.921871,0.948905,20.387784,20.374281
64,1.083355,5.257100,0.367360,34.092730,0.938045,19.756064,19.757274
65,1.100022,4.740400,0.375328,33.196205,0.933874,21.517713,21.509235
66,1.116689,5.238700,0.393248,33.761677,0.939209,23.383171,23.526311
67,1.133356,4.951000,0.685184,33.828640,0.938473,24.617327,24.681602
68,1.150023,4.985500,0.562144,33.830014,0.937289,25.612021,25.558698
69,1.166690,4.806500,0.404768,33.916846,0.937110,27.109874,27.080846
70,1.183357,11.791300,0.400032,33.752646,0.935475,32.390430,32.108634
71,1.200024,5.163500,0.401344,33.815290,0.935448,32.507542,32.249103
72,1.216691,5.671200,0.400064,33.729305,0.934081,32.719548,32.479835
73,1.233358,5.114100,0.422016,33.766708,0.934056,32.807419,32.612707
74,1.250025,5.174800,0.629152,33.794536,0.933912,33.343963,33.047849
75,1.266692,4.903200,0.562656,33.646485,0.932701,33.337999,33.062970
76,1.283359,5.059500,0.547328,33.661209,0.932824,33.437620,33.146117
77,1.300026,4.802300,0.567072,33.674783,0.932889,33.419619,33.126274
78,1.316693,4.982700,0.425088,33.620514,0.931957,33.647451,33.373997
79,1.333360,4.555100,0.407040,33.530264,0.930556,33.594413,33.345609
80,1.350027,4.735500,0.405760,33.586824,0.930763,33.631527,33.509076
81,1.366694,4.783000,0.403808,33.667818,0.931321,33.788308,33.495134
82,1.383361,5.142100,0.406112,33.799361,0.932763,33.884658,33.675008
83,1.400028,4.776400,0.664864,33.728200,0.931742,33.799725,33.608282
84,1.416695,5.009600,0.405760,33.797040,0.931904,33.997204,33.736897
85,1.433362,5.000800,0.537792,33.713226,0.930480,33.936966,33.767642
86,1.450029,4.844100,0.404416,33.733671,0.929960,34.244088,34.056785
87,1.466696,4.570600,0.404864,33.758051,0.930417,34.160743,33.971227
88,1.483363,4.931900,0.404320,33.737271,0.929337,34.304774,34.087926
89,1.500030,4.400000,0.401504,33.847494,0.930140,34.353792,34.157246
90,1.516697,14.163700,0.400064,33.863489,0.930050,34.503165,34.429570
91,1.533364,4.729700,0.670784,33.945600,0.930645,34.490331,34.382156
92,1.550031,4.835900,0.416224,33.969419,0.931003,34.900947,34.718618
93,1.566698,10.709400,0.562944,33.909771,0.929710,34.749628,34.639764
94,1.583365,5.361800,0.400000,33.993647,0.930123,34.851908,34.725732
95,1.600032,5.491800,0.420928,34.051380,0.930473,34.838935,34.693082
96,1.616699,4.824100,0.442784,34.032307,0.929807,35.173666,35.058326
97,1.633366,4.866400,0.439456,33.911509,0.927914,35.165259,35.060444
98,1.650033,4.994500,0.403264,33.948960,0.928117,35.293383,35.303194
99,1.666700,4.540200,0.407200,34.132213,0.929352,35.433060,35.365642
100,1.683367,5.020300,0.404064,34.255188,0.930828,35.784448,35.624365
101,1.700034,5.700700,0.400640,34.179235,0.929909,35.745073,35.645766
102,1.716701,4.969400,0.437056,34.331457,0.931284,35.841901,35.832686
103,1.733368,4.784700,0.397824,34.203174,0.929797,35.702448,35.692100
104,1.750035,5.397200,0.428160,34.146226,0.928570,35.972676,35.951578
105,1.766702,5.052700,0.639296,34.251219,0.929656,35.953156,35.997304
106,1.783369,4.980300,0.400832,34.172992,0.928051,35.952046,36.022428
