frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,5.298800,0.589312,36.667005,0.953676,37.052617,37.254179
17,0.300006,4.924200,0.397376,36.806116,0.954526,37.452944,37.518482
18,0.316673,5.281900,0.564576,36.800506,0.954075,37.523343,37.731175
19,0.333340,4.917100,0.395520,36.832608,0.953920,37.960843,38.042544
20,0.350007,5.187300,0.395520,36.957185,0.955030,37.677362,37.852402
21,0.366674,4.935900,0.396704,36.943769,0.955065,38.084472,38.305627
22,0.383341,5.179600,0.398240,36.953684,0.955214,38.038906,38.286264
23,0.400008,4.835700,0.395744,37.105533,0.956292,38.825295,38.938038
24,0.416675,4.818900,0.398784,37.054703,0.956395,38.289463,38.504628
25,0.433342,4.576100,0.398464,37.075642,0.956974,38.657011,38.937759
26,0.450009,5.274900,0.396992,37.067789,0.957049,38.345976,38.607298
27,0.466676,4.967900,0.689600,37.156072,0.957456,38.670286,38.777617
28,0.483343,5.043700,0.395008,37.240732,0.958426,38.251539,38.350113
29,0.500010,4.828600,0.397440,37.190402,0.958388,38.798465,38.960046
30,0.516677,5.082400,0.395520,37.249838,0.958898,38.775961,38.975833
31,0.533344,4.853600,0.397344,37.118468,0.958615,38.984874,38.992874
32,0.550011,5.024500,0.397536,37.167373,0.959488,37.883627,38.066194
33,0.566678,4.582100,0.399648,37.327636,0.960441,38.478461,38.471376
34,0.583345,4.979200,0.399840,37.287501,0.960539,37.890919,37.886925
35,0.600012,4.895000,0.404576,37.500505,0.962133,38.494791,38.522965
36,0.616679,5.314900,0.397216,37.409289,0.961590,38.300819,38.511001
37,0.633346,4.937400,0.632384,37.405690,0.962011,38.826478,38.865575
38,0.650013,5.225200,0.623904,37.393475,0.962575,38.029748,38.284083
39,0.666680,5.361100,0.400256,37.301203,0.962872,38.769647,38.891185
40,0.683347,5.235500,0.404224,37.518827,0.963261,38.397960,38.398130
41,0.700014,4.937600,0.405856,37.587834,0.964799,39.121636,38.850080
42,0.716681,5.471200,0.405888,37.581077,0.965150,37.868677,37.669897
43,0.733348,5.123700,0.406528,37.568499,0.965635,38.484573,38.288745
44,0.750015,5.305500,0.405952,37.583937,0.965972,37.747966,37.692727
45,0.766682,5.213200,0.406304,37.555045,0.966375,38.314432,38.101930
46,0.783349,5.439200,0.404736,37.688879,0.967935,37.265455,37.213901
47,0.800016,4.977100,0.410720,37.538945,0.968232,37.571568,37.601091
48,0.816683,5.306500,0.406656,37.582282,0.968695,37.187308,37.195718
49,0.833350,5.170800,0.407296,37.530224,0.968759,37.495897,37.243525
50,0.850017,5.400300,0.404992,37.531453,0.969320,36.067453,36.398270
51,0.866684,5.145200,0.406272,37.849072,0.970714,37.015999,37.002291
52,0.883351,5.449900,0.405664,37.817398,0.971298,36.267280,36.346587
53,0.900018,5.150900,0.406368,37.856531,0.972273,29.545383,29.579060
54,0.916685,5.404600,0.405728,36.755406,0.965197,21.519018,21.521209
55,0.933352,5.427300,0.400128,36.531381,0.961281,20.970494,20.950712
56,0.950019,5.311800,0.391200,36.493097,0.964087,20.132178,20.122358
57,0.966686,5.152900,0.376640,36.772046,0.969084,21.648127,21.607104
