frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.937500,0.397536,36.626337,0.952878,37.309229,37.254179
17,0.300006,4.792800,0.396960,36.742168,0.953521,37.708355,37.518482
18,0.316673,5.387200,0.397696,36.734834,0.953031,37.818266,37.731175
19,0.333340,4.856300,0.398688,36.769572,0.953008,38.254883,38.042544
20,0.350007,5.274300,0.397312,36.900232,0.954243,37.949297,37.852402
21,0.366674,5.038200,0.399328,36.884013,0.954261,38.410872,38.305627
22,0.383341,5.109000,0.397088,36.906346,0.954394,38.350651,38.286264
23,0.400008,4.985700,0.394944,37.051920,0.955571,39.187949,38.938038
24,0.416675,5.335500,0.398528,36.980072,0.955679,38.610216,38.504628
25,0.433342,4.819600,0.396896,37.018981,0.956300,39.006213,38.937759
26,0.450009,4.840300,0.400640,36.996334,0.956111,38.699849,38.607298
27,0.466676,4.650600,0.402048,37.093517,0.956607,38.997276,38.777617
28,0.483343,5.136000,0.396832,37.189431,0.957778,38.530482,38.350113
29,0.500010,4.652400,0.396800,37.150624,0.957883,39.121076,38.960046
30,0.516677,5.134600,0.587808,37.214595,0.958387,39.103302,38.975833
31,0.533344,4.948900,0.398016,37.081702,0.958003,39.336158,38.992874
32,0.550011,5.171600,0.396416,37.111494,0.958793,38.165580,38.066194
33,0.566678,4.851600,0.402496,37.288706,0.959872,38.744656,38.471376
34,0.583345,5.254800,0.397984,37.252476,0.959944,38.141591,37.886925
35,0.600012,4.671900,0.400160,37.436767,0.961408,38.737528,38.522965
36,0.616679,4.969200,0.398816,37.349232,0.960962,38.575665,38.511001
37,0.633346,4.908000,0.400704,37.355166,0.961439,39.107591,38.865575
38,0.650013,5.217900,0.401312,37.361604,0.962112,38.283260,38.284083
39,0.666680,5.014700,0.668480,37.293268,0.962402,39.078320,38.891185
40,0.683347,5.418400,0.404064,37.481843,0.962764,38.634226,38.398130
41,0.700014,4.909200,0.404544,37.567919,0.964397,39.378713,38.850080
42,0.716681,5.079100,0.405632,37.567798,0.964757,38.082158,37.669897
43,0.733348,5.014000,0.406656,37.550515,0.965182,38.727989,38.288745
44,0.750015,5.420100,0.407904,37.551551,0.965472,37.966635,37.692727
45,0.766682,5.013100,0.409408,37.549025,0.965985,38.501709,38.101930
46,0.783349,5.338700,0.407392,37.692523,0.967530,37.406970,37.213901
47,0.800016,4.936900,0.409536,37.541721,0.967847,37.723284,37.601091
48,0.816683,5.152400,0.407776,37.581898,0.968368,37.295264,37.195718
49,0.833350,4.789900,0.409344,37.537068,0.968417,37.639378,37.243525
50,0.850017,5.063400,0.407040,37.526090,0.969003,36.139473,36.398270
51,0.866684,4.730000,0.406112,37.851234,0.970458,37.102839,37.002291
52,0.883351,5.431900,0.411584,37.814405,0.970944,36.370200,36.346587
53,0.900018,5.100300,0.675840,37.867059,0.971899,29.564615,29.579060
54,0.916685,5.352500,0.407680,36.855905,0.965233,21.527947,21.521209
55,0.933352,5.033300,0.402944,36.634598,0.961545,20.979424,20.950712
56,0.950019,5.748000,0.388096,36.636163,0.964794,20.140395,20.122358
57,0.966686,4.807100,0.377792,36.916434,0.969495,21.657396,21.607104
58,0.983353,5.056900,0.363424,37.198764,0.973731,24.059258,23.970339
59,1.000020,5.068800,0.358048,37.443254,0.979258,25.972736,25.778413
60,1.016687,5.341300,0.359904,37.989627,0.981953,27.703001,27.552877
61,1.033354,5.090400,0.361792,37.920935,0.978360,25.052002,24.963936
62,1.050021,5.363900,0.362816,36.794441,0.963598,22.020908,21.967876
63,1.066688,5.011200,0.366528,35.916061,0.948867,20.387801,20.374281
64,1.083355,5.210700,0.368992,34.088088,0.938010,19.757161,19.757274
65,1.100022,13.212300,0.374208,33.187901,0.933758,21.521490,21.509235
66,1.116689,5.234600,0.384256,33.755819,0.939143,23.385336,23.526311
67,1.133356,4.885300,0.390688,33.824974,0.938432,24.619395,24.681602
68,1.150023,4.834700,0.410112,33.824688,0.937256,25.614909,25.558698
69,1.166690,4.534000,0.413888,33.905986,0.937015,27.112834,27.080846
70,1.183357,4.819000,0.399360,33.738724,0.935371,32.396643,32.108634
71,1.200024,4.687600,0.425376,33.797778,0.935308,32.513772,32.249103
72,1.216691,4.940900,0.403584,33.711544,0.933929,32.727670,32.479835
73,1.233358,4.494900,0.416896,33.750038,0.933921,32.824605,32.612707
74,1.250025,4.907700,0.401312,33.776627,0.933783,33.353308,33.047849
75,1.266692,4.847300,0.405696,33.630512,0.932592,33.351758,33.062970
76,1.283359,4.973200,0.396832,33.642042,0.932690,33.448436,33.146117
77,1.300026,4.812000,0.560448,33.657531,0.932795,33.433866,33.126274
78,1.316693,4.928000,0.408256,33.605109,0.931890,33.658900,33.373997
79,1.333360,4.415100,0.408032,33.516297,0.930514,33.607184,33.345609
80,1.350027,5.056300,0.403616,33.566787,0.930638,33.638980,33.509076
81,1.366694,4.903100,0.407424,33.649034,0.931220,33.797116,33.495134
82,1.383361,4.874100,0.406240,33.779794,0.932666,33.900795,33.675008
83,1.400028,5.050800,0.407392,33.709305,0.931662,33.813598,33.608282
84,1.416695,4.677600,0.406048,33.775562,0.931775,34.006006,33.736897
85,1.433362,4.384200,0.672256,33.697721,0.930409,33.949588,33.767642
86,1.450029,4.978000,0.407616,33.718480,0.929919,34.258470,34.056785
87,1.466696,11.531700,0.406016,33.741155,0.930355,34.171771,33.971227
88,1.483363,4.856700,0.406240,33.720419,0.929271,34.313360,34.087926
89,1.500030,4.390500,0.428928,33.828793,0.930041,34.359228,34.157246
90,1.516697,9.658900,0.403296,33.843652,0.929926,34.508500,34.429570
91,1.533364,4.952200,0.395520,33.930185,0.930602,34.504275,34.382156
92,1.550031,5.324500,0.393408,33.952436,0.930955,34.912375,34.718618
93,1.566698,5.020700,0.427680,33.895906,0.929682,34.764677,34.639764
94,1.583365,5.190500,0.400800,33.976741,0.930058,34.862773,34.725732
95,1.600032,4.892800,0.437888,34.038392,0.930456,34.852065,34.693082
96,1.616699,5.103900,0.421984,34.019844,0.929808,35.193666,35.058326
97,1.633366,5.320200,0.415264,33.902937,0.927969,35.184563,35.060444
98,1.650033,5.306200,0.407104,33.935097,0.928067,35.305744,35.303194
99,1.666700,4.683100,0.455392,34.120107,0.929340,35.451426,35.365642
100,1.683367,4.993800,0.392288,34.242176,0.930802,35.801193,35.624365
101,1.700034,4.905800,0.426688,34.168855,0.929936,35.766275,35.645766
102,1.716701,5.487600,0.421600,34.314901,0.931220,35.854293,35.832686
103,1.733368,4.777000,0.432832,34.195800,0.929865,35.729511,35.692100
104,1.750035,4.912800,0.407104,34.138741,0.928616,36.002346,35.951578
105,1.766702,4.703600,0.403296,34.243710,0.929710,35.983893,35.997304
106,1.783369,4.641000,0.644704,34.161296,0.928026,35.966190,36.022428
107,1.800036,4.687200,0.397376,34.182450,0.928972,36.055509,36.007438
108,1.816703,4.861100,0.405824,34.177176,0.928504,36.025807,36.081797
109,1.833370,4.640800,0.607104,34.227174,0.929127,35.960211,35.934689
110,1.850037,4.763700,0.407968,34.223816,0.929194,36.161973,36.005972
111,1.866704,4.823900,0.407296,34.120399,0.928648,36.003763,35.808604
112,1.883371,4.655800,0.409280,34.121352,0.928647,35.791273,35.516491
113,1.900038,5.005300,0.601536,34.236552,0.929808,35.679227,35.360465
114,1.916705,4.800800,0.407552,34.167468,0.928913,35.365425,35.080757
115,1.933372,4.788800,0.600832,33.986753,0.926913,35.185533,34.996126
116,1.950039,4.870900,0.407552,34.006025,0.927016,34.833136,34.772812
117,1.966706,4.547900,0.406912,34.079399,0.927826,34.954875,34.776714
