frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,5.258000,0.394912,36.642998,0.953084,37.313180,37.254179
17,0.300006,4.944500,0.396768,36.759750,0.953737,37.710622,37.518482
18,0.316673,4.740100,0.398560,36.753382,0.953246,37.820706,37.731175
19,0.333340,4.766300,0.397888,36.790860,0.953228,38.257716,38.042544
20,0.350007,5.301500,0.397408,36.919521,0.954447,37.953917,37.852402
21,0.366674,5.264900,0.395200,36.902892,0.954455,38.411020,38.305627
22,0.383341,5.585300,0.399040,36.926272,0.954596,38.354290,38.286264
23,0.400008,5.298300,0.395680,37.073195,0.955800,39.185884,38.938038
24,0.416675,5.245800,0.536160,37.002580,0.955912,38.613806,38.504628
25,0.433342,5.144800,0.637024,37.039957,0.956526,39.006500,38.937759
26,0.450009,5.621500,0.398816,37.018053,0.956332,38.702534,38.607298
27,0.466676,5.412700,0.586880,37.115767,0.956836,38.998088,38.777617
28,0.483343,5.312800,0.579360,37.212997,0.958005,38.532319,38.350113
29,0.500010,4.771600,0.394848,37.173268,0.958100,39.122385,38.960046
30,0.516677,5.305200,0.396320,37.238475,0.958615,39.105482,38.975833
31,0.533344,4.884800,0.398464,37.103181,0.958214,39.336726,38.992874
32,0.550011,5.175500,0.398240,37.132863,0.959022,38.170288,38.066194
33,0.566678,5.317600,0.399648,37.311451,0.960097,38.746083,38.471376
34,0.583345,5.220100,0.691072,37.274292,0.960154,38.145658,37.886925
35,0.600012,5.294600,0.567808,37.459077,0.961619,38.737728,38.522965
36,0.616679,5.130600,0.601696,37.370421,0.961180,38.579265,38.511001
37,0.633346,4.885500,0.574336,37.376113,0.961638,39.109214,38.865575
38,0.650013,5.703100,0.592352,37.383486,0.962312,38.291705,38.284083
39,0.666680,5.290800,0.402816,37.312125,0.962577,39.082409,38.891185
40,0.683347,5.378900,0.404416,37.499523,0.962937,38.639206,38.398130
41,0.700014,5.130500,0.403776,37.585069,0.964577,39.379384,38.850080
42,0.716681,5.173300,0.570848,37.582890,0.964927,38.091619,37.669897
