frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,13.343848,2.146720,36.428568,0.952441,36.417355,37.247685
17,0.300006,12.217385,2.121600,36.597009,0.953151,36.753590,37.518489
18,0.316673,12.129160,2.142880,36.608343,0.952699,36.936820,37.734823
19,0.333340,13.557529,2.183840,36.651278,0.952850,37.266956,38.049033
20,0.350007,12.114673,2.160960,36.805587,0.954041,37.066317,37.846371
21,0.366674,12.147424,2.115680,36.694379,0.953925,37.273485,38.305264
22,0.383341,12.143737,2.143200,36.816264,0.954276,37.481132,38.288190
23,0.400008,13.541989,2.164960,36.978486,0.955548,37.964176,38.935556
24,0.416675,12.171048,2.144000,36.855945,0.955379,37.674178,38.506858
25,0.433342,12.184122,2.124960,36.843419,0.955928,37.775827,38.940827
26,0.450009,12.244546,2.147200,36.899451,0.956026,37.873585,38.612595
27,0.466676,13.518315,2.156480,37.076632,0.956790,37.872999,38.779700
28,0.483343,12.213328,2.126560,37.116127,0.957748,37.916719,38.354500
29,0.500010,11.948561,2.142720,37.083317,0.958064,37.985538,38.968967
30,0.516677,12.505015,2.156320,37.288855,0.958929,38.321611,38.978101
31,0.533344,13.596341,2.159680,36.991496,0.958163,38.017443,39.005868
32,0.550011,12.350234,2.132160,36.984113,0.958771,37.271516,38.047778
33,0.566678,12.270474,2.149920,37.165723,0.959926,37.516244,38.475357
34,0.583345,13.686100,2.142560,37.117462,0.960049,37.255950,37.877973
35,0.600012,12.288268,2.146560,37.237994,0.961337,37.904543,38.519389
36,0.616679,12.293878,2.144480,37.226247,0.961020,37.970851,38.517315
37,0.633346,13.819620,2.144960,37.241324,0.961827,37.932579,38.871884
38,0.650013,12.324326,2.154240,37.355954,0.962908,37.600462,38.285637
39,0.666680,12.365683,2.126080,37.240049,0.962962,38.018807,38.888669
40,0.683347,12.353329,2.146880,37.465656,0.963624,37.799699,38.388567
41,0.700014,14.095037,2.164000,37.428201,0.964755,37.953960,38.855387
42,0.716681,12.784148,2.148480,37.438703,0.965378,37.336708,37.672575
43,0.733348,12.690682,2.160640,37.308247,0.965358,37.620779,38.309191
44,0.750015,14.123180,2.171040,37.454246,0.966089,37.047236,37.699465
45,0.766682,12.660275,2.161600,37.583535,0.967272,37.367647,38.105026
46,0.783349,12.683779,2.161120,37.673486,0.968183,36.926477,37.219089
47,0.800016,14.331930,2.175520,37.480911,0.968759,36.744247,37.606994
48,0.816683,12.880308,2.161440,37.794721,0.969858,36.726444,37.202944
49,0.833350,12.607136,2.162400,37.381633,0.969164,36.469696,37.256505
50,0.850017,14.188451,2.195680,37.588041,0.970425,35.639623,36.414977
51,0.866684,12.738442,2.262880,37.735291,0.971433,36.302650,37.020440
52,0.883351,12.654074,2.167360,37.717645,0.972249,35.878661,36.359362
53,0.900018,13.651935,2.164640,37.809097,0.972928,29.490057,29.578875
54,0.916685,11.854134,2.139200,36.787968,0.966221,21.505508,21.520747
55,0.933352,11.503616,2.115040,36.575531,0.963131,20.936961,20.950818
56,0.950019,11.159310,2.025600,36.686962,0.965730,20.114356,20.122084
57,0.966686,10.972170,1.974080,37.363925,0.970546,21.588801,21.607312
