frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,12.235058,2.236640,36.637443,0.953100,37.497355,37.247685
17,0.300006,13.668858,2.241760,36.752988,0.953728,37.915409,37.518489
18,0.316673,12.298327,2.226880,36.750998,0.953244,37.979936,37.734823
19,0.333340,12.321941,2.249600,36.784165,0.953241,38.456420,38.049033
20,0.350007,13.808820,2.260160,36.922067,0.954446,38.087397,37.846371
21,0.366674,12.282627,2.253600,36.895458,0.954471,38.600014,38.305264
22,0.383341,12.274151,2.211360,36.913341,0.954579,38.500960,38.288190
23,0.400008,12.282487,2.244800,37.072721,0.955816,39.308859,38.935556
24,0.416675,13.612802,2.254720,37.002466,0.955914,38.672357,38.506858
25,0.433342,12.227865,2.232320,37.048432,0.956538,39.092281,38.940827
26,0.450009,12.198149,2.249920,37.016585,0.956305,38.795776,38.612595
27,0.466676,13.757013,2.250880,37.115683,0.956821,39.136177,38.779700
28,0.483343,12.307564,2.241760,37.222765,0.958038,38.628948,38.354500
29,0.500010,12.042667,2.228960,37.185275,0.958145,39.211993,38.968967
30,0.516677,12.655546,2.243360,37.248288,0.958662,39.156538,38.978101
31,0.533344,14.240289,2.246080,37.118999,0.958244,39.414535,39.005868
32,0.550011,12.680463,2.231520,37.138864,0.959006,38.258865,38.047778
33,0.566678,12.466712,2.248480,37.323109,0.960135,38.891862,38.475357
34,0.583345,14.012182,2.240320,37.274994,0.960211,38.252060,37.877973
35,0.600012,12.414865,2.247680,37.461561,0.961634,38.809913,38.519389
36,0.616679,12.358319,2.245440,37.378759,0.961140,38.646421,38.517315
37,0.633346,14.218719,2.251200,37.384459,0.961583,39.199852,38.871884
38,0.650013,12.894695,2.243520,37.386009,0.962263,38.329732,38.285637
39,0.666680,12.522067,2.216960,37.318459,0.962522,39.140247,38.888669
40,0.683347,13.896765,2.255680,37.506432,0.962864,38.668986,38.388567
41,0.700014,12.835444,2.264640,37.591963,0.964514,39.415984,38.855387
42,0.716681,12.756546,2.234080,37.590095,0.964889,38.111253,37.672575
43,0.733348,14.032559,2.271520,37.576298,0.965280,38.799651,38.309191
44,0.750015,12.630921,2.255200,37.554264,0.965521,38.020820,37.699465
45,0.766682,12.753641,2.231840,37.557671,0.966071,38.580309,38.105026
46,0.783349,14.116447,2.258080,37.694377,0.967629,37.505446,37.219089
47,0.800016,12.679332,2.266240,37.552988,0.967960,37.849586,37.606994
48,0.816683,12.752268,2.235840,37.604448,0.968489,37.385663,37.202944
49,0.833350,14.118861,2.263680,37.544454,0.968509,37.734184,37.256505
50,0.850017,12.782415,2.260160,37.530431,0.969066,36.202111,36.414977
51,0.866684,12.754151,3.789920,37.855696,0.970523,37.202908,37.020440
52,0.883351,14.151322,2.270720,37.821254,0.971020,36.452144,36.359362
53,0.900018,12.402732,2.263360,37.849783,0.971933,29.834085,29.578875
54,0.916685,11.884942,2.232640,36.866887,0.966369,21.831727,21.520747
55,0.933352,11.422605,2.205440,36.442477,0.963589,21.317894,20.950818
56,0.950019,12.605953,2.127200,36.325926,0.965805,20.512262,20.122084
57,0.966686,11.041268,2.044160,36.578313,0.969517,22.001911,21.607312
58,0.983353,10.969694,2.036640,36.999194,0.973430,24.449137,23.969901
59,1.000020,10.945258,2.011040,37.386236,0.978793,26.416636,25.778006
60,1.016687,11.201019,1.987840,37.951384,0.982164,28.194473,27.555855
61,1.033354,11.269356,1.992800,37.220142,0.978092,25.734089,24.964545
62,1.050021,11.120647,1.984000,35.593151,0.964527,22.733396,21.969020
63,1.066688,12.583572,1.995840,34.242049,0.951509,21.101198,20.374606
64,1.083355,11.336913,1.992960,32.077353,0.933607,20.659544,19.754226
65,1.100022,11.349386,2.078880,31.228694,0.925919,22.674141,21.502890
