frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,5.095400,0.393760,36.737320,0.953064,37.249464,37.254179
17,0.300006,5.010400,0.538752,36.854608,0.953678,37.640881,37.518482
18,0.316673,5.091600,0.396160,36.844653,0.953213,37.746328,37.731175
19,0.333340,4.919700,0.395136,36.880087,0.953188,38.177464,38.042544
20,0.350007,5.288700,0.395520,37.017475,0.954463,37.879518,37.852402
21,0.366674,5.297000,0.396832,37.001387,0.954510,38.332703,38.305627
22,0.383341,4.854500,0.395904,37.022642,0.954661,38.269018,38.286264
23,0.400008,4.926300,0.392640,37.170864,0.955766,39.095602,38.938038
24,0.416675,5.168600,0.394048,37.098090,0.955900,38.533458,38.504628
25,0.433342,5.097200,0.397184,37.134330,0.956492,38.912825,38.937759
26,0.450009,5.505400,0.668832,37.104680,0.956285,38.620445,38.607298
27,0.466676,5.524900,0.574496,37.208703,0.956818,38.910566,38.777617
28,0.483343,5.006900,0.566016,37.312168,0.958034,38.466897,38.350113
29,0.500010,4.926900,0.561440,37.271819,0.958135,39.038827,38.960046
30,0.516677,5.054400,0.395776,37.339096,0.958660,39.030561,38.975833
31,0.533344,5.050100,0.660928,37.200379,0.958267,39.250260,38.992874
32,0.550011,5.489400,0.588896,37.229881,0.959026,38.108551,38.066194
33,0.566678,5.360000,0.572544,37.410507,0.960066,38.676939,38.471376
34,0.583345,5.218200,0.560576,37.372999,0.960149,38.094809,37.886925
35,0.600012,5.200300,0.571456,37.548626,0.961515,38.677722,38.522965
36,0.616679,5.415200,0.595328,37.463325,0.961095,38.530239,38.511001
37,0.633346,4.994700,0.563360,37.467681,0.961581,39.043301,38.865575
38,0.650013,5.437500,0.586304,37.478799,0.962262,38.257823,38.284083
39,0.666680,5.237500,0.575200,37.402243,0.962548,39.026860,38.891185
40,0.683347,5.240200,0.568224,37.593970,0.962927,38.598092,38.398130
41,0.700014,5.133000,0.404576,37.679541,0.964501,39.313578,38.850080
42,0.716681,5.115900,0.570880,37.677755,0.964882,38.072412,37.669897
43,0.733348,5.019400,0.403680,37.650399,0.965258,38.688409,38.288745
44,0.750015,5.458200,0.404768,37.651826,0.965544,37.952149,37.692727
45,0.766682,5.426400,0.403328,37.646270,0.966124,38.488629,38.101930
46,0.783349,5.000600,0.405440,37.791608,0.967588,37.418744,37.213901
47,0.800016,4.965700,0.405536,37.643487,0.967923,37.741695,37.601091
48,0.816683,5.237700,0.405280,37.685722,0.968468,37.323494,37.195718
49,0.833350,5.030900,0.405216,37.631683,0.968480,37.645142,37.243525
50,0.850017,5.373000,0.405472,37.614455,0.969061,36.165068,36.398270
51,0.866684,5.344700,0.407424,37.933743,0.970445,37.110804,37.002291
52,0.883351,5.376600,0.406528,37.895258,0.970993,36.399005,36.346587
53,0.900018,5.044900,0.410560,37.939662,0.971849,29.568046,29.579060
54,0.916685,5.391900,0.408032,36.902568,0.965084,21.528706,21.521209
55,0.933352,4.862500,0.399456,36.688968,0.961465,20.979242,20.950712
56,0.950019,4.901300,0.390432,36.683581,0.964715,20.140058,20.122358
57,0.966686,4.884600,0.377632,36.953905,0.969367,21.655564,21.607104
58,0.983353,5.030000,0.362560,37.248176,0.973664,24.054791,23.970339
59,1.000020,4.577800,0.364768,37.501572,0.979243,25.973098,25.778413
60,1.016687,5.408400,0.360192,38.042525,0.981962,27.704755,27.552877
61,1.033354,5.150700,0.361792,37.977168,0.978375,25.054461,24.963936
62,1.050021,5.477800,0.368416,36.851792,0.963656,22.022421,21.967876
63,1.066688,4.784800,0.555840,35.967072,0.949012,20.388632,20.374281
