frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,12.239065,2.235520,36.642950,0.953070,37.304649,37.247685
17,0.300006,12.299579,2.244480,36.756799,0.953713,37.692099,37.518489
18,0.316673,12.298006,2.252640,36.758781,0.953252,37.799431,37.734823
19,0.333340,13.821284,2.250880,36.795695,0.953261,38.237828,38.049033
20,0.350007,12.312123,2.244960,36.931829,0.954465,37.934516,37.846371
21,0.366674,12.304358,2.242720,36.908203,0.954466,38.389412,38.305264
22,0.383341,13.673205,2.241600,36.930621,0.954609,38.322874,38.288190
23,0.400008,12.209360,2.251360,37.079610,0.955804,39.162225,38.935556
24,0.416675,12.247772,2.220320,37.009057,0.955898,38.589832,38.506858
25,0.433342,12.259894,2.245920,37.049244,0.956494,38.989640,38.940827
26,0.450009,13.638069,2.244800,37.022500,0.956304,38.674536,38.612595
27,0.466676,12.262570,2.251360,37.122785,0.956818,38.971344,38.779700
28,0.483343,12.336338,2.225120,37.227999,0.958033,38.499395,38.354500
29,0.500010,12.090998,2.255200,37.188461,0.958145,39.085945,38.968967
30,0.516677,13.868251,2.260160,37.251163,0.958668,39.067079,38.978101
31,0.533344,12.625781,2.239840,37.117551,0.958240,39.303085,39.005868
32,0.550011,12.526134,2.239040,37.143809,0.958996,38.143832,38.047778
33,0.566678,13.803690,2.259360,37.323064,0.960112,38.723502,38.475357
34,0.583345,12.404065,2.239360,37.281733,0.960194,38.123768,37.877973
35,0.600012,12.442657,2.248640,37.463127,0.961626,38.703910,38.519389
36,0.616679,13.750019,2.271360,37.380676,0.961143,38.561023,38.517315
37,0.633346,12.419374,2.254080,37.382398,0.961578,39.083850,38.871884
38,0.650013,12.404826,2.220000,37.384088,0.962249,38.272197,38.285637
39,0.666680,13.984850,2.253760,37.312711,0.962504,39.065559,38.888669
40,0.683347,12.437007,2.240480,37.500139,0.962841,38.596413,38.388567
41,0.700014,12.546803,2.239360,37.588642,0.964509,39.361224,38.855387
42,0.716681,12.717192,2.251040,37.591179,0.964873,38.071968,37.672575
43,0.733348,14.081190,2.267680,37.568493,0.965255,38.712560,38.309191
44,0.750015,12.669583,2.248160,37.558508,0.965518,37.957956,37.699465
45,0.766682,12.710710,2.270240,37.561615,0.966061,38.496369,38.105026
46,0.783349,14.142195,2.258400,37.700352,0.967620,37.404586,37.219089
47,0.800016,12.795549,2.244000,37.560960,0.967956,37.706176,37.606994
48,0.816683,12.800328,2.262720,37.606760,0.968483,37.290425,37.202944
49,0.833350,13.987345,2.264800,37.551513,0.968500,37.622884,37.256505
50,0.850017,12.842147,2.256160,37.533938,0.969060,36.130192,36.414977
51,0.866684,12.827189,2.371520,37.858777,0.970505,37.092935,37.020440
52,0.883351,13.829148,2.279200,37.823373,0.971007,36.365590,36.359362
53,0.900018,12.417269,2.258400,37.876078,0.971988,29.563275,29.578875
54,0.916685,11.868340,2.245440,36.870559,0.965496,21.528730,21.520747
55,0.933352,12.917257,2.219040,36.661467,0.962014,20.978683,20.950818
56,0.950019,11.219694,2.116320,36.634032,0.964977,20.139316,20.122084
57,0.966686,11.016372,2.060160,36.902055,0.969454,21.655542,21.607312
58,0.983353,10.956991,2.020000,37.160119,0.973553,24.057022,23.969901
59,1.000020,10.952402,2.015680,37.421077,0.979284,25.970549,25.778006
60,1.016687,11.223361,1.997440,38.024614,0.982276,27.703123,27.555855
61,1.033354,11.253377,1.987200,37.980782,0.978992,25.055409,24.964545
62,1.050021,12.559066,1.995360,36.821633,0.964244,22.024733,21.969020
63,1.066688,11.244710,1.973600,35.924080,0.949544,20.389485,20.374606
64,1.083355,11.287170,2.026880,34.088027,0.938542,19.754666,19.754226
65,1.100022,11.350819,2.072320,33.220784,0.934479,21.516856,21.502890
66,1.116689,11.455426,2.105280,33.772873,0.939708,23.384342,23.521952
67,1.133356,11.579899,2.122720,33.845166,0.938983,24.619677,24.678885
68,1.150023,12.892411,2.132640,33.847959,0.937849,25.613185,25.559757
69,1.166690,11.292300,2.120480,33.927007,0.937557,27.113921,27.081551
70,1.183357,11.489520,2.137440,33.767080,0.935900,32.401450,32.107179
71,1.200024,11.455365,2.153920,33.828856,0.935924,32.517025,32.248825
