frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.000002,4.934600,0.392192,40.223053,0.983267,52.320629,80.913936
17,0.000002,4.897300,0.553408,40.216230,0.983403,51.707278,70.954292
18,0.000002,5.075900,0.389536,40.202572,0.983471,51.544692,99.000000
19,0.000002,4.720900,0.385184,40.257544,0.983838,51.304448,76.606607
20,0.000002,4.964100,0.384672,40.217857,0.983539,52.062361,99.000000
21,0.000002,4.574900,0.389696,40.177049,0.983479,51.179483,73.323003
22,0.000002,5.032200,0.386240,40.059385,0.982875,52.015923,68.998037
23,0.000002,4.815300,0.690880,40.068177,0.982856,51.251947,99.000000
24,0.000002,4.923400,0.386880,40.238953,0.983751,51.143692,70.373419
25,0.000003,4.599000,0.385280,40.150173,0.983229,52.177229,99.000000
26,0.000003,4.708500,0.388000,40.070699,0.982931,51.913967,70.381445
27,0.000003,4.875300,0.385056,40.053087,0.982961,51.328140,81.135617
28,0.000003,4.907200,0.388256,40.103549,0.982970,52.039450,70.994130
29,0.000003,4.877100,0.576064,40.088659,0.983031,51.660833,77.798512
30,0.000003,5.055900,0.389056,40.149857,0.983283,52.021477,99.000000
31,0.000003,4.577000,0.389888,40.184160,0.983621,50.893397,73.015640
32,0.000003,4.832800,0.388224,40.150130,0.983297,52.196890,73.590674
33,0.000003,4.613400,0.388224,40.141934,0.983198,51.247738,72.745808
34,0.000003,5.091000,0.389440,40.078583,0.982792,52.623861,75.810847
35,0.000004,4.865700,0.658528,40.049317,0.982803,52.069276,99.000000
36,0.000004,5.228300,0.389344,40.048817,0.982912,51.816794,74.441863
37,0.000004,4.760500,0.386272,40.141699,0.983438,51.418113,86.856916
38,0.000004,4.780700,0.389504,40.123571,0.983228,52.185105,78.923733
39,0.000004,4.625500,0.391744,40.105109,0.983291,51.229838,99.000000
40,0.000004,5.046400,0.388736,39.974193,0.982566,52.103203,77.283962
41,0.000004,4.773300,0.386656,40.013055,0.982702,51.279118,76.421480
42,0.000004,4.961900,0.581248,40.186973,0.983642,51.191235,82.370209
43,0.000004,4.872400,0.389536,40.092425,0.983070,52.215091,99.000000
44,0.000004,4.849200,0.389664,40.013494,0.982737,51.929263,99.000000
45,0.000005,4.693500,0.386688,40.021771,0.982910,51.308243,75.296493
46,0.000005,5.007100,0.387872,40.063286,0.982849,52.052723,79.164737
47,0.000005,4.983700,0.390176,40.053261,0.982935,51.658819,83.138093
48,0.000005,4.958200,0.683904,40.103491,0.983143,52.031429,78.972191
49,0.000005,5.033700,0.390272,40.144654,0.983504,50.880675,99.000000
50,0.000005,5.072000,0.389568,40.119340,0.983231,52.184446,78.627602
51,0.000005,4.818300,0.384288,40.105410,0.983097,51.251898,76.122556
52,0.000005,4.703500,0.390048,40.030561,0.982618,52.633076,85.386221
53,0.000005,5.012800,0.390208,39.995527,0.982594,52.089149,77.741962
54,0.000005,4.733100,0.388480,39.998563,0.982717,51.811989,99.000000
55,0.000006,4.872000,0.389856,40.102785,0.983292,51.411602,75.418225
56,0.000006,5.228400,0.675072,40.091217,0.983110,52.183697,99.000000
57,0.000006,4.820200,0.390624,40.079914,0.983210,51.216550,72.764264
58,0.000006,4.984200,0.385760,39.945311,0.982456,52.110133,82.372857
59,0.000006,4.999400,0.386656,39.993057,0.982636,51.269880,99.000000
60,0.000006,4.749800,0.390656,40.169082,0.983591,51.190733,74.501962
61,0.000006,4.573200,0.385056,40.073706,0.983007,52.220869,99.000000
62,0.000006,5.349300,0.390368,39.995314,0.982664,51.927730,72.837038
63,0.000006,13.560300,0.384448,40.011355,0.982880,51.298151,73.370438
64,0.000006,5.504500,0.388096,40.050532,0.982805,52.062664,99.000000
65,0.000007,5.193000,0.402336,40.042897,0.982900,51.661466,70.734330
66,0.000007,5.368200,0.380832,40.091526,0.983098,52.041814,99.000000
67,0.000007,4.842500,0.388320,40.132379,0.983463,50.877719,74.794428
68,0.000007,4.957100,0.559808,40.110297,0.983206,52.179253,73.083755
69,0.000007,4.732100,0.511488,40.091975,0.983061,51.255011,99.000000
70,0.000007,5.265200,0.411200,40.014252,0.982563,52.644646,77.650066
71,0.000007,4.635200,0.385312,39.977613,0.982530,52.089725,99.000000
