frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.000002,11.975361,2.190560,39.606557,0.979395,52.178356,79.051493
17,0.000002,13.228030,2.158400,39.614502,0.979564,51.516835,71.417471
18,0.000002,11.422203,2.143680,39.579675,0.979544,51.420599,99.000000
19,0.000002,11.553720,2.172800,39.643846,0.979971,51.142720,71.213348
20,0.000002,11.470094,2.166240,39.597737,0.979647,51.856346,99.000000
21,0.000002,11.581152,2.179200,39.591491,0.979733,51.045240,72.874473
22,0.000002,12.505856,2.152480,39.479359,0.979113,51.946812,74.905692
23,0.000002,11.412034,2.143840,39.519288,0.979238,51.075276,99.000000
24,0.000002,11.472007,2.175200,39.657845,0.980094,50.984865,99.000000
25,0.000003,11.526920,2.163840,39.579285,0.979563,52.007434,99.000000
26,0.000003,11.759135,2.149600,39.505401,0.979244,51.689327,70.676722
27,0.000003,13.326916,2.156160,39.508373,0.979303,51.192128,80.122973
28,0.000003,11.890873,2.160960,39.533426,0.979284,51.855708,72.745995
29,0.000003,11.381047,2.143520,39.534275,0.979407,51.278027,75.051338
30,0.000003,11.535085,2.164960,39.596593,0.979719,51.666243,99.000000
31,0.000003,11.595819,2.176960,39.630764,0.980036,50.804882,77.709015
32,0.000003,12.472123,2.161280,39.588869,0.979644,51.916299,76.911338
33,0.000003,11.722176,2.156960,39.594592,0.979600,51.059604,76.686945
34,0.000003,11.657545,2.173120,39.528516,0.979157,52.393544,76.589002
35,0.000004,11.915869,2.173760,39.513093,0.979181,51.790918,99.000000
36,0.000004,11.754386,2.175680,39.498922,0.979266,51.593956,80.628178
37,0.000004,12.574174,2.157440,39.583181,0.979770,51.185846,79.500455
38,0.000004,11.370386,2.145440,39.554112,0.979533,51.929656,73.672973
39,0.000004,11.322677,2.169120,39.561855,0.979706,51.071336,99.000000
40,0.000004,11.330681,2.164800,39.438335,0.978977,52.017127,78.057181
41,0.000004,11.449244,2.154400,39.493004,0.979197,51.092764,71.007082
42,0.000004,11.579749,2.160480,39.639561,0.980094,50.998444,83.799354
43,0.000004,12.828371,2.175680,39.553171,0.979516,52.019286,99.000000
44,0.000004,11.648398,2.125920,39.476698,0.979179,51.700029,99.000000
45,0.000005,11.363293,2.161280,39.495625,0.979333,51.172687,74.836934
46,0.000005,11.265590,2.151040,39.512016,0.979249,51.870027,76.538349
47,0.000005,11.336072,2.170880,39.514163,0.979375,51.280782,78.169934
48,0.000005,12.339895,2.167040,39.570762,0.979661,51.677266,76.619573
49,0.000005,11.276229,2.138880,39.604025,0.979964,50.755611,99.000000
50,0.000005,11.324751,2.161600,39.572827,0.979623,51.936833,78.413603
51,0.000005,11.292320,2.268640,39.570396,0.979551,51.041427,77.616515
52,0.000005,11.326664,2.166400,39.498125,0.979061,52.411372,77.465613
53,0.000005,11.615335,2.166880,39.482052,0.979061,51.816297,75.497793
