frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.000002,4.919300,0.537344,40.382348,0.984584,52.862725,80.913936
17,0.000002,4.980400,0.385472,40.390866,0.984808,52.268486,70.954292
18,0.000002,5.092700,0.388544,40.378060,0.984873,52.126977,99.000000
19,0.000002,4.987000,0.386944,40.440206,0.985287,51.806203,76.606607
20,0.000002,5.686700,0.387552,40.389456,0.984907,52.605849,99.000000
21,0.000002,5.058600,0.398240,40.344642,0.984827,51.636430,73.323003
22,0.000002,5.501900,0.383328,40.209590,0.984201,52.503201,68.998037
23,0.000002,5.006800,0.387872,40.218099,0.984169,51.749050,99.000000
24,0.000002,5.329700,0.387776,40.408905,0.985172,51.737402,70.373419
25,0.000003,5.156100,0.383936,40.310868,0.984630,52.615352,99.000000
26,0.000003,5.711400,0.386944,40.224938,0.984269,52.462092,70.381445
27,0.000003,5.220200,0.386848,40.207852,0.984290,51.763712,81.135617
28,0.000003,5.460100,0.388256,40.257066,0.984307,52.571949,70.994130
29,0.000003,4.850600,0.390752,40.251275,0.984437,52.172818,77.798512
30,0.000003,5.047100,0.389312,40.316339,0.984713,52.668694,99.000000
31,0.000003,4.795600,0.392224,40.358951,0.985145,51.348476,73.015640
32,0.000003,5.631200,0.384416,40.314872,0.984791,52.667246,73.590674
33,0.000003,4.765200,0.397216,40.303318,0.984670,51.724687,72.745808
34,0.000003,4.742000,0.391232,40.232515,0.984265,53.148769,75.810847
35,0.000004,4.664300,0.391200,40.208629,0.984299,52.643478,99.000000
36,0.000004,4.793400,0.390656,40.213624,0.984441,52.366454,74.441863
37,0.000004,4.751600,0.388544,40.316446,0.985018,51.893715,86.856916
38,0.000004,5.482600,0.653792,40.290591,0.984735,52.727714,78.923733
39,0.000004,4.938000,0.390048,40.269954,0.984777,51.680891,99.000000
40,0.000004,5.059300,0.388672,40.115822,0.983980,52.609816,77.283962
41,0.000004,4.739100,0.385344,40.156754,0.984105,51.765770,76.421480
42,0.000004,4.837200,0.387552,40.352308,0.985157,51.776393,82.370209
43,0.000004,4.677700,0.388672,40.245743,0.984540,52.654632,99.000000
44,0.000004,5.152100,0.386368,40.159126,0.984132,52.477641,99.000000
45,0.000005,5.421800,0.644096,40.171678,0.984311,51.737238,75.296493
46,0.000005,5.012300,0.386496,40.208148,0.984227,52.590392,79.164737
47,0.000005,5.121800,0.388064,40.207033,0.984371,52.171537,83.138093
48,0.000005,4.909400,0.388384,40.259183,0.984592,52.687833,78.972191
49,0.000005,4.718100,0.390400,40.309001,0.985041,51.339878,99.000000
50,0.000005,4.782800,0.390272,40.276764,0.984754,52.652766,78.627602
51,0.000005,4.969100,0.384992,40.258349,0.984585,51.732226,76.122556
52,0.000005,4.757000,0.387104,40.173124,0.984084,53.169223,85.386221
53,0.000005,4.847200,0.392128,40.141426,0.984070,52.665933,77.741962
54,0.000005,5.079000,0.660512,40.152891,0.984243,52.357557,99.000000
55,0.000006,4.915800,0.389248,40.268993,0.984881,51.884809,75.418225
56,0.000006,4.938400,0.385600,40.251572,0.984635,52.721051,99.000000
57,0.000006,4.833200,0.389696,40.241094,0.984722,51.676568,72.764264
58,0.000006,5.378000,0.383552,40.081749,0.983880,52.620268,82.372857
59,0.000006,4.758800,0.388576,40.133296,0.984057,51.756163,99.000000
60,0.000006,4.941800,0.542464,40.331396,0.985125,51.774371,74.501962
61,0.000006,4.749200,0.385536,40.223332,0.984490,52.655564,99.000000
62,0.000006,5.018200,0.661760,40.136827,0.984067,52.474882,72.837038
63,0.000006,4.754600,0.386752,40.158901,0.984295,51.727449,73.370438
64,0.000006,5.286400,0.387776,40.191781,0.984185,52.595093,99.000000
65,0.000007,4.489500,0.394240,40.192581,0.984338,52.170504,70.734330
66,0.000007,4.694700,0.386944,40.242673,0.984549,52.690319,99.000000
67,0.000007,4.988700,0.388960,40.292705,0.985001,51.337589,74.794428
68,0.000007,5.101900,0.387456,40.265042,0.984735,52.646770,73.083755
69,0.000007,4.823400,0.388416,40.242018,0.984554,51.734468,99.000000
70,0.000007,5.461200,0.391776,40.152905,0.984025,53.181705,77.650066
71,0.000007,5.046800,0.386912,40.119640,0.983998,52.668211,99.000000
72,0.000007,5.075000,0.390304,40.129319,0.984174,52.345925,73.784555
73,0.000007,5.056700,0.387264,40.250641,0.984829,51.868772,99.000000
74,0.000007,5.054300,0.390176,40.236736,0.984595,52.714631,75.543486
75,0.000008,4.591400,0.386560,40.227468,0.984695,51.674324,77.461427
76,0.000008,4.919900,0.387392,40.068460,0.983842,52.615404,97.590350
77,0.000008,5.349800,0.388448,40.122333,0.984032,51.758953,74.827529
78,0.000008,5.236200,0.674528,40.322135,0.985105,51.772547,99.000000
79,0.000008,4.979600,0.388928,40.215370,0.984469,52.661481,77.546824
80,0.000008,5.014600,0.388320,40.128013,0.984043,52.489202,70.509853
81,0.000008,4.926000,0.390336,40.153511,0.984289,51.734835,81.947198
82,0.000008,5.199500,0.389856,40.184822,0.984172,52.602776,99.000000
83,0.000008,5.225600,0.390016,40.185018,0.984324,52.161799,99.000000
84,0.000008,5.273100,0.386624,40.235225,0.984530,52.685967,76.019418
85,0.000009,4.869700,0.388992,40.286843,0.984985,51.280039,99.000000
86,0.000009,5.131700,0.392192,40.265760,0.984731,52.676515,76.516232
87,0.000009,4.541100,0.387200,40.241888,0.984548,51.701215,79.048254
88,0.000009,5.034400,0.392640,40.150402,0.984011,53.186483,99.000000
89,0.000009,5.272100,0.386976,40.114419,0.983977,52.666935,72.027484
90,0.000009,4.941200,0.681600,40.126754,0.984162,52.317964,99.000000
91,0.000009,4.938100,0.580608,40.247447,0.984819,51.868271,79.866690
92,0.000009,5.814800,0.557536,40.238587,0.984588,52.710712,75.238802
93,0.000009,4.755600,0.389248,40.230241,0.984692,51.679409,99.000000
94,0.000010,5.124300,0.379392,40.070208,0.983836,52.621527,76.223827
95,0.000010,5.327800,0.395488,40.124887,0.984031,51.746618,99.000000
96,0.000010,5.418900,0.391392,40.320621,0.985104,51.761252,75.465635
97,0.000010,8.209300,0.424544,40.212149,0.984464,52.662718,73.900497
98,0.000010,5.396100,0.379488,40.124078,0.984039,52.480902,99.000000
99,0.000010,5.121900,0.380224,40.151714,0.984291,51.739978,77.292956
100,0.000010,5.645700,0.586528,40.181534,0.984169,52.606070,99.000000
101,0.000010,5.929800,0.401024,40.181408,0.984319,52.159548,77.995464
102,0.000010,4.971000,0.384800,40.231891,0.984524,52.690449,99.000000
103,0.000010,5.062300,0.608864,40.283136,0.984980,51.286189,76.245369
104,0.000011,4.818700,0.385088,40.261488,0.984725,52.699708,75.687837
105,0.000011,4.764500,0.389472,40.236984,0.984540,51.697673,99.000000
106,0.000011,5.339300,0.660672,40.145952,0.984002,53.191291,76.198016
107,0.000011,5.473600,0.387616,40.110639,0.983968,52.667067,99.000000
108,0.000011,5.089200,0.388736,40.126577,0.984154,52.336646,75.579278
109,0.000011,5.099500,0.386080,40.246284,0.984812,51.867256,76.007489
110,0.000011,5.259800,0.390688,40.238339,0.984586,52.844461,99.000000
111,0.000011,4.923400,0.387168,40.229502,0.984687,51.790499,76.679817
