frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.000002,11.900821,2.154880,40.012502,0.980485,52.223252,79.051493
17,0.000002,11.586532,2.168800,39.998564,0.980550,51.619726,71.417471
18,0.000002,11.474782,2.157120,39.984677,0.980614,51.475400,99.000000
19,0.000002,11.725843,2.188800,40.037256,0.980980,51.225415,71.213348
20,0.000002,13.062339,2.153920,40.005411,0.980721,51.935460,99.000000
21,0.000002,11.876004,2.148000,39.964320,0.980652,51.033819,72.874473
22,0.000002,11.476616,2.157120,39.859908,0.980112,51.851074,74.905692
23,0.000002,11.468330,2.187200,39.866881,0.980069,51.101831,99.000000
24,0.000002,11.495050,2.170720,40.015866,0.980831,50.978003,99.000000
25,0.000003,12.333723,2.156640,39.939476,0.980380,52.099663,99.000000
26,0.000003,11.477647,2.129440,39.868385,0.980073,51.730170,70.676722
27,0.000003,11.475073,2.144480,39.846746,0.980086,51.173396,80.122973
28,0.000003,11.546156,2.161280,39.895645,0.980107,51.845550,72.745995
29,0.000003,11.439857,2.153600,39.887694,0.980191,51.500708,75.051338
30,0.000003,13.022185,2.166400,39.944871,0.980421,51.785857,99.000000
31,0.000003,11.820260,2.172480,39.969909,0.980686,50.793669,77.709015
32,0.000003,11.852170,2.165600,39.940716,0.980390,52.064955,76.911338
33,0.000003,11.584498,2.159520,39.935172,0.980271,51.114756,76.686945
34,0.000003,11.755429,2.156320,39.877522,0.979901,52.470920,76.589002
35,0.000004,12.548536,2.180000,39.845828,0.979883,51.921547,99.000000
36,0.000004,11.487556,2.151840,39.838985,0.979957,51.660449,80.628178
37,0.000004,11.324901,2.162880,39.927022,0.980495,51.266114,79.500455
38,0.000004,11.383441,2.162080,39.913151,0.980318,52.018481,73.672973
39,0.000004,11.310384,2.167200,39.893858,0.980370,51.076802,99.000000
40,0.000004,11.360007,2.164960,39.778008,0.979734,51.926761,78.057181
41,0.000004,12.252580,2.160320,39.809951,0.979838,51.113872,71.007082
