frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.000002,5.249800,0.383040,37.387945,0.978273,38.348170,80.913936
17,0.000002,5.141800,0.378240,37.788794,0.979147,38.397342,70.954292
18,0.000002,5.078700,0.383968,37.600208,0.978826,38.276318,99.000000
19,0.000002,4.800500,0.382240,37.386467,0.978963,36.778600,76.606607
20,0.000002,4.830300,0.382560,37.711760,0.979015,37.420770,99.000000
21,0.000002,4.608200,0.385888,37.523222,0.978840,37.195135,73.323003
22,0.000002,4.974700,0.378432,37.616934,0.978434,37.511432,68.998037
23,0.000002,4.962100,0.386176,37.909606,0.978972,37.569466,99.000000
24,0.000002,5.338500,0.384320,37.762867,0.979427,39.092126,70.373419
25,0.000003,4.804900,0.378848,37.724369,0.978953,38.048888,99.000000
26,0.000003,5.058600,0.381568,37.538132,0.978368,37.519239,70.381445
27,0.000003,4.797600,0.380960,37.263010,0.978059,36.978022,81.135617
28,0.000003,4.792900,0.384576,37.680779,0.978649,36.834042,70.994130
29,0.000003,4.613200,0.382944,37.247555,0.977989,36.595662,77.798512
30,0.000003,5.298100,0.384864,37.530138,0.978592,37.651445,99.000000
31,0.000003,4.857600,0.679328,37.769663,0.979439,37.116916,73.015640
32,0.000003,5.210600,0.378304,37.599207,0.978581,39.474565,73.590674
33,0.000003,4.888100,0.384736,37.862768,0.979164,37.617803,72.745808
34,0.000003,4.908200,0.382496,37.340191,0.977850,38.372561,75.810847
35,0.000004,4.619200,0.384512,37.719498,0.978604,38.415258,99.000000
36,0.000004,4.708100,0.386144,37.532070,0.978310,38.286250,74.441863
37,0.000004,4.551200,0.380704,37.337986,0.978582,36.781712,86.856916
38,0.000004,5.044600,0.383392,37.669960,0.978720,37.426177,78.923733
39,0.000004,4.773300,0.386304,37.486329,0.978655,37.196333,99.000000
40,0.000004,5.038800,0.383392,37.574811,0.978138,37.515093,77.283962
41,0.000004,4.640300,0.380960,37.879133,0.978821,37.568426,76.421480
42,0.000004,4.717200,0.381760,37.738291,0.979322,39.092468,82.370209
43,0.000004,4.679200,0.383072,37.694841,0.978796,38.044913,99.000000
44,0.000004,4.916100,0.381440,37.513340,0.978185,37.515908,99.000000
45,0.000005,4.745200,0.381120,37.250471,0.978013,36.978201,75.296493
46,0.000005,4.795100,0.379840,37.660444,0.978531,36.833171,79.164737
47,0.000005,4.643800,0.382816,37.231733,0.977897,36.592853,83.138093
48,0.000005,4.710900,0.382560,37.514630,0.978463,37.657678,78.972191
49,0.000005,4.729900,0.388960,37.751416,0.979329,37.119969,99.000000
50,0.000005,5.005900,0.383744,37.588580,0.978525,39.472551,78.627602
51,0.000005,4.470200,0.380480,37.848998,0.979082,37.618673,76.122556
52,0.000005,4.656700,0.385856,37.320070,0.977691,38.375742,85.386221
53,0.000005,5.136300,0.384512,37.695432,0.978411,38.419586,77.741962
54,0.000005,4.968500,0.380320,37.512351,0.978133,38.290129,99.000000
55,0.000006,4.816600,0.385920,37.320768,0.978445,36.780497,75.418225
56,0.000006,4.870200,0.379968,37.652124,0.978606,37.427262,99.000000
57,0.000006,4.509300,0.384608,37.474946,0.978577,37.202253,72.764264
58,0.000006,4.682500,0.380256,37.561672,0.978036,37.516423,82.372857
59,0.000006,4.509800,0.385600,37.867529,0.978760,37.565957,99.000000
60,0.000006,5.118100,0.383328,37.728414,0.979274,39.100142,74.501962
61,0.000006,4.910200,0.380704,37.683308,0.978731,38.048261,99.000000
62,0.000006,4.834200,0.384416,37.504357,0.978117,37.516304,72.837038
63,0.000006,4.629100,0.382464,37.250729,0.977990,36.984368,73.370438
64,0.000006,4.858800,0.383328,37.649469,0.978480,36.832031,99.000000
65,0.000007,4.629800,0.385824,37.228694,0.977863,36.589365,70.734330
66,0.000007,5.347100,0.613600,37.515403,0.978432,37.660352,99.000000
67,0.000007,4.810500,0.384384,37.743251,0.979287,37.126546,74.794428
68,0.000007,4.990200,0.381056,37.584524,0.978502,39.460923,73.083755
69,0.000007,4.495800,0.390880,37.837080,0.979040,37.625187,99.000000
70,0.000007,5.011900,0.382272,37.318252,0.977651,38.370495,77.650066
