frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.000002,4.886500,0.389664,40.245287,0.983383,53.134388,80.913936
17,0.000002,5.177500,0.387008,40.256605,0.983537,52.701317,70.954292
18,0.000002,5.426800,0.388672,40.229364,0.983560,52.509250,99.000000
19,0.000002,4.827000,0.387104,40.300413,0.983976,52.626842,76.606607
20,0.000002,5.225100,0.385600,40.238100,0.983610,53.142419,99.000000
21,0.000002,5.147300,0.389760,40.240461,0.983690,52.806274,73.323003
22,0.000002,4.983400,0.384960,40.086888,0.982951,53.448733,68.998037
23,0.000002,4.771000,0.390624,40.132655,0.983082,52.925656,99.000000
24,0.000002,5.660900,0.388640,40.273207,0.983874,52.335034,70.373419
25,0.000003,4.728200,0.386368,40.188477,0.983390,53.515693,99.000000
26,0.000003,5.084300,0.391680,40.085080,0.983005,53.148313,70.381445
27,0.000003,5.222700,0.386656,40.121465,0.983157,53.117981,81.135617
28,0.000003,5.435700,0.387360,40.117817,0.983034,53.483143,70.994130
29,0.000003,5.045100,0.613664,40.139566,0.983227,53.023960,77.798512
30,0.000003,5.486600,0.389376,40.176615,0.983382,53.119085,99.000000
31,0.000003,4.901100,0.588832,40.247671,0.983801,52.467274,73.015640
32,0.000003,5.191800,0.386528,40.185497,0.983425,53.280855,73.590674
33,0.000003,5.346500,0.577728,40.188897,0.983408,52.999916,72.745808
34,0.000003,4.959300,0.388736,40.100372,0.982908,53.509620,75.810847
35,0.000004,4.772600,0.388704,40.085885,0.982933,53.178983,99.000000
36,0.000004,5.250500,0.391936,40.071184,0.982997,52.852963,74.441863
37,0.000004,4.834200,0.386848,40.181515,0.983573,52.785830,86.856916
38,0.000004,4.863400,0.386912,40.140067,0.983296,53.310042,78.923733
39,0.000004,4.843500,0.386336,40.166830,0.983502,52.881460,99.000000
40,0.000004,5.396500,0.388160,39.997064,0.982639,53.568552,77.283962
41,0.000004,4.653200,0.384896,40.072861,0.982924,52.961204,76.421480
42,0.000004,4.922900,0.533120,40.220880,0.983764,52.399147,82.370209
43,0.000004,4.788600,0.390176,40.129981,0.983230,53.564751,99.000000
44,0.000004,5.186000,0.389600,40.027210,0.982811,53.169039,99.000000
45,0.000005,4.966600,0.385856,40.089578,0.983106,53.091864,75.296493
46,0.000005,5.485000,0.387680,40.077268,0.982913,53.515906,79.164737
47,0.000005,4.609000,0.387424,40.103503,0.983131,53.023707,83.138093
48,0.000005,4.762800,0.391744,40.129674,0.983241,53.132836,78.972191
49,0.000005,4.927000,0.390720,40.207361,0.983684,52.448788,99.000000
50,0.000005,5.103200,0.388608,40.154352,0.983359,53.266710,78.627602
51,0.000005,4.877200,0.607008,40.151971,0.983308,53.011932,76.122556
52,0.000005,5.627600,0.680064,40.051979,0.982733,53.522669,85.386221
53,0.000005,5.047100,0.388416,40.031516,0.982724,53.205732,77.741962
54,0.000005,5.094200,0.387136,40.020618,0.982801,52.846757,99.000000
55,0.000006,4.961300,0.389056,40.142298,0.983427,52.775491,75.418225
56,0.000006,5.064400,0.384896,40.107763,0.983178,53.307291,99.000000
57,0.000006,4.983500,0.392640,40.141285,0.983420,52.862775,72.764264
58,0.000006,5.149100,0.386176,39.968286,0.982528,53.577638,82.372857
59,0.000006,5.236200,0.388736,40.052974,0.982859,52.948051,99.000000
60,0.000006,4.957200,0.387584,40.202863,0.983714,52.400257,74.501962
61,0.000006,4.678400,0.567968,40.111097,0.983167,53.570305,99.000000
62,0.000006,4.701000,0.386880,40.009030,0.982738,53.167259,72.837038
63,0.000006,4.996900,0.386784,40.078940,0.983076,53.077364,73.370438
64,0.000006,5.272500,0.652160,40.064565,0.982869,53.528529,99.000000
65,0.000007,5.717100,0.389984,40.093490,0.983096,53.033586,70.734330
66,0.000007,5.049700,0.386528,40.117987,0.983197,53.148397,99.000000
67,0.000007,5.157000,0.386624,40.195503,0.983644,52.451230,74.794428
68,0.000007,5.057800,0.386976,40.145612,0.983335,53.261660,73.083755
69,0.000007,5.049400,0.391712,40.138147,0.983272,53.015843,99.000000
70,0.000007,5.107800,0.386368,40.035486,0.982679,53.537660,77.650066
71,0.000007,5.398100,0.386976,40.013796,0.982661,53.208462,99.000000
72,0.000007,5.126800,0.390496,40.001340,0.982739,52.839230,73.784555
73,0.000007,4.461800,0.389152,40.127304,0.983382,52.761934,99.000000
74,0.000007,4.772200,0.390112,40.096583,0.983143,53.305389,75.543486
75,0.000008,4.683800,0.386656,40.131467,0.983395,52.865592,77.461427
76,0.000008,5.109100,0.393152,39.958196,0.982494,53.577254,97.590350
77,0.000008,4.916600,0.392192,40.044792,0.982837,52.948587,74.827529
78,0.000008,5.191200,0.388736,40.196299,0.983696,52.392696,99.000000
79,0.000008,4.919700,0.389408,40.105216,0.983149,53.574328,77.546824
80,0.000008,4.978800,0.386240,40.002281,0.982716,53.167114,70.509853
81,0.000008,4.714800,0.390432,40.075553,0.983070,53.079051,81.947198
82,0.000008,4.938700,0.389920,40.059832,0.982856,53.518542,99.000000
83,0.000008,4.837800,0.387808,40.087244,0.983082,53.017977,99.000000
84,0.000008,5.510500,0.386304,40.111514,0.983180,53.141386,76.019418
85,0.000009,4.865300,0.387296,40.190727,0.983631,52.422505,99.000000
86,0.000009,5.302600,0.390816,40.146294,0.983328,53.269566,76.516232
87,0.000009,4.916100,0.387936,40.138356,0.983263,53.019762,79.048254
88,0.000009,4.970400,0.389376,40.034738,0.982665,53.542649,99.000000
89,0.000009,4.505400,0.390880,40.010481,0.982642,53.213157,72.027484
90,0.000009,5.176500,0.386464,39.999929,0.982724,52.839772,99.000000
91,0.000009,4.914300,0.389952,40.126441,0.983372,52.765020,79.866690
92,0.000009,4.813500,0.530368,40.097285,0.983134,53.337549,75.238802
93,0.000009,4.999400,0.390400,40.132704,0.983391,52.870335,99.000000
94,0.000010,5.176700,0.663360,39.958686,0.982487,53.580101,76.223827
95,0.000010,4.797700,0.388352,40.045756,0.982835,52.940550,99.000000
96,0.000010,6.042900,0.390496,40.194021,0.983694,52.384065,75.465635
97,0.000010,4.838700,0.386336,40.101581,0.983145,53.572394,73.900497
98,0.000010,5.169200,0.389216,39.997893,0.982711,53.165455,99.000000
99,0.000010,5.063000,0.393920,40.072575,0.983068,53.086868,77.292956
100,0.000010,5.407200,0.382400,40.055705,0.982851,53.521532,99.000000
101,0.000010,7.776400,0.385984,40.083145,0.983075,53.020068,77.995464
102,0.000010,5.815000,0.385248,40.107795,0.983172,53.149501,99.000000
103,0.000010,5.283300,0.415968,40.186486,0.983623,52.418304,76.245369
104,0.000011,5.723400,0.444896,40.141389,0.983321,53.284976,75.687837
105,0.000011,5.252700,0.407904,40.133684,0.983253,53.019973,99.000000
106,0.000011,5.109000,0.582112,40.030362,0.982654,53.545574,76.198016
107,0.000011,4.973000,0.581792,40.006599,0.982631,53.213846,99.000000
108,0.000011,5.891100,0.590464,39.999714,0.982717,52.860880,75.579278
109,0.000011,4.835100,0.387584,40.125449,0.983366,52.757987,76.007489
110,0.000011,5.263300,0.522432,40.096599,0.983130,53.344858,99.000000
111,0.000011,5.094100,0.577376,40.132182,0.983387,52.872621,76.679817
112,0.000011,4.923000,0.387232,39.956741,0.982481,53.577135,99.000000
113,0.000011,4.994400,0.386784,40.043394,0.982829,52.934945,79.070223
114,0.000012,5.441800,0.389024,40.193044,0.983690,52.382671,77.393085
115,0.000012,5.006600,0.389440,40.099081,0.983138,53.570763,99.000000
116,0.000012,5.116400,0.391776,39.994020,0.982703,53.170974,75.171888
117,0.000012,4.841700,0.387968,40.069294,0.983065,53.086308,99.000000
118,0.000012,4.831500,0.389440,40.052445,0.982849,53.524022,79.235186
119,0.000012,4.957200,0.390880,40.081146,0.983076,53.016462,99.000000
