frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.000002,5.021100,0.389248,39.720240,0.977264,51.938867,80.913936
17,0.000002,4.744100,0.387264,39.701325,0.977251,51.309042,70.954292
18,0.000002,4.864300,0.585472,39.683560,0.977288,51.152109,99.000000
19,0.000002,4.957400,0.385600,39.731846,0.977612,50.885363,76.606607
20,0.000002,4.886000,0.384416,39.707281,0.977380,51.661036,99.000000
21,0.000002,4.554900,0.390272,39.668002,0.977312,50.784701,73.323003
22,0.000002,5.074200,0.384384,39.579191,0.976837,51.567035,68.998037
23,0.000002,4.884100,0.386272,39.583233,0.976781,50.849528,99.000000
24,0.000002,5.106200,0.658720,39.718723,0.977432,50.701381,70.373419
25,0.000003,4.900700,0.385888,39.653674,0.977062,51.842299,99.000000
26,0.000003,5.094800,0.388640,39.582513,0.976759,51.389744,70.381445
27,0.000003,4.783000,0.386944,39.556445,0.976759,50.898362,81.135617
28,0.000003,4.843900,0.387744,39.609088,0.976785,51.553485,70.994130
29,0.000003,4.809900,0.388096,39.601383,0.976875,51.287113,77.798512
30,0.000003,4.955000,0.389376,39.653979,0.977074,51.448325,99.000000
31,0.000003,5.063600,0.612544,39.671176,0.977271,50.523737,73.015640
32,0.000003,5.041700,0.559808,39.648406,0.977028,51.803088,73.590674
33,0.000003,4.850900,0.385120,39.643182,0.976912,50.852832,72.745808
34,0.000003,5.090500,0.389088,39.595162,0.976597,52.193813,75.810847
35,0.000004,4.650300,0.388448,39.563375,0.976546,51.592492,99.000000
36,0.000004,4.711100,0.387456,39.553956,0.976596,51.333067,74.441863
37,0.000004,4.682100,0.386432,39.635460,0.977093,50.946253,86.856916
38,0.000004,5.045200,0.386752,39.626613,0.976939,51.720228,78.923733
39,0.000004,4.670200,0.387904,39.604354,0.976980,50.804922,99.000000
40,0.000004,5.209900,0.387072,39.507449,0.976435,51.609897,77.283962
41,0.000004,4.547500,0.387232,39.536413,0.976527,50.848738,76.421480
42,0.000004,4.871200,0.389216,39.674721,0.977222,50.731320,82.370209
43,0.000004,4.598800,0.387616,39.606204,0.976831,51.865833,99.000000
44,0.000004,4.800900,0.390048,39.536193,0.976505,51.399817,99.000000
45,0.000005,4.847700,0.385376,39.530987,0.976633,50.881053,75.296493
46,0.000005,4.673100,0.383296,39.577583,0.976617,51.559955,79.164737
