frame,time_s,cpu_ms,gpu_ms,psnr_reproj,ssim_reproj,psnr_direct,ssim_direct,coverage
16,0.566678,1.602400,0.036736,28.108458,0.953030,22.886991,0.807817,0.995764
17,0.600012,1.505700,0.036128,27.858214,0.950417,22.791930,0.805285,0.995721
18,0.633346,1.888400,0.036384,28.316841,0.953031,22.907510,0.807517,0.995710
19,0.666680,1.824400,0.036544,28.363052,0.951840,22.844056,0.805395,0.995696
20,0.700014,1.446100,0.408800,28.369908,0.951932,22.782926,0.804402,0.995687
21,0.733348,1.676800,0.036192,27.966936,0.950590,22.630609,0.801912,0.995671
22,0.766682,1.761200,0.035616,27.797112,0.950888,22.599624,0.801255,0.995660
23,0.800016,1.481100,0.036192,27.783072,0.949066,22.448965,0.798015,0.995648
24,0.833350,1.792300,0.036544,27.799986,0.948686,22.400123,0.796877,0.995639
25,0.866684,1.741000,0.036096,27.751016,0.948197,22.356158,0.797517,0.995629
26,0.900018,1.551100,0.036448,27.814253,0.948807,22.483480,0.798308,0.995613
27,0.933352,1.576600,0.037120,27.654521,0.948264,22.452678,0.797325,0.995600
28,0.966686,1.694100,0.035872,27.888748,0.950701,22.426184,0.798012,0.995600
29,1.000020,1.352600,0.036224,27.900404,0.950341,22.467012,0.798433,0.995590
30,1.033354,2.027100,0.036288,28.004097,0.950294,22.512235,0.798752,0.995581
31,1.066688,2.059100,0.035872,28.365228,0.950820,22.660803,0.799942,0.995567
32,1.100022,1.687300,0.036352,28.329730,0.950093,22.660465,0.799062,0.995567
33,1.133356,1.826700,0.036032,27.692740,0.949337,22.547718,0.799292,0.995548
34,1.166690,1.609300,0.036512,27.454093,0.946945,22.538434,0.799262,0.995532
35,1.200024,1.757800,0.036096,27.435607,0.946821,22.764534,0.800395,0.995517
36,1.233358,1.391400,0.036480,27.712210,0.949208,22.846544,0.803620,0.995523
37,1.266692,1.661000,0.036320,27.685960,0.949136,22.742989,0.803923,0.995505
38,1.300026,1.969500,0.217600,27.929656,0.949642,22.800963,0.804441,0.995494
39,1.333360,1.525100,0.036160,28.347172,0.950067,22.886280,0.805575,0.995488
40,1.366694,1.470000,0.036192,27.626188,0.949599,22.694678,0.804430,0.995486
41,1.400028,2.072800,0.035648,27.553241,0.947442,22.718611,0.803663,0.995476
42,1.433362,1.351500,0.036064,27.563183,0.947957,22.757863,0.804517,0.995467
43,1.466696,1.573500,0.036352,27.563115,0.948129,22.779415,0.806265,0.995457
44,1.500030,1.580000,0.035680,27.649739,0.949249,22.854842,0.808401,0.995451
45,1.533364,1.792900,0.036320,27.688732,0.949830,23.029333,0.810957,0.995442
46,1.566698,1.424200,0.037152,27.731892,0.950206,23.013044,0.810729,0.995430
47,1.600032,2.151700,0.037856,27.792571,0.950836,23.009932,0.810957,0.995424
48,1.633366,2.015500,0.035968,27.813528,0.951066,23.025410,0.811983,0.995421
49,1.666700,1.509600,0.036928,28.093969,0.953840,23.031532,0.812458,0.995413
50,1.700034,1.835400,0.041184,28.071666,0.954103,23.017218,0.812910,0.995397
51,1.733368,1.888700,0.037888,28.115014,0.954455,23.252781,0.814977,0.995397
52,1.766702,1.577600,0.036000,28.632578,0.957658,23.271115,0.816067,0.995394
53,1.800036,1.339600,0.037152,28.693947,0.957416,23.193382,0.814442,0.995390
54,1.833370,1.839300,0.037056,28.663148,0.956891,23.185054,0.813911,0.995378
55,1.866704,2.421500,0.225440,29.111464,0.957500,23.182593,0.812623,0.995378
56,1.900038,1.766500,0.036768,27.973307,0.956074,22.872982,0.810664,0.995367
57,1.933372,1.474000,0.037280,27.684288,0.952892,22.814699,0.808183,0.995355
58,1.966706,1.837900,0.037696,27.843377,0.952522,22.828916,0.807509,0.995355
59,2.000040,1.837100,0.036512,27.684044,0.952218,22.791561,0.807386,0.995349
60,2.033374,2.096700,0.037728,27.681544,0.952176,22.817801,0.807950,0.995336
61,2.066708,1.691000,0.037216,27.603979,0.951428,22.816208,0.807788,0.995334
62,2.100042,1.682100,0.037568,27.597303,0.951661,22.851392,0.808057,0.995328
63,2.133376,1.798700,0.036992,27.626895,0.951674,22.881736,0.808566,0.995324
64,2.166710,1.420400,0.037344,27.711673,0.951925,22.911918,0.809520,0.995314
65,2.200044,1.469200,0.037088,27.855950,0.952776,23.155496,0.810419,0.995305
66,2.233378,1.679700,0.036992,27.945493,0.953257,23.029446,0.810006,0.995284
67,2.266712,1.891200,0.038016,27.925889,0.953699,23.031049,0.811294,0.995260
68,2.300046,1.628000,0.037888,28.235725,0.954392,23.010173,0.807867,0.995247
69,2.333380,1.626600,0.036544,28.493763,0.955237,22.997984,0.806376,0.995241
70,2.366714,1.329800,0.037504,27.944999,0.954671,22.814120,0.805368,0.995226
71,2.400048,1.684900,0.037248,27.954036,0.953491,22.798567,0.804767,0.995210
72,2.433382,2.110300,0.036128,27.897831,0.953271,22.718458,0.803266,0.995220
73,2.466716,1.653400,0.036960,27.767881,0.952593,22.688742,0.802615,0.995251
74,2.500050,1.462200,0.036800,27.670122,0.951587,22.701965,0.802084,0.995282
75,2.533384,1.729300,0.037888,27.733413,0.951656,22.736145,0.802418,0.995291
76,2.566718,1.988000,0.036192,27.534047,0.951371,22.614105,0.803089,0.995295
77,2.600052,1.893700,0.036704,27.460536,0.950858,22.645302,0.805134,0.995280
78,2.633386,1.746100,0.037120,27.409077,0.951100,22.862236,0.808566,0.995266
79,2.666720,1.708500,0.037984,27.280035,0.952564,23.042610,0.811705,0.995255
80,2.700054,1.954100,0.038048,27.176373,0.950900,22.769718,0.807866,0.995253
81,2.733388,1.644000,0.037888,27.658867,0.953412,22.810615,0.807778,0.995243
82,2.766722,1.543100,0.038272,27.951405,0.955775,22.684103,0.808274,0.995235
83,2.800056,1.832400,0.037120,27.719777,0.954729,22.614606,0.809139,0.995237
84,2.833390,1.535900,0.037728,26.910147,0.952530,22.371600,0.808834,0.995235
85,2.866724,1.438500,0.037568,27.098484,0.951863,22.546420,0.809171,0.995222
86,2.900058,1.598100,0.037344,27.385058,0.952815,22.547322,0.807389,0.995220
87,2.933392,1.515500,0.037152,27.335096,0.951796,22.539877,0.804723,0.995220
88,2.966726,1.449700,0.036352,27.502640,0.951839,22.610273,0.804364,0.995214
89,3.000060,1.483700,0.036768,27.423955,0.951265,22.555255,0.803607,0.995206
90,3.033394,1.715900,0.035712,27.047189,0.948921,22.479677,0.801895,0.995204
91,3.066728,1.394800,0.036928,27.131910,0.948114,22.570577,0.801059,0.995206
92,3.100062,1.709800,0.036480,27.156673,0.946955,22.706121,0.801394,0.995197
93,3.133396,1.713500,0.035680,27.143528,0.946819,22.684306,0.801545,0.995185
94,3.166730,1.440700,0.036672,27.221691,0.947400,22.799141,0.803670,0.995191
95,3.200064,1.574600,0.036704,27.184436,0.947501,22.869081,0.804037,0.995191
96,3.233398,1.349300,0.035904,27.370395,0.948600,22.742465,0.803289,0.995179
97,3.266732,1.440300,0.036832,27.371290,0.949168,22.733218,0.803221,0.995174
98,3.300066,1.471600,0.037888,27.811543,0.950588,22.869411,0.803796,0.995172
99,3.333400,1.487800,0.036416,27.485013,0.949277,22.690473,0.800313,0.995168
100,3.366734,1.481100,0.036736,27.193267,0.948349,22.551163,0.799485,0.995152
101,3.400068,1.570100,0.035968,27.260695,0.948517,22.665267,0.800487,0.995149
102,3.433402,2.078200,0.036544,27.167224,0.947904,22.692585,0.800660,0.995145
103,3.466736,1.594900,0.036672,27.198410,0.948449,22.641780,0.800897,0.995145
104,3.500070,1.467500,0.036288,27.194330,0.948408,22.513470,0.799514,0.995133
105,3.533404,1.718400,0.036352,27.223700,0.948587,22.428655,0.798645,0.995120
106,3.566738,1.491700,0.036288,27.542871,0.949834,22.516921,0.799393,0.995123
107,3.600072,1.565400,0.036768,27.742634,0.949388,22.546656,0.798653,0.995127
108,3.633406,1.451500,0.036672,27.427349,0.949255,22.463083,0.797681,0.995120
109,3.666740,1.506400,0.036992,27.190319,0.947358,22.449540,0.795988,0.995096
110,3.700074,1.748900,0.036416,27.087383,0.946244,22.461609,0.795633,0.995098
111,3.733408,1.441500,0.036832,27.018484,0.945530,22.465816,0.796666,0.995098
112,3.766742,1.567000,0.036832,27.090813,0.946684,22.528439,0.798338,0.995095
113,3.800076,1.462800,0.036384,27.119218,0.946960,22.655579,0.799869,0.995087
114,3.833410,1.385000,0.036608,27.115519,0.946591,22.717393,0.801482,0.995079
115,3.866744,1.615700,0.036832,27.107281,0.946127,22.764550,0.802946,0.995075
