frame,time_s,cpu_ms,gpu_ms,psnr_reproj,ssim_reproj,psnr_direct,ssim_direct,coverage
16,0.283339,6.650774,0.379680,30.616229,0.972844,25.184278,0.883127,0.997875
17,0.300006,6.478772,0.382080,30.483641,0.972789,25.168108,0.883083,0.997870
18,0.316673,4.994778,0.378560,30.458394,0.972848,25.179828,0.883366,0.997868
19,0.333340,6.434469,0.372000,30.473787,0.973007,25.205757,0.884016,0.997863
20,0.350007,4.965634,0.375840,30.583007,0.972989,25.202158,0.884209,0.997857
21,0.366674,6.363706,0.356960,30.645061,0.973183,25.307899,0.885317,0.997852
22,0.383341,6.439508,0.378720,30.756884,0.973743,25.379175,0.886416,0.997845
23,0.400008,4.968428,0.368480,30.939657,0.973962,25.629299,0.887043,0.997841
24,0.416675,6.475115,0.375200,31.271258,0.974802,25.732894,0.888411,0.997841
25,0.433342,4.984719,0.369920,31.324076,0.975122,25.567676,0.887674,0.997840
26,0.450009,6.267976,0.352320,31.301824,0.975276,25.578262,0.888480,0.997843
27,0.466676,6.462491,0.372160,31.349630,0.974874,25.658809,0.888841,0.997847
28,0.483343,4.967096,0.364320,31.309456,0.975515,25.720557,0.889697,0.997849
29,0.500010,6.425000,0.364000,31.235217,0.975471,25.704725,0.889663,0.997864
30,0.516677,5.147064,0.366720,31.708323,0.976242,25.838546,0.890436,0.997878
31,0.533344,6.419320,0.354560,31.749102,0.975890,25.773678,0.889460,0.997874
32,0.550011,6.781920,0.367840,31.327254,0.975285,25.676683,0.888946,0.997870
33,0.566678,5.166189,0.359040,30.900947,0.974244,25.574050,0.888337,0.997864
34,0.583345,6.530619,0.368000,30.891321,0.973617,25.560839,0.887943,0.997850
35,0.600012,4.956015,0.361920,30.873363,0.973927,25.559971,0.888053,0.997845
36,0.616679,6.265201,0.368960,31.121125,0.974175,25.611621,0.888456,0.997841
37,0.633346,6.373224,0.367040,31.323877,0.974545,25.591564,0.887845,0.997836
38,0.650013,4.950465,0.366240,31.353679,0.974297,25.580615,0.887261,0.997834
39,0.666680,6.389875,0.369440,31.425595,0.974497,25.579612,0.887321,0.997831
40,0.683347,4.925238,0.371200,31.440649,0.974646,25.558147,0.887180,0.997828
41,0.700014,6.306218,0.371680,31.417904,0.974615,25.556689,0.887288,0.997825
42,0.716681,6.381289,0.376960,31.162242,0.973898,25.465462,0.886063,0.997823
43,0.733348,4.972135,0.366080,30.798984,0.973621,25.366418,0.885354,0.997818
44,0.750015,6.378183,0.374720,30.810218,0.973165,25.388242,0.884648,0.997816
45,0.766682,4.950976,0.374240,30.919404,0.973242,25.339151,0.884138,0.997812
46,0.783349,6.298603,0.359200,30.879884,0.972520,25.286273,0.883244,0.997810
47,0.800016,6.377331,0.376960,30.720173,0.972038,25.232912,0.882792,0.997807
48,0.816683,5.004496,0.373920,30.832808,0.972390,25.213983,0.882600,0.997804
49,0.833350,6.422286,0.375200,30.838417,0.972368,25.193451,0.882535,0.997803
50,0.850017,4.956847,0.378880,30.782708,0.972103,25.183372,0.882270,0.997799
51,0.866684,6.315175,0.374240,30.786543,0.972240,25.159990,0.882074,0.997796
52,0.883351,6.426784,0.382560,30.853383,0.972492,25.219336,0.883258,0.997792
53,0.900018,4.956947,0.369760,30.810355,0.972477,25.321461,0.883433,0.997791
54,0.916685,6.378263,0.379360,30.699241,0.972311,25.258815,0.883055,0.997787
55,0.933352,4.925458,0.376000,30.697408,0.972452,25.227384,0.882804,0.997785
56,0.950019,6.273286,0.378400,30.885480,0.973379,25.210695,0.883583,0.997781
57,0.966686,4.985791,0.375200,30.869417,0.973370,25.118064,0.882964,0.997779
58,0.983353,6.245224,0.369920,30.880550,0.973323,25.132793,0.883113,0.997777
59,1.000020,6.369406,0.374720,30.932482,0.973215,25.153187,0.883133,0.997778
60,1.016687,5.256740,0.370240,30.937920,0.973094,25.164749,0.883535,0.997775
61,1.033354,6.707891,0.371040,30.978584,0.972998,25.184516,0.883658,0.997773
62,1.050021,5.124331,0.375040,31.134577,0.973087,25.221621,0.883771,0.997772
63,1.066688,6.366851,0.374880,31.345056,0.973543,25.232126,0.883572,0.997768
64,1.083355,6.478771,0.377600,31.299373,0.973185,25.255489,0.883867,0.997766
65,1.100022,4.987444,0.372160,31.269592,0.973267,25.304622,0.884399,0.997763
66,1.116689,6.368645,0.380000,30.808010,0.972643,25.224352,0.883951,0.997760
67,1.133356,6.399042,0.380320,30.440042,0.971734,25.184059,0.883308,0.997756
68,1.150023,5.024354,0.378720,30.416753,0.971363,25.226641,0.883293,0.997751
69,1.166690,6.406906,0.375520,30.410417,0.971453,25.260991,0.884475,0.997749
70,1.183357,4.989178,0.378240,30.386085,0.971371,25.448945,0.884931,0.997749
71,1.200024,6.331285,0.379200,30.394166,0.971369,25.546527,0.885724,0.997747
72,1.216691,5.060922,0.384160,30.544115,0.972127,25.645258,0.887598,0.997742
73,1.233358,6.303483,0.368640,30.694375,0.972742,25.548859,0.888020,0.997740
74,1.250025,6.422637,0.374720,30.653022,0.972547,25.537734,0.888175,0.997739
75,1.266692,4.980251,0.366240,30.606747,0.972472,25.505490,0.887872,0.997736
76,1.283359,6.389424,0.374560,30.609080,0.972485,25.512634,0.888296,0.997733
77,1.300026,5.028602,0.376800,31.145728,0.973067,25.663632,0.889434,0.997731
78,1.316693,6.286781,0.371360,31.278125,0.973087,25.623884,0.888471,0.997730
79,1.333360,6.410584,0.374400,31.315320,0.973427,25.628353,0.889061,0.997727
80,1.350027,4.983286,0.374080,30.615537,0.972643,25.422693,0.888062,0.997725
81,1.366694,6.502446,0.376480,30.537761,0.971767,25.444447,0.887497,0.997722
82,1.383361,4.986964,0.374240,30.497058,0.971573,25.451824,0.887335,0.997721
83,1.400028,6.264510,0.376640,30.541907,0.971815,25.500131,0.887963,0.997718
84,1.416695,6.399373,0.380800,30.564637,0.971831,25.524126,0.888522,0.997717
85,1.433362,4.971274,0.369120,30.544985,0.971868,25.541244,0.889051,0.997714
86,1.450029,6.512384,0.374880,30.525152,0.971892,25.534856,0.889017,0.997713
87,1.466696,5.201516,0.369760,30.530840,0.971909,25.546829,0.889437,0.997710
88,1.483363,6.324582,0.371360,30.531721,0.972027,25.558046,0.890275,0.997708
89,1.500030,6.417837,0.375200,30.590484,0.972350,25.666223,0.891382,0.997706
90,1.516697,5.145291,0.370880,30.590735,0.972556,25.765373,0.892252,0.997706
91,1.533364,6.877660,0.373600,30.651965,0.972737,25.765592,0.892418,0.997703
92,1.550031,6.644292,0.377280,30.679887,0.972809,25.752501,0.892397,0.997700
93,1.566698,5.075619,0.374240,30.692757,0.972868,25.756508,0.892336,0.997701
94,1.583365,6.571105,0.376480,30.775530,0.973000,25.757903,0.892451,0.997698
95,1.600032,4.997403,0.370720,30.750783,0.973168,25.759562,0.892632,0.997695
96,1.616699,6.296590,0.357120,30.733447,0.973343,25.750661,0.893138,0.997693
97,1.633366,6.398170,0.371200,30.753686,0.973275,25.781450,0.893413,0.997693
98,1.650033,4.980601,0.365600,31.027531,0.974671,25.782739,0.893622,0.997690
99,1.666700,6.413169,0.366400,31.038834,0.974865,25.764344,0.893542,0.997688
100,1.683367,4.987524,0.368800,30.982222,0.974861,25.779041,0.893914,0.997687
101,1.700034,6.239152,0.348800,30.975242,0.974904,25.779356,0.894024,0.997686
102,1.716701,6.489863,0.368960,31.087137,0.975097,25.990429,0.895475,0.997685
103,1.733368,4.960183,0.360000,31.032760,0.975150,25.990529,0.895466,0.997681
104,1.750035,6.431222,0.367200,31.458576,0.976597,26.027845,0.896613,0.997682
105,1.766702,5.021909,0.362560,31.601326,0.976437,25.938460,0.895505,0.997678
106,1.783369,6.256334,0.365760,31.613927,0.976293,25.941618,0.895062,0.997675
107,1.800036,6.466398,0.369120,31.606752,0.976382,25.951116,0.895254,0.997674
108,1.816703,5.040844,0.362240,31.522893,0.976207,25.918632,0.894947,0.997674
109,1.833370,6.446251,0.367200,31.655536,0.976636,25.900098,0.894583,0.997672
110,1.850037,4.986843,0.368320,31.955441,0.976950,25.908161,0.894207,0.997669
111,1.866704,6.264479,0.362240,31.788283,0.976520,25.886265,0.893885,0.997671
112,1.883371,6.403230,0.375200,30.984840,0.975465,25.675891,0.892498,0.997668
113,1.900038,4.978257,0.371680,30.600547,0.974354,25.567365,0.891468,0.997667
114,1.916705,6.511983,0.376320,30.609412,0.973735,25.575442,0.890660,0.997664
115,1.933372,4.972797,0.372800,30.716658,0.973617,25.598320,0.890424,0.997663
116,1.950039,6.235626,0.381760,30.834199,0.973955,25.615448,0.890761,0.997662
117,1.966706,4.994537,0.381920,30.768230,0.973905,25.593677,0.890988,0.997659
118,1.983373,6.244432,0.380640,30.680018,0.973970,25.577002,0.890684,0.997657
119,2.000040,6.438325,0.380640,30.635851,0.973888,25.585406,0.891066,0.997657
