frame,time_s,cpu_ms,gpu_ms,psnr_reproj,ssim_reproj,psnr_direct,ssim_direct,coverage
16,0.283339,1.659683,0.190240,30.174509,0.960781,25.808964,0.894035,0.997841
17,0.300006,1.613998,0.189440,30.077089,0.960721,25.751688,0.893700,0.997840
18,0.316673,3.166048,0.190880,30.050769,0.960885,25.822124,0.895665,0.997836
19,0.333340,1.603998,0.187360,30.052024,0.961177,25.834682,0.895539,0.997834
20,0.350007,1.624647,0.190240,30.084318,0.960614,25.799834,0.895416,0.997834
21,0.366674,1.615770,0.189920,30.154057,0.961057,25.941929,0.897105,0.997828
22,0.383341,1.646838,0.189920,30.256705,0.961437,26.043509,0.898447,0.997824
23,0.400008,3.265285,0.189440,30.413194,0.962014,26.309710,0.900080,0.997822
24,0.416675,1.640396,0.189120,30.626329,0.962400,26.401974,0.900209,0.997822
25,0.433342,2.152567,0.190080,30.653797,0.962395,26.291813,0.900473,0.997826
26,0.450009,1.588529,0.187680,30.657619,0.962349,26.256358,0.899801,0.997828
27,0.466676,3.174694,0.189600,30.633733,0.961618,26.323153,0.899402,0.997828
28,0.483343,1.651408,0.187840,30.644344,0.962487,26.447128,0.901079,0.997832
29,0.500010,1.631670,0.188480,30.619071,0.962630,26.409205,0.900765,0.997851
30,0.516677,1.722330,0.192800,30.981357,0.964020,26.534692,0.901995,0.997868
31,0.533344,1.771533,0.182720,31.030324,0.963798,26.491454,0.900602,0.997865
32,0.550011,3.623847,0.186240,30.714886,0.963185,26.382776,0.899939,0.997857
33,0.566678,1.858586,0.190080,30.306921,0.962637,26.236342,0.899662,0.997859
34,0.583345,1.695039,0.190400,30.345026,0.961732,26.211951,0.897923,0.997857
35,0.600012,1.701701,0.188960,30.347505,0.962009,26.229450,0.898607,0.997851
36,0.616679,3.326229,0.188480,30.630055,0.963685,26.298476,0.899109,0.997847
37,0.633346,2.813948,0.186080,30.815373,0.963940,26.242943,0.897977,0.997845
38,0.650013,1.707472,0.186240,30.873809,0.964067,26.261311,0.897922,0.997843
39,0.666680,1.629026,0.185920,30.991041,0.964334,26.284035,0.898123,0.997841
40,0.683347,3.183390,0.188480,30.962232,0.964412,26.207891,0.897047,0.997840
41,0.700014,1.656196,0.185600,30.958882,0.964638,26.209965,0.897192,0.997849
42,0.716681,1.717071,0.186560,30.746515,0.963378,26.094598,0.895111,0.997853
43,0.733348,1.601985,0.188000,30.412692,0.963603,26.014065,0.895350,0.997845
44,0.750015,1.602155,0.191520,30.416545,0.963547,26.003944,0.894673,0.997845
45,0.766682,3.154947,0.188960,30.491710,0.963757,25.943782,0.894196,0.997843
46,0.783349,1.606303,0.192480,30.414354,0.962759,25.888169,0.893234,0.997840
47,0.800016,1.604519,0.195840,30.270402,0.961681,25.835349,0.892457,0.997838
48,0.816683,1.623976,0.189120,30.307235,0.961869,25.791602,0.891935,0.997836
49,0.833350,1.588239,0.188800,30.364922,0.961976,25.824899,0.892461,0.997832
50,0.850017,3.068405,0.189440,30.237329,0.961383,25.758826,0.891979,0.997822
51,0.866684,1.618125,0.192160,30.257091,0.961681,25.759015,0.892776,0.997812
52,0.883351,1.629156,0.187200,30.308420,0.961648,25.851353,0.893984,0.997809
53,0.900018,1.607855,0.189600,30.204458,0.961290,25.911825,0.893408,0.997807
54,0.916685,1.633694,0.188960,30.070218,0.960527,25.877521,0.893210,0.997799
55,0.933352,2.957187,0.188480,30.057511,0.960597,25.820779,0.893250,0.997797
56,0.950019,1.622303,0.192640,30.230281,0.961630,25.841280,0.893984,0.997795
57,0.966686,1.662979,0.185280,30.191730,0.961674,25.689903,0.892260,0.997793
58,0.983353,1.606123,0.189280,30.205588,0.961546,25.759733,0.893023,0.997793
59,1.000020,1.653461,0.188160,30.207391,0.961790,25.768154,0.893293,0.997787
60,1.016687,3.111256,0.187840,30.257696,0.961892,25.774125,0.893289,0.997787
61,1.033354,1.754280,0.190720,30.290685,0.962008,25.796076,0.893465,0.997785
62,1.050021,1.717291,0.188480,30.378078,0.961890,25.839938,0.893494,0.997780
63,1.066688,1.725115,0.188000,30.573295,0.962820,25.839249,0.893341,0.997774
64,1.083355,3.960718,0.189280,30.563978,0.962521,25.870056,0.893387,0.997772
65,1.100022,1.783826,0.188480,30.515441,0.962639,25.913261,0.893627,0.997774
66,1.116689,1.765481,0.186400,30.188280,0.962092,25.847596,0.893647,0.997770
67,1.133356,1.738331,0.187840,29.851544,0.961407,25.772537,0.892727,0.997772
68,1.150023,3.197488,0.189600,29.873349,0.960722,25.854099,0.893373,0.997768
69,1.166690,1.585494,0.188000,29.891180,0.960264,25.873770,0.893791,0.997762
70,1.183357,1.571116,0.186560,29.928471,0.960867,26.108281,0.894485,0.997764
71,1.200024,1.601954,0.187840,29.960463,0.961135,26.179205,0.895418,0.997757
72,1.216691,1.596154,0.189760,30.114954,0.962313,26.330361,0.897694,0.997755
73,1.233358,3.126294,0.187680,30.264673,0.962979,26.168535,0.896886,0.997755
74,1.250025,1.590954,0.185600,30.228683,0.963077,26.194010,0.897423,0.997751
75,1.266692,1.576697,0.184640,30.228088,0.963166,26.138161,0.896733,0.997747
76,1.283359,1.594882,0.189120,30.196114,0.963261,26.128124,0.897142,0.997749
77,1.300026,1.569845,0.186400,30.745807,0.964916,26.320293,0.898858,0.997743
78,1.316693,3.098391,0.186560,30.853436,0.964923,26.268684,0.897788,0.997739
79,1.333360,1.587328,0.185760,30.897584,0.965301,26.276651,0.898271,0.997735
80,1.350027,1.574834,0.186400,30.284405,0.964712,26.028735,0.896715,0.997735
81,1.366694,1.595783,0.187040,30.221313,0.964150,26.080514,0.897328,0.997733
82,1.383361,1.612615,0.187360,30.190485,0.963539,26.074521,0.896253,0.997733
83,1.400028,3.109221,0.185920,30.241573,0.963800,26.112464,0.896559,0.997730
84,1.416695,1.595773,0.184960,30.240417,0.963981,26.124921,0.896379,0.997728
85,1.433362,1.595091,0.185600,30.260761,0.964254,26.164659,0.897166,0.997724
86,1.450029,1.599820,0.188320,30.249395,0.964412,26.153168,0.897299,0.997720
87,1.466696,1.580855,0.186720,30.238571,0.964547,26.157911,0.897924,0.997716
88,1.483363,3.087622,0.186880,30.218475,0.964299,26.153843,0.898791,0.997716
89,1.500030,1.594842,0.184960,30.333342,0.964985,26.323624,0.899254,0.997716
90,1.516697,1.713103,0.185600,30.327155,0.965211,26.425262,0.900672,0.997716
91,1.533364,1.852935,0.186240,30.380079,0.965300,26.406802,0.900374,0.997716
92,1.550031,1.717992,0.186880,30.392340,0.965490,26.407737,0.900659,0.997714
93,1.566698,3.132425,0.188800,30.377145,0.965111,26.404746,0.900332,0.997708
94,1.583365,1.827447,0.190560,30.408852,0.965287,26.396663,0.900392,0.997704
95,1.600032,1.706280,0.181920,30.395297,0.965500,26.407411,0.900730,0.997703
96,1.616699,1.773416,0.187360,30.375099,0.965325,26.399116,0.900903,0.997701
97,1.633366,3.237592,0.184160,30.408110,0.965240,26.450441,0.901254,0.997701
98,1.650033,1.743510,0.185600,30.620295,0.966618,26.422399,0.900843,0.997699
99,1.666700,1.660695,0.182880,30.647411,0.966878,26.431501,0.901118,0.997697
100,1.683367,1.661366,0.186080,30.588728,0.966873,26.404023,0.901118,0.997695
101,1.700034,1.591465,0.184480,30.620664,0.966837,26.432037,0.901739,0.997689
102,1.716701,3.121815,0.184320,30.674428,0.967300,26.663022,0.903329,0.997689
103,1.733368,1.626010,0.184480,30.663889,0.967418,26.689484,0.903473,0.997687
104,1.750035,1.617424,0.188160,31.070678,0.969552,26.722699,0.904343,0.997687
105,1.766702,1.609719,0.183520,31.183318,0.969709,26.605586,0.903275,0.997683
106,1.783369,1.639565,0.185760,31.226396,0.969861,26.639050,0.903261,0.997683
107,1.800036,2.942419,0.184640,31.251789,0.970018,26.616041,0.902918,0.997679
108,1.816703,1.604980,0.189920,31.184669,0.969827,26.607064,0.903239,0.997674
109,1.833370,1.590684,0.182080,31.291645,0.970513,26.572660,0.902362,0.997677
110,1.850037,1.607645,0.186560,31.593070,0.971222,26.572435,0.902362,0.997674
