frame,time_s,cpu_ms,gpu_ms,psnr_reproj,ssim_reproj,psnr_direct,ssim_direct,coverage
16,0.283339,1.746300,0.075232,30.212850,0.964333,25.502218,0.887634,0.997848
17,0.300006,1.779000,0.074592,30.121989,0.964331,25.520778,0.887847,0.997847
18,0.316673,1.694300,0.075168,30.141115,0.964954,25.533554,0.888636,0.997845
19,0.333340,1.741800,0.074720,30.132918,0.965185,25.522157,0.888524,0.997843
20,0.350007,1.686700,0.074752,30.289982,0.965255,25.549414,0.889195,0.997842
21,0.366674,1.793800,0.076736,30.338651,0.965556,25.640040,0.890183,0.997842
22,0.383341,1.561300,0.075552,30.423361,0.966148,25.728819,0.891358,0.997844
23,0.400008,1.554000,0.075488,30.675384,0.967033,26.035505,0.893183,0.997846
24,0.416675,1.459700,0.076864,30.961726,0.967719,26.111963,0.893377,0.997853
25,0.433342,1.496400,0.074944,30.945822,0.967852,25.934115,0.893029,0.997858
26,0.450009,1.476600,0.075200,30.976176,0.968292,25.934719,0.893350,0.997857
27,0.466676,1.780900,0.074880,31.017965,0.967634,26.056076,0.893404,0.997860
28,0.483343,1.460600,0.075328,30.988859,0.968395,26.092822,0.894403,0.997862
29,0.500010,1.473700,0.075296,30.912229,0.968237,26.087425,0.894245,0.997880
30,0.516677,1.418400,0.075424,31.337652,0.969346,26.215365,0.895339,0.997893
31,0.533344,1.818300,0.077344,31.372034,0.968867,26.180486,0.894154,0.997890
32,0.550011,2.065500,0.074816,30.981492,0.968207,26.050088,0.893517,0.997891
33,0.566678,1.871000,0.075296,30.584263,0.967240,25.966423,0.893587,0.997894
34,0.583345,1.723800,0.075648,30.546664,0.966298,25.903923,0.891691,0.997899
35,0.600012,1.723200,0.075264,30.553943,0.966550,25.934243,0.892765,0.997898
36,0.616679,2.125500,0.074848,30.745416,0.966905,25.967215,0.892513,0.997895
37,0.633346,1.514500,0.074880,30.944282,0.967676,25.965280,0.892428,0.997891
38,0.650013,1.715400,0.075392,30.981061,0.966962,25.971069,0.891770,0.997891
39,0.666680,1.562800,0.076544,30.998024,0.966970,25.950135,0.891487,0.997890
