frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,11.500420,1.453760,36.461460,0.948641,35.405916,37.350662
17,0.300006,11.422323,1.483680,36.575357,0.949403,35.691879,37.554359
18,0.316673,11.410672,1.478720,36.674835,0.949775,35.918660,37.843780
19,0.333340,11.425640,1.485760,36.655772,0.949982,36.012647,38.009084
20,0.350007,12.972782,1.484160,36.719374,0.950659,36.042885,38.164794
21,0.366674,11.577785,1.486880,36.762641,0.951125,36.058664,38.216513
22,0.383341,11.515508,1.460000,36.730174,0.951571,36.267607,38.424502
23,0.400008,11.449284,1.483040,36.903813,0.952065,36.515322,38.848595
24,0.416675,11.466417,1.487520,36.881927,0.952530,36.706064,39.002183
25,0.433342,11.644049,1.494240,36.875673,0.952843,36.659338,38.955071
26,0.450009,12.729565,1.485600,36.929846,0.953564,36.494333,38.840758
27,0.466676,11.599025,1.470400,36.892871,0.953882,36.449691,38.604139
28,0.483343,11.547528,1.494720,36.973575,0.954447,36.512057,38.733951
29,0.500010,11.553169,1.492640,37.101225,0.955202,36.679304,38.911679
30,0.516677,11.765187,1.490080,37.142404,0.955572,36.774433,39.032407
31,0.533344,12.878054,1.497600,37.087763,0.955977,36.794852,39.002187
32,0.550011,11.688223,1.464000,37.114569,0.956578,36.593879,38.715253
33,0.566678,11.649038,1.492960,37.180822,0.957073,36.481634,38.426303
34,0.583345,11.598504,1.502400,37.128864,0.957420,36.308401,38.273410
35,0.600012,13.169791,1.501120,37.250059,0.958276,36.501670,38.564558
36,0.616679,11.660280,1.496800,37.274172,0.958663,36.709506,38.886978
37,0.633346,11.729409,1.499680,37.279396,0.959137,36.812712,38.784043
38,0.650013,11.718379,1.502240,37.373748,0.959524,36.733037,38.677120
39,0.666680,11.752593,1.511840,37.330014,0.959843,36.827004,38.681719
40,0.683347,13.067139,1.504480,37.347810,0.960635,36.571783,38.663008
41,0.700014,11.768403,1.499040,37.411666,0.961327,36.910263,38.473259
42,0.716681,11.766058,1.518560,37.475737,0.962072,36.627640,38.399373
43,0.733348,11.752213,1.520640,37.520809,0.962707,36.914019,38.314292
44,0.750015,13.592774,1.511680,37.458016,0.963283,36.469283,38.091387
45,0.766682,11.951566,1.521760,37.564487,0.964134,36.440482,37.906797
46,0.783349,11.719641,1.495840,37.567480,0.964947,36.237805,37.730545
47,0.800016,11.968247,1.528640,37.683723,0.965840,36.166100,37.480642
48,0.816683,13.495412,1.535360,37.692144,0.966519,36.093206,37.305512
49,0.833350,12.290202,1.528640,37.679058,0.967070,35.959478,37.154553
50,0.850017,12.274301,1.501600,37.718303,0.968025,35.957723,37.154166
51,0.866684,12.691434,1.540160,37.872748,0.968808,35.729790,37.054156
52,0.883351,14.456655,1.540640,37.827470,0.969480,35.801092,36.854760
53,0.900018,11.762993,1.540160,37.887887,0.970192,29.378944,29.581765
54,0.916685,11.237857,1.521600,37.293683,0.966969,21.517637,21.536517
55,0.933352,10.856502,1.493920,37.325500,0.966689,20.927251,20.949667
56,0.950019,10.804915,1.425600,37.632862,0.969885,20.106110,20.125299
57,0.966686,11.873209,1.370080,38.398282,0.973452,21.558440,21.579440
58,0.983353,10.399235,1.349760,39.258710,0.977131,23.958745,23.998739
59,1.000020,10.369018,1.340480,39.110106,0.981127,25.756600,25.779659
60,1.016687,10.651147,1.330880,39.768618,0.983925,27.750105,27.778963
61,1.033354,10.690140,1.324320,39.665487,0.982451,24.966581,24.985354
62,1.050021,10.523538,1.321600,38.671061,0.974236,21.970835,21.976077
63,1.066688,10.574694,1.335200,37.627467,0.964929,20.356025,20.366139
64,1.083355,10.648332,1.337600,35.659321,0.953153,19.760818,19.760654
65,1.100022,10.707313,1.352800,34.467210,0.944189,21.467478,21.501182
66,1.116689,10.698947,1.374240,34.134582,0.940881,23.403369,23.524198
67,1.133356,10.949797,1.388480,34.041882,0.938568,24.509672,24.706759
68,1.150023,12.348290,1.396160,33.996314,0.936878,25.285963,25.516084
69,1.166690,10.791250,1.396640,33.924429,0.935157,26.758786,27.083382
70,1.183357,10.754771,1.408480,33.846636,0.933631,31.125471,32.056612
71,1.200024,10.783526,1.405280,33.764865,0.932381,31.238846,32.246506
72,1.216691,10.793194,1.406080,33.630864,0.930441,31.323262,32.391882
73,1.233358,10.855300,1.414080,33.621073,0.929350,31.533713,32.741589
74,1.250025,10.882010,1.406080,33.606926,0.928501,31.714684,32.962073
75,1.266692,10.834972,1.412320,33.521830,0.927343,31.800517,33.094385
76,1.283359,10.936102,1.408960,33.450850,0.926342,31.798091,33.138609
77,1.300026,12.030865,1.390880,33.366760,0.925556,31.795452,33.210298
78,1.316693,10.856001,1.409280,33.382991,0.925244,31.853804,33.316498
79,1.333360,10.740765,1.416000,33.378481,0.924630,31.897308,33.387988
80,1.350027,10.818090,1.404480,33.365533,0.924135,31.940892,33.472698
81,1.366694,10.754411,1.407200,33.332510,0.923301,31.968371,33.547008
82,1.383361,10.809415,1.408640,33.360138,0.922677,31.988627,33.620031
83,1.400028,10.713805,1.413600,33.367314,0.922489,32.021697,33.649990
84,1.416695,10.865980,1.407520,33.364416,0.921814,32.093134,33.717783
85,1.433362,10.933346,1.418240,33.313199,0.921255,32.144135,33.820801
