frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.141666,5.348900,0.223008,36.123707,0.947725,35.123492,37.039017
17,0.149999,4.729200,0.222432,36.169967,0.947764,35.050793,37.045751
18,0.158333,4.867300,0.221472,36.205585,0.948052,35.126911,37.129572
19,0.166666,4.716300,0.221952,36.253556,0.948569,35.248166,37.178004
20,0.174999,4.692000,0.222624,36.248516,0.948764,35.381581,37.369855
21,0.183333,5.098900,0.223232,36.306348,0.948818,35.392582,37.539581
22,0.191666,5.465000,0.542176,36.299788,0.948956,35.717863,37.854608
23,0.199999,5.230500,0.225920,36.313213,0.948855,35.804796,38.115933
24,0.208332,5.148300,0.223104,36.403225,0.949219,35.910495,38.279486
25,0.216666,4.934800,0.224832,36.441593,0.949540,35.891224,38.295352
26,0.224999,5.245100,0.223840,36.515391,0.949882,35.982487,38.336982
27,0.233332,5.090100,0.223552,36.492499,0.949916,36.074419,38.447485
28,0.241666,5.314500,0.222592,36.508348,0.950202,36.215114,38.593626
29,0.249999,5.128900,0.224736,36.495296,0.950260,36.164228,38.602330
30,0.258332,5.225900,0.225600,36.581132,0.950528,36.210127,38.658859
31,0.266666,4.777000,0.223328,36.536675,0.950688,36.249520,38.699965
32,0.274999,5.000200,0.224064,36.570915,0.951025,36.236204,38.731466
33,0.283332,4.550800,0.226848,36.522703,0.951014,36.246379,38.836924
34,0.291665,5.221400,0.225344,36.615825,0.951379,36.476745,38.859081
35,0.299999,5.257100,0.225856,36.613564,0.951778,36.456345,39.010951
36,0.308332,5.061000,0.435136,36.672326,0.952037,36.558933,39.129960
37,0.316665,4.993900,0.226848,36.741970,0.952244,36.645293,39.178371
38,0.324999,5.007000,0.227712,36.726632,0.952384,36.735465,39.347011
39,0.333332,4.735500,0.228864,36.740667,0.952507,36.675546,39.309046
40,0.341665,4.963600,0.225056,36.772695,0.952849,36.683030,39.333233
41,0.349999,4.733200,0.226080,36.783754,0.953154,36.796593,39.265972
42,0.358332,5.014600,0.224640,36.812840,0.953248,36.705758,39.340315
43,0.366665,4.849600,0.225440,36.843612,0.953590,36.862321,39.272333
44,0.374998,5.014200,0.225184,36.868207,0.953958,36.827752,39.392915
45,0.383332,4.795100,0.226048,36.827011,0.954087,36.937456,39.665857
46,0.391665,5.094700,0.227936,36.890049,0.954296,37.106503,39.871235
47,0.399998,4.507100,0.225632,36.948904,0.954505,37.247402,40.093052
48,0.408332,5.134900,0.225632,36.974057,0.955012,37.286418,40.266543
49,0.416665,4.454400,0.227232,36.964987,0.955016,37.269353,40.210407
50,0.424998,5.309700,0.225920,37.013718,0.955213,37.466032,40.215833
51,0.433332,4.739100,0.485792,36.963862,0.955340,37.313523,40.205018
52,0.441665,5.153700,0.225408,36.981345,0.955597,37.322304,40.203453
53,0.449998,4.782500,0.224960,37.006797,0.956059,37.321594,40.133473
54,0.458331,5.312500,0.227040,36.994472,0.956199,37.199822,39.968246
55,0.466665,4.453200,0.225088,36.979705,0.956365,37.283329,40.015732
56,0.474998,4.964100,0.227104,37.089495,0.956784,37.375333,40.151458
57,0.483331,4.695100,0.227200,37.056959,0.956884,37.269238,40.103850
58,0.491665,5.270000,0.226560,37.114017,0.957174,37.454691,40.198061
59,0.499998,5.136800,0.226016,37.188184,0.957604,37.459272,40.277628
60,0.508331,5.233900,0.227072,37.120873,0.957598,37.454527,40.233450
61,0.516665,5.041600,0.228736,37.220345,0.957941,37.522362,40.292377
62,0.524998,5.213200,0.227008,37.185617,0.958176,37.532158,40.320242
63,0.533331,4.825800,0.229248,37.161456,0.958249,37.602171,40.352468
64,0.541664,5.137700,0.228992,37.115547,0.958445,37.470532,40.206327
65,0.549998,5.056500,0.229664,37.200824,0.958811,37.300514,40.052780
66,0.558331,4.967600,0.229664,37.222679,0.959144,37.396408,39.854085
67,0.566664,5.066300,0.230144,37.275009,0.959315,37.172190,39.785074
68,0.574998,4.770800,0.231040,37.218676,0.959521,37.106030,39.612248
69,0.583331,4.977500,0.231808,37.226268,0.959648,37.134939,39.620092
70,0.591664,4.892900,0.230912,37.311271,0.960000,37.214585,39.861083
71,0.599998,4.934800,0.446528,37.310776,0.960334,37.272548,39.855085
72,0.608331,5.284200,0.228544,37.288680,0.960306,37.439712,40.058567
73,0.616664,5.245300,0.229760,37.366616,0.960717,37.409733,40.232349
74,0.624997,5.019700,0.230112,37.325067,0.960809,37.474671,40.204999
75,0.633331,5.065700,0.229408,37.388799,0.961254,37.544448,40.266190
76,0.641664,4.981800,0.230816,37.422972,0.961480,37.500190,40.255204
77,0.649997,4.487400,0.230176,37.434585,0.961549,37.522220,40.061700
78,0.658331,5.098700,0.231552,37.255335,0.961380,37.546385,40.148790
79,0.666664,5.074000,0.233984,37.411567,0.961862,37.488520,40.117844
80,0.674997,4.953700,0.527712,37.340041,0.962066,37.407449,40.172188
81,0.683331,5.091400,0.234304,37.412782,0.962569,37.518109,40.197320
82,0.691664,5.007500,0.234656,37.392632,0.962894,37.632595,40.204063
83,0.699997,4.752600,0.234464,37.477237,0.963217,37.690572,40.112641
84,0.708330,5.352800,0.234048,37.451269,0.963541,37.477427,40.054139
85,0.716664,4.647900,0.236736,37.512646,0.963861,37.569267,40.036819
86,0.724997,5.361400,0.237696,37.505058,0.964201,37.633627,40.016730
87,0.733330,4.842500,0.238304,37.545252,0.964348,37.605616,39.816717
88,0.741664,4.614800,0.382272,37.551688,0.964717,37.511228,39.841627
89,0.749997,4.911200,0.238528,37.510104,0.964906,37.373026,39.680937
90,0.758330,5.048800,0.238080,37.665355,0.965458,37.434523,39.610217
