frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.000002,4.883100,0.595776,39.718627,0.975158,56.638245,80.913936
17,0.000002,4.932900,0.308128,39.713097,0.975063,55.835270,70.954292
18,0.000002,4.910300,0.308512,39.642419,0.974675,56.274306,99.000000
19,0.000002,4.495500,0.314816,39.644932,0.974609,56.466909,76.606607
20,0.000002,4.773700,0.302816,39.600277,0.974325,57.045547,99.000000
21,0.000002,5.336500,0.300928,39.572531,0.974147,56.859557,73.323003
22,0.000002,4.930700,0.620064,39.528179,0.973944,57.613754,68.998037
23,0.000002,4.855400,0.299648,39.520016,0.973802,56.886172,99.000000
24,0.000002,5.318800,0.302688,39.542329,0.973790,56.416625,70.373419
25,0.000003,5.175400,0.300128,39.518618,0.973707,58.046520,99.000000
26,0.000003,5.082900,0.298976,39.466023,0.973518,57.642577,70.381445
27,0.000003,5.053100,0.299040,39.456159,0.973448,57.236800,81.135617
28,0.000003,5.097200,0.298176,39.476845,0.973494,57.418158,70.994130
29,0.000003,4.696100,0.299936,39.487061,0.973565,57.374996,77.798512
30,0.000003,4.974700,0.301536,39.511746,0.973612,57.146089,99.000000
31,0.000003,4.973400,0.301760,39.509811,0.973571,56.753516,73.015640
32,0.000003,5.402600,0.297472,39.485656,0.973424,57.944418,73.590674
33,0.000003,4.938300,0.464576,39.472983,0.973322,57.256768,72.745808
34,0.000003,5.088900,0.496192,39.444749,0.973207,58.136207,75.810847
35,0.000004,4.563600,0.298080,39.448101,0.973255,57.272728,99.000000
36,0.000004,5.087500,0.299520,39.424491,0.973172,57.193351,74.441863
37,0.000004,4.572800,0.298272,39.454705,0.973314,57.066404,86.856916
38,0.000004,4.763200,0.302432,39.439705,0.973241,57.530510,78.923733
39,0.000004,4.410300,0.301824,39.434991,0.973229,57.218514,99.000000
40,0.000004,4.945600,0.302848,39.397338,0.973086,57.867787,77.283962
41,0.000004,4.696400,0.298240,39.408389,0.973078,57.122052,76.421480
42,0.000004,4.647600,0.299840,39.442174,0.973166,56.642980,82.370209
43,0.000004,4.606300,0.299904,39.422030,0.973117,58.172577,99.000000
44,0.000004,4.640700,0.300000,39.379772,0.972967,57.720656,99.000000
