frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.000002,4.905700,0.325856,40.765806,0.984046,54.515641,80.913936
17,0.000002,5.170800,0.323904,40.800104,0.984202,53.690455,70.954292
18,0.000002,5.083400,0.636704,40.731878,0.983985,54.147098,99.000000
19,0.000002,4.951900,0.329216,40.769900,0.984123,54.234512,76.606607
20,0.000002,5.244800,0.324352,40.684007,0.983699,54.852253,99.000000
21,0.000002,5.134900,0.327968,40.651928,0.983549,54.669649,73.323003
22,0.000002,5.206400,0.320384,40.572726,0.983220,55.429648,68.998037
23,0.000002,5.108300,0.324256,40.558035,0.983055,54.709269,99.000000
24,0.000002,5.188200,0.326624,40.637178,0.983357,54.199476,70.373419
25,0.000003,4.961100,0.321280,40.581651,0.983117,55.866474,99.000000
26,0.000003,5.297100,0.324736,40.504536,0.982884,55.490771,70.381445
27,0.000003,4.737200,0.323808,40.478928,0.982741,55.028512,81.135617
28,0.000003,5.578000,0.325856,40.499929,0.982723,55.189534,70.994130
29,0.000003,4.488200,0.324608,40.530271,0.982911,55.124095,77.798512
30,0.000003,4.707300,0.511872,40.574837,0.983022,54.910133,99.000000
31,0.000003,5.003500,0.324640,40.600965,0.983160,54.590941,73.015640
32,0.000003,4.988700,0.608224,40.556391,0.982928,55.746146,73.590674
33,0.000003,4.851900,0.323008,40.515535,0.982678,55.108769,72.745808
34,0.000003,5.514200,0.325120,40.460042,0.982431,55.990868,75.810847
35,0.000004,4.702600,0.323008,40.483513,0.982609,55.063357,99.000000
36,0.000004,5.021900,0.324288,40.473698,0.982663,55.019062,74.441863
37,0.000004,4.514400,0.322848,40.543165,0.982981,54.845957,86.856916
38,0.000004,4.923000,0.323648,40.497336,0.982756,55.337602,78.923733
39,0.000004,4.978700,0.324960,40.493276,0.982758,55.033819,99.000000
40,0.000004,5.658000,0.590432,40.417562,0.982450,55.706405,77.283962
41,0.000004,4.956100,0.322720,40.426677,0.982405,54.953825,76.421480
42,0.000004,5.134400,0.324448,40.518125,0.982796,54.436974,82.370209
43,0.000004,4.912700,0.326080,40.466210,0.982577,55.990214,99.000000
44,0.000004,4.948300,0.324384,40.400597,0.982371,55.572727,99.000000
45,0.000005,4.557600,0.324512,40.391150,0.982312,55.107265,75.296493
46,0.000005,5.076600,0.321216,40.409980,0.982283,55.257883,79.164737
47,0.000005,5.074000,0.324128,40.441662,0.982482,55.176635,83.138093
48,0.000005,4.998400,0.326912,40.487297,0.982615,54.941562,78.972191
49,0.000005,5.228500,0.588448,40.516896,0.982771,54.615915,99.000000
50,0.000005,5.137500,0.521376,40.482188,0.982592,55.732285,78.627602
51,0.000005,4.976600,0.320640,40.444026,0.982347,55.105234,76.122556
52,0.000005,4.974500,0.324832,40.384459,0.982080,56.004657,85.386221
53,0.000005,5.174300,0.325856,40.403125,0.982245,55.087060,77.741962
54,0.000005,5.170700,0.323968,40.403455,0.982341,55.001770,99.000000
55,0.000006,4.822200,0.326912,40.478163,0.982687,54.825183,75.418225
56,0.000006,4.727800,0.324320,40.441453,0.982494,55.325165,99.000000
57,0.000006,4.889100,0.324864,40.444831,0.982528,55.028947,72.764264
58,0.000006,5.344300,0.321312,40.367371,0.982208,55.708395,82.372857
59,0.000006,5.107900,0.463648,40.380961,0.982187,54.940022,99.000000
60,0.000006,4.902600,0.511232,40.475711,0.982598,54.424800,74.501962
61,0.000006,5.115700,0.323040,40.425190,0.982383,55.989108,99.000000
62,0.000006,5.120600,0.324736,40.363477,0.982186,55.562360,72.837038
63,0.000006,4.949800,0.323040,40.360303,0.982154,55.093343,73.370438
64,0.000006,5.135300,0.326144,40.377605,0.982119,55.257253,99.000000
65,0.000007,4.555200,0.323680,40.409958,0.982322,55.162812,70.734330
66,0.000007,5.429000,0.322208,40.456563,0.982460,54.942426,99.000000
67,0.000007,4.450100,0.325952,40.485087,0.982620,54.611985,74.794428
68,0.000007,4.782300,0.494624,40.455531,0.982463,55.726063,73.083755
69,0.000007,4.772900,0.326272,40.415057,0.982217,55.116372,99.000000
70,0.000007,5.179200,0.511040,40.355061,0.981946,56.029588,77.650066
71,0.000007,4.731900,0.323296,40.372216,0.982105,55.088947,99.000000
72,0.000007,5.120400,0.327040,40.371687,0.982212,54.918451,73.784555
73,0.000007,4.199700,0.322112,40.449860,0.982570,54.815877,99.000000
74,0.000007,4.776100,0.323584,40.418618,0.982392,55.319524,75.543486
75,0.000008,4.931200,0.324288,40.422654,0.982433,55.020138,77.461427
76,0.000008,5.038200,0.323168,40.346472,0.982111,55.718164,97.590350
77,0.000008,4.737700,0.325056,40.361911,0.982098,54.946916,74.827529
78,0.000008,4.839800,0.325024,40.458492,0.982520,54.432853,99.000000
79,0.000008,5.288500,0.333856,40.407870,0.982306,55.983652,77.546824
80,0.000008,4.752400,0.323104,40.347288,0.982113,55.567185,70.509853
81,0.000008,5.007600,0.465664,40.346973,0.982092,55.108862,81.947198
82,0.000008,4.892800,0.324992,40.363374,0.982056,55.244551,99.000000
83,0.000008,4.721300,0.541984,40.393421,0.982255,55.147794,99.000000
84,0.000008,5.260500,0.486432,40.440043,0.982393,54.940883,76.019418
85,0.000009,4.971300,0.322560,40.470579,0.982560,54.580520,99.000000
86,0.000009,4.867800,0.323744,40.446828,0.982413,55.746160,76.516232
87,0.000009,4.649600,0.322880,40.406740,0.982169,55.111243,79.048254
88,0.000009,4.867000,0.325920,40.346641,0.981896,56.031705,99.000000
89,0.000009,4.575000,0.326240,40.362111,0.982052,55.104768,72.027484
90,0.000009,4.896100,0.320704,40.364684,0.982167,54.966951,99.000000
91,0.000009,4.727100,0.324448,40.443095,0.982531,54.807251,79.866690
92,0.000009,4.825400,0.321888,40.413520,0.982358,55.373979,75.238802
93,0.000009,4.527000,0.327104,40.418105,0.982402,55.015822,99.000000
94,0.000010,5.695000,0.324000,40.341268,0.982078,55.700565,76.223827
95,0.000010,4.634600,0.322848,40.357526,0.982070,54.934851,99.000000
96,0.000010,5.063900,0.322912,40.451547,0.982494,54.406513,75.465635
97,0.000010,4.920700,0.349632,40.400018,0.982280,55.991246,73.900497
98,0.000010,5.635100,0.322208,40.338614,0.982085,55.553377,99.000000
99,0.000010,5.238300,0.335488,40.339363,0.982068,55.111199,77.292956
100,0.000010,5.276300,0.315424,40.355173,0.982028,55.251277,99.000000
101,0.000010,5.248400,0.317600,40.384846,0.982226,55.140226,77.995464
102,0.000010,5.296600,0.321728,40.432643,0.982367,54.950331,99.000000
103,0.000010,5.015500,0.370528,40.462230,0.982534,54.571728,76.245369
104,0.000011,5.874900,0.316064,40.439137,0.982390,55.766631,75.687837
