group,config,description,frames,gpu_ms_p95,fps,cpu_ms,gpu_ms,psnr_reproj,ssim_reproj,psnr_direct,ssim_direct,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref,epe_px,epe_px_median,epe_px_p95,epe_within1_pct,epe_within2_pct,psnr_fg,psnr_fg_min,ssim_fg,psnr_blend,ssim_blend,psnr_hud,ssim_hud,psnr_hud_blend
mv,native-1080p,Native 1920x1080,104,0.381,2690.0,5.8593,0.3717,30.9269,0.9736,25.5260,0.8882,,,,,,,,,,,,,,,,,
mv,native-540p,Native 960x540,104,0.154,6631.5,2.1426,0.1508,30.4639,0.9641,26.1660,0.8976,,,,,,,,,,,,,,,,,
mv,quality-1080p,"1080p, render 1.5x manji",104,0.237,4300.4,2.9604,0.2325,30.6216,0.9674,25.8743,0.8917,,,,,,,,,,,,,,,,,
mv,performance-1080p,"1080p, render 2.0x manji",104,0.192,5326.6,1.9866,0.1877,30.4639,0.9641,26.1660,0.8976,,,,,,,,,,,,,,,,,
mv,motion-slow,"960x540, sporo gibanje (dt/4)",104,0.155,6590.0,1.9655,0.1517,35.0421,0.9859,32.9292,0.9782,,,,,,,,,,,,,,,,,
mv,motion-fast,"960x540, brzo gibanje (dt*2)",104,0.155,6599.3,2.2111,0.1515,27.6671,0.9507,22.7430,0.8046,,,,,,,,,,,,,,,,,
mv,aliased,"960x540, bez filtriranja uzorka",104,0.151,6731.8,2.0863,0.1485,27.8962,0.9259,24.5917,0.8563,,,,,,,,,,,,,,,,,
native,cost-1080p-native,Sponza: native 1920x1080,104,1.595,707.1,0.2653,1.4143,,,,,,,,,,,,,,,,,,,,,
native,cost-1080p-q,Sponza: samo render 1280x720,104,0.819,1370.7,0.3544,0.7296,,,,,,,,,,,,,,,,,,,,,
native,cost-1080p-p,Sponza: samo render 960x540,104,0.554,2000.6,0.2833,0.4998,,,,,,,,,,,,,,,,,,,,,
native,cost-4k-native,Sponza: native 3840x2160,104,5.604,207.4,0.2470,4.8209,,,,,,,,,,,,,,,,,,,,,
native,cost-4k-p,Sponza: samo render 1920x1080,104,1.745,632.5,0.2564,1.5809,,,,,,,,,,,,,,,,,,,,,
upscale,up-nearest-15,"Nearest, Quality 1.5x",104,0.513,1973.7,6.2667,0.5067,,,,,30.0843,0.9438,27.4698,30.4932,,,,,,,,,,,,,
upscale,up-sponza-nearest-15,"Sponza: Nearest, Quality 1.5x",104,1.158,934.6,10.9439,1.0700,,,,,32.1475,0.8966,29.4811,34.0526,,,,,,,,,,,,,
upscale,up-bilinear-15,"Bilinear, Quality 1.5x",104,0.519,1951.5,6.2207,0.5124,,,,,33.2892,0.9678,30.0205,30.4932,,,,,,,,,,,,,
upscale,up-sponza-bilinear-15,"Sponza: Bilinear, Quality 1.5x",104,1.161,933.5,10.8547,1.0712,,,,,35.2502,0.9333,33.7617,34.0526,,,,,,,,,,,,,
upscale,up-bicubic-15,"Bicubic, Quality 1.5x",104,0.570,1774.3,6.2704,0.5636,,,,,32.8426,0.9662,29.0510,30.4932,,,,,,,,,,,,,
upscale,up-sponza-bicubic-15,"Sponza: Bicubic, Quality 1.5x",104,1.214,888.6,10.8226,1.1254,,,,,35.3729,0.9420,32.4689,34.0526,,,,,,,,,,,,,
upscale,up-fsr1-15,"FSR1 EASU+RCAS, Quality 1.5x",104,0.883,1139.9,6.6126,0.8772,,,,,31.1309,0.9548,27.5569,30.4932,,,,,,,,,,,,,
upscale,up-sponza-fsr1-15,"Sponza: FSR1 EASU+RCAS, Quality 1.5x",104,1.534,684.7,11.1569,1.4604,,,,,33.0859,0.9117,30.0070,34.0526,,,,,,,,,,,,,
upscale,up-nearest-20,"Nearest, Performance 2.0x",104,0.412,2457.5,6.0545,0.4069,,,,,29.2962,0.9323,26.9362,30.4390,,,,,,,,,,,,,
