frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,11.554982,1.670400,37.004784,0.957276,40.123830,37.247685
17,0.300006,11.612290,1.674400,37.005276,0.957697,40.917400,37.518489
18,0.316673,12.970197,1.671840,37.133608,0.957863,40.796107,37.734823
19,0.333340,11.599716,1.646400,37.299442,0.958784,41.446321,38.049033
20,0.350007,11.662163,1.685280,37.394617,0.959758,40.664689,37.846371
21,0.366674,11.607421,1.679520,37.278273,0.959664,41.894986,38.305264
22,0.383341,11.637918,1.675840,37.413189,0.960456,41.487739,38.288190
23,0.400008,13.041100,1.670240,37.540437,0.961306,42.517915,38.935556
24,0.416675,11.649470,1.652640,37.594700,0.961710,41.236118,38.506858
25,0.433342,11.664578,1.677440,37.544269,0.961713,42.499049,38.940827
26,0.450009,11.509878,1.672320,37.525171,0.962135,42.138399,38.612595
27,0.466676,11.652876,1.680000,37.695946,0.962870,42.419261,38.779700
28,0.483343,12.978933,1.682880,37.521358,0.963496,41.868535,38.354500
29,0.500010,11.753605,1.647360,37.696971,0.964178,42.443613,38.968967
30,0.516677,11.940947,1.667840,37.842755,0.965056,42.511288,38.978101
31,0.533344,12.006009,1.675040,37.622634,0.964509,42.543246,39.005868
32,0.550011,13.492676,1.684160,37.664441,0.965224,40.767506,38.047778
33,0.566678,11.799712,1.652960,37.597239,0.965562,42.145060,38.475357
34,0.583345,11.708891,1.663520,37.535806,0.965798,41.362090,37.877973
35,0.600012,11.769535,1.672960,37.615296,0.966514,42.471095,38.519389
36,0.616679,13.135196,1.686720,37.623053,0.966432,42.321742,38.517315
37,0.633346,11.793991,1.686240,37.877889,0.967629,42.580365,38.871884
38,0.650013,11.773753,1.649120,37.925522,0.968310,41.365371,38.285637
39,0.666680,11.831030,1.682080,37.709615,0.968243,42.953257,38.888669
40,0.683347,11.892836,1.680320,37.925510,0.968833,41.970007,38.388567
41,0.700014,13.249942,1.681120,37.745937,0.969313,42.640111,38.855387
42,0.716681,11.897464,1.667520,37.774226,0.969915,40.848622,37.672575
43,0.733348,11.943040,1.674080,37.512688,0.969719,42.438892,38.309191
44,0.750015,12.193911,1.688000,37.638045,0.970206,41.346561,37.699465
45,0.766682,13.452261,1.688800,37.707924,0.971203,42.351102,38.105026
46,0.783349,11.892546,1.688160,37.465273,0.971545,40.913681,37.219089
47,0.800016,12.084976,1.695360,37.546665,0.972339,41.166000,37.606994
48,0.816683,12.136113,1.699200,37.606132,0.973032,40.559461,37.202944
49,0.833350,13.602482,1.693600,37.387687,0.972695,40.294730,37.256505
50,0.850017,12.235919,1.686240,37.701213,0.973700,38.754478,36.414977
51,0.866684,12.189031,1.697760,37.730207,0.974309,40.519472,37.020440
52,0.883351,13.533494,1.704640,37.756311,0.974872,39.184620,36.359362
53,0.900018,11.838344,1.703040,37.427746,0.974503,30.411013,29.578875
54,0.916685,11.209505,1.648160,36.435662,0.967789,21.872045,21.520747
55,0.933352,10.839540,1.648320,35.916958,0.964175,21.367619,20.950818
