frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,11.672322,1.666720,36.855667,0.951739,39.952832,37.247685
17,0.300006,11.595649,1.687520,36.841564,0.952023,40.715394,37.518489
18,0.316673,13.009080,1.681600,36.944075,0.952268,40.565210,37.734823
19,0.333340,11.648948,1.656800,37.098501,0.953157,41.135433,38.049033
20,0.350007,11.665169,1.683680,37.204885,0.954087,40.472313,37.846371
21,0.366674,11.667593,1.678560,37.126959,0.954162,41.695814,38.305264
22,0.383341,11.674737,1.667840,37.226005,0.954930,41.235531,38.288190
23,0.400008,12.939739,1.677600,37.325179,0.955632,42.347538,38.935556
24,0.416675,11.668486,1.636480,37.363888,0.956052,41.084307,38.506858
25,0.433342,11.619814,1.670240,37.324972,0.956138,42.323132,38.940827
26,0.450009,11.520157,1.672480,37.315874,0.956713,41.886755,38.612595
27,0.466676,11.682181,1.672320,37.503659,0.957414,42.034889,38.779700
28,0.483343,12.890397,1.672480,37.347603,0.957968,41.717158,38.354500
29,0.500010,11.740981,1.645440,37.509343,0.958733,42.157844,38.968967
30,0.516677,11.993605,1.669600,37.640551,0.959572,42.254565,38.978101
31,0.533344,12.023251,1.676640,37.434830,0.959132,42.293217,39.005868
32,0.550011,13.330603,1.670080,37.482194,0.959889,40.594788,38.047778
33,0.566678,11.839927,1.659680,37.434524,0.960257,41.877678,38.475357
34,0.583345,11.768904,1.673280,37.403668,0.960643,41.043361,37.877973
35,0.600012,11.761280,1.681760,37.461760,0.961294,42.195101,38.519389
36,0.616679,13.229543,1.680800,37.448541,0.961330,42.079093,38.517315
37,0.633346,11.846840,1.670080,37.685784,0.962492,42.276541,38.871884
38,0.650013,11.833465,1.656480,37.733492,0.963092,41.234516,38.285637
39,0.666680,11.885262,1.677600,37.549334,0.963182,42.715456,38.888669
40,0.683347,13.457882,1.675680,37.766407,0.963923,41.834025,38.388567
41,0.700014,11.929415,1.674880,37.601720,0.964426,42.541213,38.855387
42,0.716681,11.904749,1.662080,37.643860,0.965104,40.755560,37.672575
43,0.733348,11.924345,1.684960,37.433496,0.965161,42.287496,38.309191
44,0.750015,12.142865,1.691520,37.556265,0.965828,41.194858,37.699465
45,0.766682,13.440559,1.696640,37.662534,0.966869,42.108378,38.105026
46,0.783349,11.908345,1.670400,37.463524,0.967264,40.826084,37.219089
47,0.800016,12.067825,1.698400,37.568299,0.968180,40.965789,37.606994
48,0.816683,13.609526,1.701120,37.647159,0.968964,40.422164,37.202944
49,0.833350,12.930943,1.687040,37.441465,0.968882,40.236505,37.256505
50,0.850017,12.268531,1.671520,37.725410,0.969911,38.723811,36.414977
51,0.866684,12.274933,1.703520,37.766838,0.970667,40.514786,37.020440
52,0.883351,13.509669,1.707040,37.793787,0.971377,39.184337,36.359362
53,0.900018,11.808178,1.685600,37.553664,0.971359,30.273103,29.578875
54,0.916685,11.221056,1.668960,36.782547,0.966004,21.760383,21.520747
55,0.933352,10.834030,1.631840,36.512184,0.963583,21.212836,20.950818
56,0.950019,10.532354,1.555360,36.511976,0.964197,20.391654,20.122084
57,0.966686,10.419092,1.503840,37.007144,0.967540,21.872190,21.607312
58,0.983353,10.388485,1.449280,37.865718,0.972127,24.279079,23.969901
59,1.000020,10.266777,1.403360,37.916239,0.976603,26.242251,25.778006
60,1.016687,12.008763,1.424640,38.771653,0.981092,28.257404,27.555855
61,1.033354,10.881619,1.434560,37.727193,0.977142,25.554730,24.964545
62,1.050021,10.646319,1.427040,36.425870,0.965044,22.496478,21.969020
63,1.066688,10.567550,1.434080,35.257805,0.952835,20.888892,20.374606
64,1.083355,10.742188,1.454720,32.909497,0.933057,20.423893,19.754226
65,1.100022,10.771914,1.511520,31.871020,0.919996,22.463491,21.502890
66,1.116689,10.729985,1.531680,31.810973,0.917922,24.647011,23.521952
67,1.133356,11.007786,1.543040,32.123068,0.918937,25.714046,24.678885
68,1.150023,10.966158,1.556960,32.552523,0.921597,26.317613,25.559757
69,1.166690,12.542825,1.554400,32.733984,0.922373,28.178996,27.081551
70,1.183357,11.050547,1.537280,32.984066,0.924794,34.712040,32.107179
71,1.200024,10.882902,1.577120,32.999785,0.924710,35.179456,32.248825
72,1.216691,10.873855,1.570080,33.083640,0.924542,35.169271,32.485384
73,1.233358,10.909813,1.565600,33.272586,0.925057,35.215085,32.616870
74,1.250025,10.975485,1.569760,33.332195,0.925030,35.446085,33.051583
75,1.266692,10.889354,1.565920,33.169440,0.923781,36.197137,33.062592
76,1.283359,10.953564,1.574560,33.242472,0.924065,36.006847,33.163658
77,1.300026,12.116976,1.531520,33.123754,0.923374,36.438428,33.135854
78,1.316693,10.957863,1.569920,33.226986,0.923626,35.936068,33.384615
79,1.333360,11.029086,1.565760,33.167009,0.922585,36.662919,33.361041
80,1.350027,11.061016,1.566720,33.226859,0.922564,36.375417,33.517946
81,1.366694,10.964325,1.573120,33.344060,0.922832,36.498639,33.506182
82,1.383361,10.950959,1.580160,33.221058,0.922543,36.802653,33.672877
83,1.400028,10.927976,1.562720,33.288185,0.922614,36.515880,33.619335
84,1.416695,12.362016,1.573440,33.379607,0.922577,36.554322,33.741807
85,1.433362,11.050667,1.553760,33.323465,0.921789,36.925729,33.775136
86,1.450029,10.903170,1.589760,33.421419,0.921962,36.618755,34.063280
87,1.466696,11.444155,1.600640,33.334994,0.921443,37.303111,33.983910
88,1.483363,11.130336,1.605600,33.419205,0.921385,37.021253,34.096735
89,1.500030,11.000583,1.600000,33.412728,0.921135,37.496100,34.170918
90,1.516697,10.904002,1.584320,33.483646,0.921189,37.368855,34.439368
91,1.533364,12.158465,1.591200,33.675217,0.922251,37.290435,34.390252
92,1.550031,10.811357,1.560640,33.697383,0.922338,37.459223,34.726764
93,1.566698,10.673630,1.594240,33.609875,0.921244,37.961888,34.647384
94,1.583365,10.539969,1.581920,33.685689,0.921458,37.718744,34.737942
95,1.600032,10.508950,1.590720,33.641204,0.921200,38.118012,34.704416
96,1.616699,10.535951,1.595200,33.695145,0.921093,37.948023,35.065799
97,1.633366,10.585444,1.604160,33.659624,0.920032,38.629679,35.073941
98,1.650033,10.504442,1.611680,33.763567,0.920055,38.502943,35.314207
99,1.666700,10.507919,1.597760,33.984663,0.921427,38.552515,35.385408
100,1.683367,10.481389,1.581760,33.937117,0.921570,39.074126,35.634822
101,1.700034,10.521244,1.585440,33.948593,0.921840,38.904123,35.657538
102,1.716701,10.664181,1.565920,34.079808,0.922916,38.805557,35.849287
103,1.733368,11.588345,1.540640,34.003111,0.921877,39.042835,35.711357
104,1.750035,10.665223,1.572000,33.987074,0.921126,38.876421,35.964909
105,1.766702,10.659353,1.594560,34.013689,0.921747,39.311071,36.012996
106,1.783369,10.472011,1.592000,34.024843,0.921253,39.091111,36.040583
107,1.800036,10.630899,1.598080,33.972559,0.921185,39.462388,36.022952
108,1.816703,10.598439,1.606400,34.034040,0.921219,39.194176,36.093360
109,1.833370,10.616141,1.591040,34.169066,0.922783,39.073569,35.952304
110,1.850037,10.573652,1.604960,34.150815,0.922802,39.056502,36.019775
111,1.866704,10.588870,1.590240,34.019306,0.922535,39.438183,35.823510
112,1.883371,10.616733,1.588160,34.021132,0.922784,38.870504,35.535545
113,1.900038,10.594721,1.593280,34.023746,0.923140,38.909393,35.377808
114,1.916705,10.635097,1.590240,34.062466,0.923406,37.885006,35.096025
115,1.933372,11.614504,1.566080,33.946741,0.922399,38.244322,35.007525
116,1.950039,10.629486,1.598720,33.979221,0.922472,37.602632,34.789058
117,1.966706,10.541782,1.605760,34.102706,0.923480,37.620133,34.789283
118,1.983373,10.568181,1.599520,34.089101,0.924564,37.570586,34.610248
119,2.000040,10.533757,1.600000,34.091585,0.924732,37.415264,34.646805
