frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,5.314500,0.307904,35.911286,0.951417,40.825170,37.254179
17,0.300006,4.891500,0.312704,35.899908,0.951943,41.684277,37.518482
18,0.316673,5.195200,0.312896,36.016443,0.952206,41.661694,37.731175
19,0.333340,4.777900,0.311520,36.229053,0.953247,42.223983,38.042544
20,0.350007,5.103300,0.310624,36.376918,0.954499,41.501701,37.852402
21,0.366674,4.954000,0.312352,36.216530,0.954167,43.128404,38.305627
22,0.383341,4.873500,0.310752,36.338770,0.955087,42.453721,38.286264
23,0.400008,4.783700,0.309920,36.445186,0.955972,43.732023,38.938038
24,0.416675,5.131200,0.308224,36.555869,0.956493,42.049857,38.504628
25,0.433342,5.021100,0.312992,36.500233,0.956532,43.796613,38.937759
26,0.450009,5.079700,0.312352,36.465933,0.957156,43.407772,38.607298
27,0.466676,4.908800,0.312000,36.666336,0.958264,43.402018,38.777617
28,0.483343,4.992500,0.311104,36.506220,0.958695,42.972988,38.350113
29,0.500010,4.843500,0.313760,36.661672,0.959512,43.606601,38.960046
30,0.516677,5.054700,0.311360,36.836920,0.960556,43.535564,38.975833
31,0.533344,4.959800,0.312640,36.606441,0.960152,43.827798,38.992874
32,0.550011,5.028800,0.313792,36.654984,0.960966,41.663304,38.066194
33,0.566678,4.697200,0.317440,36.531361,0.961132,43.269694,38.471376
34,0.583345,4.804000,0.312672,36.472163,0.961416,42.442044,37.886925
35,0.600012,4.596400,0.313216,36.536493,0.961997,43.641713,38.522965
36,0.616679,5.216200,0.315200,36.554076,0.962125,43.528447,38.511001
37,0.633346,5.009400,0.316000,36.854990,0.963462,43.543651,38.865575
38,0.650013,4.983100,0.317120,36.981267,0.964401,42.402694,38.284083
39,0.666680,4.911000,0.317280,36.788959,0.964463,44.348388,38.891185
40,0.683347,5.053500,0.320320,36.948758,0.965159,42.923996,38.398130
41,0.700014,4.532800,0.317664,36.727711,0.965424,43.791871,38.850080
42,0.716681,4.771100,0.319392,36.748946,0.966057,41.590765,37.669897
43,0.733348,4.857100,0.320224,36.449598,0.965823,43.556032,38.288745
44,0.750015,5.051800,0.583616,36.546001,0.966379,42.227650,37.692727
45,0.766682,4.817700,0.321664,36.645721,0.967465,43.203226,38.101930
46,0.783349,5.002100,0.322464,36.422573,0.967670,41.750686,37.213901
47,0.800016,4.586200,0.323872,36.464179,0.968509,42.001767,37.601091
48,0.816683,4.806500,0.323200,36.554331,0.969288,41.122675,37.195718
49,0.833350,4.910200,0.319968,36.326519,0.969222,40.962156,37.243525
50,0.850017,5.048100,0.322080,36.592276,0.970203,39.266829,36.398270
51,0.866684,5.110900,0.323584,36.597891,0.970781,41.119829,37.002291
52,0.883351,5.376800,0.325952,36.651184,0.971447,39.762002,36.346587
53,0.900018,5.061100,0.323424,36.298530,0.970697,30.467092,29.579060
54,0.916685,12.406200,0.321504,35.396711,0.963085,21.884391,21.521209
55,0.933352,6.114000,0.316192,34.971798,0.959031,21.390908,20.950712
56,0.950019,5.172800,0.305408,34.696853,0.957712,20.611529,20.122358
57,0.966686,4.743100,0.292224,35.279376,0.960227,22.078216,21.607104
58,0.983353,4.688400,0.276480,36.037247,0.964955,24.503290,23.970339
59,1.000020,4.674600,0.277376,35.985271,0.969535,26.457024,25.778413
60,1.016687,5.104700,0.278528,36.801500,0.974371,28.489300,27.552877
61,1.033354,4.949600,0.281664,35.442196,0.968026,25.796392,24.963936
62,1.050021,5.185700,0.281024,33.970202,0.951616,22.761539,21.967876
63,1.066688,4.904100,0.284256,32.695023,0.936430,21.192536,20.374281
64,1.083355,5.273400,0.285440,30.390179,0.909297,20.803714,19.757274
65,1.100022,5.124000,0.291232,29.067984,0.888155,23.031544,21.509235
66,1.116689,5.160300,0.300704,28.853983,0.883817,25.219446,23.526311
67,1.133356,4.765800,0.305888,29.048195,0.883118,26.175327,24.681602
68,1.150023,4.946400,0.313376,29.505765,0.886722,26.572130,25.558698
69,1.166690,4.471400,0.317920,29.821332,0.889855,28.488215,27.080846
70,1.183357,4.598900,0.314688,30.229560,0.895564,34.985907,32.108634
71,1.200024,4.711100,0.314464,30.460610,0.898889,35.488076,32.249103
72,1.216691,5.014400,0.312128,30.702380,0.900924,35.422202,32.479835
73,1.233358,4.399500,0.315520,31.074781,0.903567,35.504205,32.612707
74,1.250025,4.757400,0.319904,31.300317,0.905582,35.723028,33.047849
75,1.266692,4.968800,0.314144,31.255060,0.905564,36.702397,33.062970
76,1.283359,5.140700,0.611072,31.406442,0.907046,36.364794,33.146117
77,1.300026,4.700700,0.318752,31.361178,0.907777,37.032545,33.126274
