frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,5.133200,0.275648,36.202858,0.942861,40.635989,37.268366
17,0.300006,4.855900,0.277792,36.200997,0.943493,41.544138,37.527422
18,0.316673,4.973200,0.278816,36.306612,0.943839,41.447667,37.718935
19,0.333340,4.691700,0.277472,36.457612,0.944911,42.199866,38.048563
20,0.350007,5.092800,0.279136,36.561416,0.945913,41.300879,37.861554
21,0.366674,4.934700,0.280128,36.464681,0.945886,42.794801,38.327087
22,0.383341,4.992700,0.281024,36.573270,0.946839,42.242105,38.291480
23,0.400008,4.921300,0.450688,36.656585,0.947643,43.663853,38.957763
24,0.416675,5.042800,0.544128,36.732062,0.948181,42.028480,38.489172
25,0.433342,4.990600,0.278464,36.683280,0.948320,43.613667,38.963268
26,0.450009,5.178300,0.281856,36.707507,0.949026,43.104358,38.614664
27,0.466676,5.271100,0.279648,36.866633,0.950112,43.351045,38.783842
28,0.483343,5.144300,0.280512,36.684988,0.950468,42.750403,38.366495
29,0.500010,4.793300,0.424864,36.838626,0.951222,43.461837,38.979539
30,0.516677,5.022400,0.281824,36.952018,0.952215,43.485704,38.984752
31,0.533344,4.682000,0.282912,36.797165,0.952070,43.623975,39.035570
32,0.550011,4.858400,0.282112,36.825552,0.952759,41.425337,38.067696
33,0.566678,5.006000,0.284832,36.764855,0.953168,43.039687,38.491613
34,0.583345,5.121300,0.282976,36.750460,0.953559,42.032550,37.892346
35,0.600012,5.026600,0.286176,36.810039,0.954317,43.460257,38.555100
36,0.616679,5.219100,0.284832,36.826006,0.954519,43.201523,38.510958
37,0.633346,5.074600,0.284352,37.021111,0.955668,43.480927,38.889214
38,0.650013,5.100000,0.284640,37.053226,0.956380,42.023192,38.293303
39,0.666680,5.296100,0.284672,36.897646,0.956459,44.020893,38.895419
40,0.683347,4.982000,0.287104,37.090385,0.957282,42.790778,38.443486
41,0.700014,4.993400,0.289024,36.924350,0.957720,43.739629,38.895371
42,0.716681,4.996400,0.288640,36.966442,0.958440,41.466538,37.703516
43,0.733348,4.875600,0.290784,36.759769,0.958487,43.265387,38.310090
44,0.750015,5.008200,0.290592,36.897747,0.959220,41.977556,37.712285
45,0.766682,4.612400,0.291488,36.969582,0.960264,43.179170,38.115249
46,0.783349,5.078500,0.291872,36.774605,0.960576,41.411203,37.245160
47,0.800016,4.915800,0.294528,36.909482,0.961574,41.709256,37.711121
48,0.816683,5.440000,0.293312,36.922692,0.962291,41.024571,37.205938
49,0.833350,5.092300,0.292128,36.719161,0.962339,40.822021,37.337024
50,0.850017,5.647300,0.293440,37.002687,0.963382,39.071107,36.392184
51,0.866684,5.072500,0.294816,37.028203,0.964072,41.032138,37.042115
52,0.883351,5.413000,0.294848,37.082034,0.964771,39.552915,36.413039
53,0.900018,4.992200,0.296096,36.758534,0.964256,30.382385,29.590927
54,0.916685,5.300400,0.599040,35.956128,0.956870,21.801048,21.521793
55,0.933352,4.873200,0.289440,35.544486,0.952829,21.254156,20.951780
56,0.950019,5.070400,0.275680,35.485108,0.952778,20.409653,20.122800
57,0.966686,4.577100,0.264928,36.043590,0.956641,21.894404,21.607131
58,0.983353,5.584900,0.255968,36.748889,0.962353,24.316340,23.970339
59,1.000020,4.677900,0.255328,36.717555,0.968303,26.314796,25.778445
60,1.016687,5.090900,0.252192,37.604945,0.974226,28.349100,27.552581
61,1.033354,4.788600,0.257824,36.562801,0.970042,25.606213,24.963201
62,1.050021,5.051500,0.258048,35.348982,0.956063,22.500455,21.967927
63,1.066688,4.975200,0.262048,34.254779,0.941848,20.884232,20.374225
64,1.083355,5.462300,0.260960,31.854916,0.917308,20.469637,19.757369
65,1.100022,4.721800,0.267680,30.556336,0.899570,22.707687,21.509798
66,1.116689,5.168800,0.266688,30.307827,0.896245,25.065346,23.528728
67,1.133356,4.513600,0.274048,30.768322,0.898768,26.013845,24.682811
68,1.150023,4.683000,0.281280,31.404981,0.903293,26.467288,25.559114
69,1.166690,4.725700,0.283168,31.717426,0.905270,28.373447,27.083252
70,1.183357,5.489500,0.282464,32.124940,0.909276,34.814608,32.122034
71,1.200024,4.653100,0.280640,32.235806,0.910190,35.411642,32.248606
72,1.216691,5.207500,0.279744,32.393064,0.910530,35.344366,32.489775
73,1.233358,4.790800,0.279808,32.589723,0.911167,35.467308,32.615476
74,1.250025,4.843800,0.281472,32.653179,0.911242,35.609716,33.067624
75,1.266692,4.613400,0.283136,32.529629,0.910135,36.467790,33.067145
76,1.283359,4.700100,0.282912,32.609966,0.910525,36.253949,33.162072
77,1.300026,5.215900,0.281856,32.485779,0.909758,36.839540,33.145301
78,1.316693,4.814700,0.574368,32.619065,0.910323,36.140153,33.396543
79,1.333360,4.693100,0.284832,32.559795,0.909210,37.037460,33.373542
80,1.350027,4.753800,0.284352,32.640744,0.909220,36.727812,33.478517
81,1.366694,4.243800,0.283616,32.730018,0.909415,36.849437,33.499013
82,1.383361,4.830200,0.283904,32.573879,0.908455,37.170395,33.679279
83,1.400028,4.805900,0.283712,32.669383,0.908763,36.836409,33.611657
84,1.416695,5.507800,0.285568,32.757490,0.908851,36.886334,33.743625
85,1.433362,4.709100,0.285088,32.721272,0.908137,37.430701,33.762652
86,1.450029,4.600400,0.285824,32.825505,0.908225,36.941647,34.047891
87,1.466696,4.339800,0.282400,32.725100,0.907565,37.821541,33.979492
88,1.483363,4.646500,0.282336,32.850724,0.907788,37.384677,34.071830
89,1.500030,4.737600,0.283232,32.821207,0.907601,38.071347,34.156882
90,1.516697,5.275900,0.281024,32.925052,0.907772,37.857747,34.410902
91,1.533364,4.526400,0.283168,33.082328,0.908264,37.869579,34.389407
92,1.550031,4.735900,0.280096,33.087510,0.908132,37.987647,34.718050
93,1.566698,4.441300,0.281088,32.999478,0.907049,38.672417,34.637483
94,1.583365,4.485500,0.279840,33.053676,0.906974,38.360703,34.713426
95,1.600032,4.399300,0.282048,32.992949,0.906457,38.944632,34.687470
96,1.616699,4.733800,0.280128,33.077521,0.906638,38.649441,35.056044
97,1.633366,4.712500,0.280096,33.070486,0.905753,39.455058,35.050025
98,1.650033,4.818800,0.282880,33.199308,0.905931,39.356889,35.289471
99,1.666700,4.737300,0.280160,33.390568,0.907118,39.408973,35.370850
100,1.683367,5.147700,0.279328,33.287658,0.906449,40.072463,35.615828
101,1.700034,4.561100,0.280640,33.324311,0.906867,39.788917,35.648283
102,1.716701,4.448200,0.282976,33.429561,0.907488,39.697237,35.826743
103,1.733368,4.506900,0.280736,33.361439,0.906562,40.139033,35.691927
104,1.750035,5.436700,0.278688,33.372753,0.906246,39.805057,35.944831
