frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.990600,0.307968,36.971490,0.957340,40.191514,37.254179
17,0.300006,5.003600,0.309344,36.968228,0.957717,40.996863,37.518482
18,0.316673,5.215500,0.311520,37.091380,0.957855,40.877613,37.731175
19,0.333340,4.911600,0.311648,37.265680,0.958752,41.514604,38.042544
20,0.350007,5.360800,0.472256,37.358268,0.959710,40.737141,37.852402
21,0.366674,4.931500,0.308736,37.244374,0.959608,42.006437,38.305627
22,0.383341,5.216900,0.307168,37.374648,0.960359,41.585732,38.286264
23,0.400008,4.934700,0.306880,37.498517,0.961175,42.636200,38.938038
24,0.416675,5.040800,0.312064,37.552503,0.961554,41.317880,38.504628
25,0.433342,4.799700,0.308608,37.499918,0.961571,42.615962,38.937759
26,0.450009,4.802200,0.311808,37.494757,0.962033,42.256051,38.607298
27,0.466676,4.727700,0.310432,37.667195,0.962772,42.523854,38.777617
28,0.483343,5.489500,0.308896,37.481672,0.963316,41.988618,38.350113
29,0.500010,4.741700,0.315264,37.652935,0.963973,42.567786,38.960046
30,0.516677,5.207400,0.310144,37.797432,0.964825,42.635598,38.975833
31,0.533344,4.802900,0.503552,37.579470,0.964320,42.671612,38.992874
32,0.550011,5.418100,0.530400,37.625258,0.965039,40.856066,38.066194
33,0.566678,4.850900,0.312832,37.549295,0.965344,42.259048,38.471376
34,0.583345,5.742700,0.310688,37.504793,0.965589,41.459383,37.886925
35,0.600012,5.066900,0.311648,37.582478,0.966297,42.597506,38.522965
36,0.616679,5.152500,0.312608,37.587194,0.966242,42.447835,38.511001
37,0.633346,4.995600,0.314336,37.838808,0.967431,42.693709,38.865575
38,0.650013,5.162000,0.313696,37.899052,0.968103,41.459336,38.284083
39,0.666680,5.026700,0.315520,37.683575,0.968081,43.084788,38.891185
40,0.683347,5.541600,0.316416,37.903639,0.968688,42.101023,38.398130
41,0.700014,4.926500,0.318464,37.711903,0.969122,42.775527,38.850080
42,0.716681,5.107200,0.318976,37.742354,0.969736,40.942839,37.669897
43,0.733348,4.753400,0.321088,37.481367,0.969560,42.557228,38.288745
44,0.750015,4.867000,0.319840,37.625281,0.970074,41.439206,37.692727
45,0.766682,4.755000,0.323488,37.692436,0.971035,42.453457,38.101930
46,0.783349,5.105200,0.321856,37.441749,0.971358,40.992513,37.213901
47,0.800016,4.863100,0.323072,37.518993,0.972131,41.278517,37.601091
48,0.816683,5.318500,0.325856,37.576274,0.972793,40.632626,37.195718
