frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.991300,0.598592,34.901514,0.937136,41.944124,37.254179
17,0.300006,4.876000,0.487264,34.805909,0.936520,42.953746,37.518482
18,0.316673,5.521300,0.319168,34.849128,0.936160,42.945007,37.731175
19,0.333340,4.999200,0.316416,34.977388,0.936602,43.550302,38.042544
20,0.350007,5.564700,0.313376,35.047084,0.937092,42.901424,37.852402
21,0.366674,5.143700,0.313056,34.895202,0.936407,44.962770,38.305627
22,0.383341,5.312000,0.311264,34.967461,0.937034,43.986740,38.286264
23,0.400008,4.925300,0.309568,35.008663,0.937524,45.952634,38.938038
24,0.416675,5.267700,0.311712,35.101287,0.938235,43.639341,38.504628
25,0.433342,5.146900,0.309920,35.065776,0.938273,45.904577,38.937759
26,0.450009,5.796700,0.310016,35.050079,0.939088,45.301286,38.607298
27,0.466676,4.868100,0.314688,35.191261,0.940226,44.991351,38.777617
28,0.483343,5.050300,0.480608,35.055917,0.940515,44.832403,38.350113
29,0.500010,4.796800,0.311008,35.186018,0.941679,45.392750,38.960046
30,0.516677,5.251500,0.316160,35.309531,0.942818,45.289489,38.975833
31,0.533344,4.509000,0.312384,35.163090,0.942864,45.691882,38.992874
32,0.550011,5.370600,0.311040,35.211417,0.943956,43.039672,38.066194
33,0.566678,4.613800,0.317760,35.101207,0.944364,45.035277,38.471376
34,0.583345,5.379100,0.312096,35.092322,0.945023,43.886800,37.886925
35,0.600012,4.887600,0.313728,35.100447,0.945545,45.636298,38.522965
36,0.616679,5.071200,0.529888,35.154308,0.946170,45.209608,38.511001
37,0.633346,5.049000,0.314528,35.393893,0.947804,45.145087,38.865575
38,0.650013,5.879800,0.313728,35.495982,0.948949,44.131825,38.284083
39,0.666680,4.910000,0.315040,35.417454,0.949413,46.317131,38.891185
40,0.683347,5.203800,0.317024,35.524467,0.950441,44.477166,38.398130
41,0.700014,4.876400,0.322144,35.343382,0.950887,45.807035,38.850080
42,0.716681,5.149500,0.319360,35.376810,0.951829,42.988818,37.669897
43,0.733348,5.102500,0.319968,35.174222,0.951936,45.224611,38.288745
44,0.750015,5.319400,0.321600,35.231953,0.952922,43.664664,37.692727
45,0.766682,4.843700,0.323264,35.299328,0.954324,44.584901,38.101930
46,0.783349,5.245400,0.323328,35.133546,0.954628,43.109588,37.213901
47,0.800016,4.727700,0.325472,35.200453,0.955854,43.141909,37.601091
48,0.816683,5.129000,0.321952,35.269436,0.956906,42.069361,37.195718
49,0.833350,5.063200,0.323648,35.124101,0.957391,42.012023,37.243525
50,0.850017,5.539800,0.322176,35.355948,0.958828,40.089821,36.398270
51,0.866684,4.863300,0.559136,35.364903,0.959696,42.184101,37.002291
52,0.883351,5.561800,0.508864,35.467147,0.960828,40.618937,36.346587
53,0.900018,5.121400,0.326048,35.237732,0.960573,30.550515,29.579060
54,0.916685,5.018700,0.588480,34.686744,0.954866,21.891890,21.521209
55,0.933352,4.953200,0.499712,34.343676,0.951726,21.400296,20.950712
56,0.950019,5.156600,0.304320,34.220200,0.952572,20.621939,20.122358
57,0.966686,5.371100,0.292576,35.102723,0.957076,22.085714,21.607104
58,0.983353,5.516500,0.278976,35.942887,0.962297,24.528067,23.970339
59,1.000020,4.814600,0.276160,35.792072,0.966730,26.497620,25.778413
60,1.016687,5.284800,0.275648,36.607738,0.972180,28.540133,27.552877
61,1.033354,5.142300,0.276096,35.487636,0.967398,25.814013,24.963936
62,1.050021,5.120800,0.279136,34.165929,0.952473,22.770294,21.967876
63,1.066688,5.531700,0.282240,32.762941,0.936039,21.211111,20.374281
64,1.083355,5.219100,0.285600,30.297128,0.906259,20.845524,19.757274
65,1.100022,5.249400,0.597984,28.931245,0.882451,23.094836,21.509235
66,1.116689,5.152600,0.297440,28.557065,0.873464,25.336186,23.526311
67,1.133356,5.026500,0.306016,28.644657,0.869509,26.279614,24.681602
68,1.150023,4.911500,0.313792,28.945371,0.869585,26.685658,25.558698
69,1.166690,5.197100,0.323904,29.071211,0.868169,28.659475,27.080846
70,1.183357,5.000900,0.321408,29.305592,0.870296,35.582767,32.108634
71,1.200024,4.370100,0.319584,29.356900,0.869772,36.168493,32.249103
72,1.216691,4.947300,0.321216,29.448986,0.868373,36.036663,32.479835
73,1.233358,4.535700,0.329248,29.624874,0.867382,36.117421,32.612707
74,1.250025,4.927800,0.555808,29.700625,0.866066,36.403773,33.047849
75,1.266692,4.934400,0.321280,29.611146,0.863503,37.495248,33.062970
76,1.283359,4.857300,0.324256,29.650067,0.862631,37.083438,33.146117
77,1.300026,4.513300,0.325280,29.546611,0.861059,37.963834,33.126274
78,1.316693,4.710900,0.325248,29.712818,0.862174,36.931395,33.373997
79,1.333360,4.817200,0.321216,29.696230,0.860800,38.179355,33.345609
80,1.350027,5.185000,0.320224,29.758418,0.860220,37.686032,33.509076
81,1.366694,4.562400,0.317408,29.900860,0.860491,37.512907,33.495134
82,1.383361,5.155600,0.318048,29.802571,0.859028,38.312847,33.675008
83,1.400028,4.347900,0.319328,29.919650,0.859695,37.523978,33.608282
84,1.416695,5.240300,0.316832,30.034032,0.860191,37.680258,33.736897
85,1.433362,4.718600,0.315136,30.044913,0.860668,38.574404,33.767642
86,1.450029,4.909400,0.533024,30.189344,0.862446,37.857563,34.056785
87,1.466696,5.200800,0.318080,30.154612,0.862708,39.028944,33.971227
88,1.483363,5.565600,0.314976,30.289955,0.864328,38.375434,34.087926
89,1.500030,4.592800,0.313344,30.290270,0.864673,39.164642,34.157246
90,1.516697,5.112700,0.311648,30.407733,0.865707,38.824636,34.429570
91,1.533364,4.821700,0.311360,30.633930,0.867334,38.543516,34.382156
92,1.550031,7.643900,0.304288,30.731815,0.868275,38.990735,34.718618
93,1.566698,4.521400,0.332096,30.697328,0.867906,40.047879,34.639764
94,1.583365,5.696200,0.323904,30.785533,0.868800,39.418427,34.725732
95,1.600032,4.851200,0.316800,30.738995,0.868770,40.486037,34.693082
96,1.616699,5.150600,0.326880,30.864338,0.870098,39.794166,35.058326
97,1.633366,4.570400,0.312288,30.879284,0.870108,41.083537,35.060444
98,1.650033,5.278000,0.314720,31.052497,0.871478,40.542675,35.303194
