frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,13.060356,1.658880,36.834343,0.957635,40.668324,37.339250
17,0.300006,11.653277,1.654560,36.912280,0.958230,40.991443,37.541504
18,0.316673,11.573878,1.673600,36.995246,0.958715,41.560910,37.828773
19,0.333340,11.627599,1.669280,37.042572,0.959113,41.696139,38.004996
20,0.350007,11.605958,1.693280,37.031532,0.959571,41.891998,38.165507
21,0.366674,13.023096,1.669600,37.044455,0.959801,42.009857,38.209015
22,0.383341,11.663035,1.644480,37.144034,0.960514,42.279041,38.421696
23,0.400008,11.554511,1.668960,37.301512,0.961002,42.723761,38.849414
24,0.416675,11.774915,1.666560,37.320710,0.961482,42.940050,38.995920
25,0.433342,13.105511,1.676960,37.307945,0.961781,42.865252,38.953418
26,0.450009,11.567476,1.663520,37.331528,0.962475,42.780822,38.832572
27,0.466676,11.673505,1.640800,37.310485,0.962879,42.527566,38.585517
28,0.483343,11.682492,1.677920,37.395799,0.963361,42.616166,38.742214
29,0.500010,11.714752,1.677120,37.450406,0.964044,42.856545,38.922754
30,0.516677,13.424859,1.668000,37.467375,0.964518,43.042647,39.011741
31,0.533344,11.986762,1.676480,37.473477,0.964846,43.118725,39.001210
32,0.550011,11.867048,1.670880,37.419817,0.965358,42.692097,38.709187
33,0.566678,11.792748,1.671360,37.467162,0.965706,42.325625,38.418883
34,0.583345,13.266522,1.685440,37.452970,0.966014,42.363630,38.265703
35,0.600012,11.788791,1.674400,37.492580,0.966467,42.689562,38.568494
36,0.616679,11.797908,1.649120,37.619529,0.966919,43.028279,38.882868
37,0.633346,11.807116,1.675520,37.602955,0.967318,43.041822,38.789521
38,0.650013,11.788290,1.684320,37.531456,0.967464,43.151165,38.692017
39,0.666680,13.100010,1.670400,37.376604,0.967355,43.059778,38.669711
40,0.683347,11.855396,1.645440,37.501678,0.968123,42.829521,38.644124
41,0.700014,11.905861,1.675040,37.369896,0.968685,43.256896,38.456995
42,0.716681,11.915579,1.683520,37.521056,0.969447,42.975190,38.374678
43,0.733348,13.483800,1.690720,37.428434,0.969830,42.857361,38.267244
44,0.750015,12.198028,1.686080,37.432135,0.970316,42.455121,38.100758
45,0.766682,12.109031,1.691200,37.352190,0.970882,42.363783,37.888519
46,0.783349,11.920828,1.696960,37.402532,0.971670,41.996194,37.709569
47,0.800016,13.523114,1.702880,37.365602,0.972169,41.545992,37.488240
48,0.816683,12.178913,1.688160,37.338740,0.972627,41.225420,37.325756
