frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.872300,0.334048,37.109822,0.960656,39.692762,37.254179
17,0.300006,4.675100,0.336384,37.106323,0.960993,40.421469,37.518482
18,0.316673,5.048000,0.334144,37.231300,0.961057,40.325741,37.731175
19,0.333340,4.842800,0.335872,37.413093,0.961888,40.904005,38.042544
20,0.350007,5.254800,0.333440,37.506194,0.962800,40.189180,37.852402
21,0.366674,5.329000,0.333888,37.389583,0.962726,41.360420,38.305627
22,0.383341,5.013800,0.332704,37.528580,0.963451,40.994998,38.286264
23,0.400008,5.140500,0.333696,37.654218,0.964205,41.909492,38.938038
24,0.416675,5.324900,0.336192,37.714075,0.964592,40.736807,38.504628
25,0.433342,5.009400,0.336448,37.654853,0.964605,41.908715,38.937759
26,0.450009,5.267600,0.336704,37.651061,0.965056,41.610807,38.607298
27,0.466676,5.047600,0.339328,37.826466,0.965685,41.861106,38.777617
28,0.483343,5.239900,0.336480,37.618397,0.966140,41.355590,38.350113
29,0.500010,4.880800,0.336224,37.800154,0.966813,41.904283,38.960046
30,0.516677,5.445200,0.338048,37.952552,0.967638,41.951433,38.975833
31,0.533344,4.930900,0.337216,37.722827,0.967096,42.012959,38.992874
32,0.550011,5.062700,0.337376,37.778324,0.967864,40.352181,38.066194
33,0.566678,4.575900,0.341536,37.684115,0.968060,41.641001,38.471376
34,0.583345,4.909500,0.337856,37.636695,0.968296,40.925482,37.886925
35,0.600012,5.135400,0.338816,37.715866,0.968980,41.938025,38.522965
36,0.616679,5.089300,0.339264,37.718463,0.968860,41.817924,38.511001
37,0.633346,5.044300,0.340064,37.980269,0.970036,42.044263,38.865575
38,0.650013,5.054800,0.338336,38.043249,0.970683,40.899742,38.284083
39,0.666680,4.944200,0.338688,37.811615,0.970624,42.402571,38.891185
40,0.683347,5.288100,0.342784,38.038267,0.971174,41.520722,38.398130
41,0.700014,4.901000,0.343968,37.830763,0.971526,42.106233,38.850080
42,0.716681,4.882400,0.344896,37.866633,0.972158,40.439055,37.669897
43,0.733348,4.816700,0.347136,37.592910,0.971916,41.931202,38.288745
44,0.750015,5.073600,0.347264,37.737225,0.972356,40.910308,37.692727
45,0.766682,4.867900,0.349024,37.801672,0.973211,41.828680,38.101930
46,0.783349,5.238400,0.606208,37.527036,0.973448,40.464559,37.213901
47,0.800016,4.889400,0.346624,37.600828,0.974212,40.753796,37.601091
48,0.816683,5.223100,0.347008,37.658388,0.974838,40.148188,37.195718
49,0.833350,5.407700,0.344416,37.449801,0.974482,39.895010,37.243525
50,0.850017,5.078100,0.347872,37.754569,0.975429,38.456286,36.398270
51,0.866684,4.947500,0.349696,37.767093,0.975941,40.098621,37.002291
52,0.883351,5.148600,0.351776,37.797266,0.976466,38.829974,36.346587
53,0.900018,4.797000,0.349280,37.433022,0.975875,30.362660,29.579060
54,0.916685,5.037600,0.352416,36.423962,0.968957,21.864080,21.521209
55,0.933352,4.936000,0.344128,35.892256,0.965040,21.365246,20.950712
56,0.950019,5.124200,0.329632,35.611946,0.964072,20.562179,20.122358
57,0.966686,4.901300,0.316416,36.223374,0.967406,22.021434,21.607104
58,0.983353,5.134800,0.559424,37.068466,0.972185,24.441234,23.970339
59,1.000020,5.091800,0.302080,37.077799,0.976695,26.383999,25.778413
60,1.016687,5.151700,0.299712,38.021685,0.981144,28.388032,27.552877
61,1.033354,5.077600,0.303680,36.618872,0.975751,25.760426,24.963936
62,1.050021,5.322500,0.305664,35.044910,0.961645,22.725883,21.967876
63,1.066688,4.928500,0.308800,33.634775,0.947633,21.136486,20.374281
64,1.083355,5.555800,0.308416,31.283370,0.924302,20.711519,19.757274
65,1.100022,4.834400,0.313792,30.277036,0.911281,22.825035,21.509235
66,1.116689,5.029200,0.324288,30.297526,0.912133,24.977254,23.526311
67,1.133356,4.591500,0.330432,30.901877,0.916727,25.925936,24.681602
68,1.150023,4.663700,0.336960,31.641400,0.922552,26.403162,25.558698
69,1.166690,4.643700,0.337664,32.041974,0.925436,28.266402,27.080846
70,1.183357,4.917200,0.335584,32.523980,0.930082,34.485988,32.108634
71,1.200024,4.876300,0.336768,32.673220,0.931247,34.968127,32.249103
72,1.216691,4.720800,0.334560,32.858756,0.931984,34.948891,32.479835
73,1.233358,4.603700,0.340256,33.110199,0.933185,35.060139,32.612707
74,1.250025,4.911900,0.342944,33.200368,0.933459,35.121607,33.047849
75,1.266692,4.739700,0.338080,33.079113,0.932847,35.900824,33.062970
76,1.283359,4.870100,0.568512,33.182262,0.933518,35.732630,33.146117
77,1.300026,4.720900,0.341984,33.062498,0.933028,36.145002,33.126274
78,1.316693,4.837000,0.342944,33.210249,0.933493,35.577388,33.373997
79,1.333360,4.466900,0.344800,33.138428,0.932253,36.353242,33.345609
80,1.350027,4.568800,0.342464,33.233177,0.932715,36.131160,33.509076
81,1.366694,4.591800,0.341216,33.357581,0.933231,36.238376,33.495134
82,1.383361,4.720200,0.342816,33.209129,0.933129,36.385221,33.675008
83,1.400028,4.464500,0.350080,33.307107,0.933354,36.183219,33.608282
84,1.416695,4.625300,0.345760,33.421168,0.933662,36.197589,33.736897
85,1.433362,5.141200,0.343040,33.382530,0.932939,36.596077,33.767642
86,1.450029,5.171500,0.343488,33.509581,0.933228,36.238238,34.056785
87,1.466696,4.833200,0.340864,33.396030,0.932782,36.919614,33.971227
88,1.483363,5.068900,0.339584,33.515769,0.932872,36.655346,34.087926
89,1.500030,4.239600,0.338432,33.500692,0.932759,37.128070,34.157246
90,1.516697,4.689500,0.340896,33.625046,0.933139,37.013997,34.429570
91,1.533364,5.092500,0.338176,33.842148,0.934488,37.008104,34.382156
92,1.550031,4.931400,0.339136,33.841115,0.934586,37.068080,34.718618
93,1.566698,4.695000,0.339488,33.743852,0.933614,37.598451,34.639764
94,1.583365,4.944000,0.337056,33.834122,0.934045,37.388577,34.725732
95,1.600032,4.799500,0.337824,33.774031,0.933827,37.755006,34.693082
96,1.616699,5.164400,0.338624,33.868993,0.933929,37.547975,35.058326
97,1.633366,4.603700,0.559456,33.837393,0.932686,38.181297,35.060444
98,1.650033,4.983600,0.341760,34.005078,0.933062,38.098036,35.303194
99,1.666700,4.779500,0.340384,34.239352,0.934439,38.167173,35.365642
100,1.683367,6.271800,0.533728,34.151622,0.934525,38.536247,35.624365
101,1.700034,5.152100,0.351872,34.176158,0.934745,38.418030,35.645766
102,1.716701,4.986800,0.530880,34.331883,0.936102,38.349050,35.832686
103,1.733368,5.022000,0.565248,34.253523,0.935087,38.593657,35.692100
104,1.750035,5.682700,0.513696,34.243198,0.934311,38.411562,35.951578
105,1.766702,4.736300,0.330944,34.252946,0.934759,38.787660,35.997304
106,1.783369,4.844500,0.339744,34.296333,0.934289,38.582341,36.022428
107,1.800036,4.726000,0.342944,34.231217,0.934209,38.956432,36.007438
108,1.816703,4.730100,0.345152,34.308312,0.934243,38.719899,36.081797
109,1.833370,4.706700,0.346944,34.431972,0.935547,38.681280,35.934689
110,1.850037,5.100900,0.344384,34.390475,0.935487,38.559117,36.005972
111,1.866704,4.423200,0.640832,34.219161,0.935026,38.981341,35.808604
112,1.883371,4.564600,0.512768,34.210045,0.935163,38.515880,35.516491
113,1.900038,4.643300,0.638720,34.184397,0.935459,38.580336,35.360465
114,1.916705,4.892900,0.343424,34.234697,0.935662,37.635097,35.080757
115,1.933372,4.850000,0.343872,34.085454,0.934351,37.983792,34.996126
116,1.950039,5.188000,0.536320,34.133373,0.934450,37.448405,34.772812
117,1.966706,4.758400,0.612384,34.252314,0.935333,37.451760,34.776714
118,1.983373,4.383900,0.343520,34.209262,0.936218,37.295136,34.596592
119,2.000040,4.038700,0.343968,34.218275,0.936394,37.209578,34.636849
