frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,2.536400,0.101504,32.634780,0.965231,28.619305,30.156520
17,0.300006,2.620000,0.101344,32.629968,0.965311,28.589883,30.022890
18,0.316673,2.499100,0.101216,32.627878,0.965259,28.603398,29.967367
19,0.333340,2.599900,0.101728,32.600653,0.965150,28.569489,30.002535
20,0.350007,2.839800,0.101952,32.674490,0.965402,28.677811,30.130202
21,0.366674,2.787900,0.102464,32.705302,0.965671,28.752464,30.202959
22,0.383341,2.703800,0.102368,32.758081,0.965824,28.763421,30.251598
23,0.400008,2.558500,0.102336,32.740494,0.965873,28.950572,30.557825
24,0.416675,2.711700,0.102336,32.769608,0.965977,29.111968,30.798340
25,0.433342,2.803100,0.102336,32.787217,0.966226,29.123219,30.810295
26,0.450009,2.550900,0.101984,32.812442,0.966460,29.142073,30.799814
27,0.466676,2.787800,0.101888,32.829096,0.966384,29.185771,30.803304
28,0.483343,2.611500,0.102304,32.879186,0.966634,29.132834,30.759649
29,0.500010,2.528800,0.102368,32.846397,0.966353,29.109831,30.744943
30,0.516677,3.103300,0.102112,32.868010,0.966619,29.332170,31.099650
31,0.533344,2.460900,0.102464,32.859421,0.966307,29.331008,31.065322
32,0.550011,2.378100,0.102272,32.838902,0.966139,29.100425,30.767709
33,0.566678,2.633300,0.101952,32.861048,0.966181,28.919887,30.419194
34,0.583345,2.701900,0.102336,32.784119,0.965930,28.879976,30.406207
35,0.600012,2.690900,0.101504,32.832171,0.966131,28.890290,30.392170
36,0.616679,2.567000,0.101632,32.805628,0.966135,29.060264,30.624963
37,0.633346,2.778600,0.101792,32.782150,0.965822,29.117611,30.754019
38,0.650013,2.746400,0.101440,32.788980,0.965945,29.182354,30.790787
39,0.666680,2.817800,0.101792,32.753142,0.965869,29.185278,30.828686
40,0.683347,2.460100,0.101664,32.830648,0.965974,29.169986,30.868828
41,0.700014,2.611700,0.102368,32.827345,0.965940,29.206021,30.860780
42,0.716681,2.277500,0.102336,32.803200,0.966035,29.031843,30.695146
43,0.733348,2.573500,0.102816,32.815717,0.965762,28.861990,30.353678
44,0.750015,2.640700,0.101632,32.766953,0.965647,28.882088,30.392469
45,0.766682,2.255100,0.102176,32.801424,0.965835,28.937464,30.482643
46,0.783349,2.564900,0.102016,32.727267,0.965370,28.893925,30.382178
47,0.800016,2.449100,0.101408,32.731483,0.965555,28.853876,30.315464
48,0.816683,2.579000,0.325504,32.762553,0.965660,28.870000,30.381443
49,0.833350,2.852700,0.348448,32.745746,0.965548,28.919683,30.400979
50,0.850017,2.755500,0.102112,32.774988,0.965686,28.881076,30.379646
51,0.866684,2.297300,0.101632,32.756348,0.965572,28.878871,30.358397
52,0.883351,2.587300,0.101536,32.781935,0.965468,28.935232,30.456459
53,0.900018,2.310400,0.102560,32.736438,0.965668,28.915019,30.464011
54,0.916685,2.344300,0.102048,32.845762,0.966082,28.848154,30.376018
55,0.933352,2.565800,0.102464,32.752580,0.965746,28.818865,30.361043
56,0.950019,2.621300,0.102048,32.736853,0.965590,28.928418,30.500584
57,0.966686,2.433000,0.102080,32.736083,0.965523,28.914003,30.444255
58,0.983353,2.580200,0.102208,32.734971,0.965543,28.893056,30.449419
59,1.000020,2.154900,0.101920,32.737973,0.965481,28.931273,30.496892
60,1.016687,2.445700,0.374336,32.728776,0.965521,28.963057,30.520179
61,1.033354,2.630200,0.101856,32.760631,0.965762,28.988819,30.540028
62,1.050021,2.294000,0.101824,32.750755,0.965431,29.092342,30.692524
63,1.066688,2.305600,0.102048,32.724158,0.965545,29.198421,30.807107
64,1.083355,2.551600,0.102688,32.733431,0.965636,29.163684,30.802860
65,1.100022,2.450200,0.102400,32.770824,0.965765,29.156054,30.750700
66,1.116689,2.462000,0.327488,32.713884,0.965735,28.914371,30.419408
67,1.133356,2.683700,0.102496,32.682973,0.965377,28.724315,30.060936
68,1.150023,2.339300,0.102240,32.671371,0.965502,28.683592,30.068669
69,1.166690,2.539600,0.359872,32.687656,0.965527,28.721335,30.061625
70,1.183357,2.848800,0.101984,32.686228,0.965236,28.694209,30.091536
71,1.200024,2.144800,0.102368,32.752293,0.965379,28.732835,30.102105
72,1.216691,2.494100,0.331296,32.861678,0.966130,28.833289,30.214182
73,1.233358,2.908100,0.101984,32.869720,0.966167,28.992686,30.275245
74,1.250025,2.283900,0.102464,32.822462,0.965885,28.912281,30.281695
75,1.266692,2.472300,0.102496,32.844442,0.966044,28.923824,30.240697
76,1.283359,2.671100,0.101952,32.855231,0.966087,28.896121,30.250725
77,1.300026,2.160600,0.102208,32.885662,0.966200,29.297451,30.744297
78,1.316693,2.477200,0.102784,32.819846,0.965740,29.329750,30.810554
79,1.333360,2.549700,0.102240,32.851156,0.965746,29.310229,30.807492
80,1.350027,2.484200,0.102336,32.798476,0.965799,28.913714,30.251296
81,1.366694,2.521700,0.102336,32.796992,0.965694,28.873115,30.157263
82,1.383361,2.409900,0.102304,32.781969,0.965660,28.825712,30.129318
83,1.400028,2.475500,0.102400,32.798972,0.965754,28.901102,30.194725
84,1.416695,2.367400,0.102688,32.812696,0.965859,28.889557,30.184344
85,1.433362,2.421800,0.102976,32.819011,0.965932,28.886561,30.147771
86,1.450029,2.563400,0.102080,32.813246,0.966019,28.870623,30.161321
87,1.466696,2.430700,0.102368,32.859678,0.966126,28.894163,30.160518
88,1.483363,2.723000,0.102656,32.865010,0.966409,28.921930,30.183536
89,1.500030,2.435300,0.102016,32.939687,0.966686,28.965321,30.237926
90,1.516697,2.571400,0.102144,32.932838,0.966614,29.000447,30.260394
91,1.533364,2.347600,0.325984,32.928185,0.966659,29.034622,30.343197
92,1.550031,2.400900,0.102400,32.958111,0.966907,29.051609,30.352455
93,1.566698,2.560000,0.258304,32.931023,0.966829,29.063136,30.368603
94,1.583365,2.442000,0.102272,32.924254,0.966930,29.125468,30.424543
95,1.600032,2.591800,0.102912,32.919095,0.966967,29.090905,30.390277
96,1.616699,2.455300,0.103008,32.894660,0.966836,29.064210,30.389343
97,1.633366,2.668800,0.102880,32.989112,0.967279,29.090738,30.342209
98,1.650033,2.595200,0.102624,32.981668,0.967351,29.230491,30.538812
99,1.666700,2.371700,0.105472,32.932775,0.966942,29.242384,30.579309
100,1.683367,2.440400,0.103040,32.945783,0.967023,29.198614,30.504733
101,1.700034,2.574100,0.103200,33.016998,0.967567,29.227532,30.517596
102,1.716701,2.458200,0.102848,33.018786,0.967293,29.319008,30.642199
103,1.733368,2.145200,0.102752,33.022640,0.967339,29.274942,30.615383
104,1.750035,2.457200,0.102464,33.038052,0.967265,29.533231,30.982426
105,1.766702,2.650900,0.102784,33.083600,0.967401,29.592777,31.069768
106,1.783369,2.617600,0.102528,33.093509,0.967386,29.637253,31.117475
107,1.800036,2.586900,0.102304,33.090132,0.967490,29.668432,31.109520
108,1.816703,2.258800,0.102400,33.066214,0.967495,29.632640,31.045741
109,1.833370,2.609900,0.102240,33.107048,0.967534,29.708355,31.167984
110,1.850037,2.450100,0.102432,33.102302,0.967491,29.859178,31.357344
111,1.866704,2.411500,0.103488,33.034861,0.967279,29.774763,31.256053
112,1.883371,2.624800,0.102912,33.003729,0.966925,29.337050,30.595562
113,1.900038,2.480500,0.102624,33.018356,0.967329,29.070710,30.273751
114,1.916705,2.419100,0.102816,33.008182,0.967228,29.120730,30.250002
115,1.933372,2.394100,0.102688,32.999333,0.967070,29.163626,30.400500
116,1.950039,2.473900,0.102624,33.015604,0.967197,29.263422,30.464359
117,1.966706,2.521400,0.102656,32.998289,0.967155,29.225899,30.393354
118,1.983373,2.654700,0.102496,32.997931,0.967189,29.154948,30.325870
119,2.000040,2.085400,0.102048,33.008913,0.967300,29.166942,30.289880
