frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,2.493100,0.068288,30.907273,0.945245,29.314578,30.071968
17,0.300006,2.559200,0.067744,30.921041,0.945120,29.216288,29.962897
18,0.316673,2.496200,0.068128,30.967843,0.945561,29.221741,29.933295
19,0.333340,2.538500,0.068128,30.924462,0.945401,29.255620,29.931848
20,0.350007,2.495600,0.067872,30.931312,0.945459,29.255830,30.051515
21,0.366674,2.711000,0.068416,30.974177,0.945622,29.374860,30.149307
22,0.383341,2.333600,0.068512,31.054940,0.946485,29.419493,30.170209
23,0.400008,2.364700,0.068512,31.025008,0.946091,29.598789,30.517550
24,0.416675,2.509800,0.068320,31.094949,0.946579,29.697502,30.764907
25,0.433342,2.251100,0.068800,31.141860,0.947032,29.791607,30.766363
26,0.450009,2.372100,0.068448,31.163100,0.947286,29.771009,30.727262
27,0.466676,2.497500,0.069120,31.212984,0.947333,29.765057,30.730235
28,0.483343,2.452100,0.068736,31.116128,0.947121,29.776106,30.682013
29,0.500010,2.130900,0.069056,31.178702,0.947408,29.680344,30.661074
30,0.516677,3.006800,0.068960,31.155471,0.947306,30.008864,31.018673
31,0.533344,2.533200,0.068512,31.168528,0.947178,29.985311,30.979631
32,0.550011,2.416300,0.071168,31.188251,0.947453,29.821670,30.690446
33,0.566678,3.067800,0.068352,31.178845,0.946997,29.567094,30.359441
34,0.583345,2.493500,0.068448,31.166066,0.947069,29.609484,30.347109
35,0.600012,2.574100,0.068416,31.173908,0.947086,29.584957,30.336560
36,0.616679,2.471800,0.068448,31.114494,0.946597,29.804496,30.550064
37,0.633346,2.446800,0.068576,31.139027,0.946667,29.883457,30.669627
38,0.650013,2.495800,0.068640,31.174331,0.946972,29.923074,30.741482
39,0.666680,3.129000,0.068448,31.160126,0.946732,29.993371,30.768207
40,0.683347,2.363600,0.075680,31.197275,0.947136,29.968937,30.778559
41,0.700014,2.481100,0.069600,31.167402,0.946879,29.967353,30.790467
42,0.716681,2.781100,0.070912,31.178668,0.947088,29.873525,30.628349
43,0.733348,2.642900,0.068384,31.177145,0.946689,29.650390,30.289728
44,0.750015,2.694400,0.068352,31.143728,0.946754,29.701665,30.353587
45,0.766682,2.814100,0.067808,31.168724,0.946649,29.725907,30.421323
46,0.783349,2.780700,0.068320,31.129924,0.946563,29.648326,30.319884
47,0.800016,2.415100,0.068416,31.106177,0.946532,29.562433,30.254974
48,0.816683,2.505800,0.068160,31.162562,0.946748,29.622651,30.313263
49,0.833350,2.723400,0.068704,31.144493,0.946723,29.657745,30.319521
50,0.850017,3.047800,0.068320,31.160518,0.946814,29.599114,30.304821
51,0.866684,2.671200,0.068320,31.147739,0.946639,29.618512,30.290583
52,0.883351,2.516400,0.068416,31.213195,0.947066,29.631660,30.389518
53,0.900018,2.167400,0.068352,31.141561,0.946713,29.636406,30.395375
54,0.916685,2.420100,0.068512,31.131761,0.946889,29.556623,30.314425
55,0.933352,2.458800,0.068352,31.214428,0.946959,29.526606,30.293532
56,0.950019,2.847700,0.068032,31.156976,0.946805,29.652236,30.405285
