frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,7.235380,0.880960,30.874087,0.953012,27.089148,30.157795
17,0.300006,7.106288,0.879840,30.864341,0.952993,27.083236,30.023983
18,0.316673,5.615382,0.877760,30.868819,0.952911,27.089936,29.968195
19,0.333340,7.014626,0.879200,30.832808,0.952717,27.075627,30.002625
20,0.350007,7.048029,0.873280,30.911009,0.953149,27.168607,30.129431
21,0.366674,5.610353,0.879680,30.950334,0.953527,27.225263,30.202200
22,0.383341,6.993517,0.882400,30.982513,0.953622,27.250368,30.250345
23,0.400008,7.037750,0.872640,30.953816,0.953720,27.379651,30.558835
24,0.416675,5.624299,0.883520,30.990264,0.953971,27.488468,30.795504
25,0.433342,6.984089,0.879200,31.005102,0.954241,27.517979,30.808685
26,0.450009,7.047999,0.872640,31.028041,0.954530,27.547422,30.798869
27,0.466676,5.564807,0.876960,31.054114,0.954522,27.590912,30.803032
28,0.483343,6.972598,0.879040,31.103533,0.954919,27.553741,30.760164
29,0.500010,6.961246,0.869600,31.065419,0.954565,27.530229,30.743527
30,0.516677,5.813263,0.872640,31.079868,0.954844,27.681359,31.099383
31,0.533344,7.153978,0.877440,31.061777,0.954333,27.663857,31.063008
32,0.550011,7.435967,0.876480,31.062337,0.954289,27.502647,30.768243
33,0.566678,5.590576,0.875520,31.086454,0.954451,27.390835,30.419001
34,0.583345,6.993617,0.875520,31.012859,0.954111,27.341724,30.407176
35,0.600012,6.988748,0.875360,31.073827,0.954475,27.369857,30.393622
36,0.616679,7.042218,0.872480,31.030671,0.954428,27.474925,30.624215
37,0.633346,5.589784,0.877440,31.019254,0.954124,27.520224,30.754667
38,0.650013,7.016730,0.878560,31.025190,0.954234,27.561247,30.792083
39,0.666680,7.141625,0.876000,30.987146,0.953967,27.566423,30.826466
40,0.683347,5.636431,0.879840,31.042436,0.954038,27.552358,30.868262
41,0.700014,7.026799,0.878240,31.057305,0.954030,27.577369,30.862946
42,0.716681,7.050944,0.879680,31.032224,0.954230,27.451455,30.693633
43,0.733348,5.615422,0.879200,31.059220,0.953921,27.348316,30.352827
44,0.750015,7.240921,0.882080,31.007827,0.953686,27.358156,30.392311
45,0.766682,7.050163,0.880160,31.037455,0.953832,27.402162,30.483210
46,0.783349,5.622265,0.881440,30.975779,0.953385,27.381159,30.383058
47,0.800016,6.984350,0.881280,30.991822,0.953641,27.348591,30.317352
48,0.816683,7.031107,0.880320,31.019746,0.953765,27.362591,30.382397
49,0.833350,5.673181,0.873280,31.010075,0.953664,27.411697,30.400518
50,0.850017,7.016920,0.878080,31.037937,0.953853,27.376509,30.378413
51,0.866684,7.024575,0.876320,31.015272,0.953657,27.380405,30.356103
52,0.883351,5.648074,0.870080,31.030881,0.953484,27.416084,30.456120
53,0.900018,7.018985,0.882560,31.012618,0.953923,27.399239,30.462811
54,0.916685,7.025227,0.883680,31.122568,0.954571,27.337309,30.375650
55,0.933352,5.602708,0.866400,31.024991,0.954255,27.310238,30.360568
56,0.950019,7.040044,0.882720,31.014921,0.954045,27.409895,30.499803
57,0.966686,7.059971,0.877760,31.008397,0.953919,27.388900,30.443523
58,0.983353,5.629899,0.864480,31.012889,0.954030,27.370126,30.449952
59,1.000020,6.995661,0.879680,31.017592,0.953959,27.412206,30.497307
60,1.016687,7.305863,0.876480,31.007204,0.953947,27.436677,30.519602
61,1.033354,5.764552,0.868320,31.040476,0.954313,27.461121,30.542117
62,1.050021,7.166712,0.879520,31.029256,0.953921,27.535219,30.692567
63,1.066688,7.096520,0.871360,30.996753,0.953912,27.601179,30.807456
