frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,2.669400,0.088096,29.993125,0.943617,27.128221,30.156520
17,0.300006,2.448700,0.085088,30.035012,0.943892,27.119527,30.022890
18,0.316673,2.617600,0.084288,30.001802,0.943854,27.101952,29.967367
19,0.333340,2.678800,0.085280,29.986799,0.943511,27.110808,30.002535
20,0.350007,2.505300,0.084544,30.105352,0.944480,27.242520,30.130202
21,0.366674,2.904100,0.085440,30.078619,0.944317,27.289834,30.202959
22,0.383341,2.756200,0.084896,30.092172,0.944372,27.293683,30.251598
23,0.400008,2.798300,0.084576,30.134379,0.944838,27.455661,30.557825
24,0.416675,2.452400,0.084576,30.188149,0.945321,27.579768,30.798340
25,0.433342,2.529700,0.084896,30.142291,0.944849,27.573107,30.810295
26,0.450009,2.512400,0.084256,30.200962,0.945554,27.608226,30.799814
27,0.466676,2.609400,0.084256,30.225663,0.945463,27.670217,30.803304
28,0.483343,2.257800,0.084192,30.245935,0.945832,27.631358,30.759649
29,0.500010,2.095500,0.084352,30.241958,0.945500,27.626828,30.744943
30,0.516677,2.133400,0.084704,30.210801,0.945631,27.772150,31.099650
31,0.533344,2.455100,0.084832,30.210961,0.944990,27.740953,31.065322
32,0.550011,2.592200,0.088096,30.183165,0.944917,27.596335,30.767709
33,0.566678,2.724700,0.084576,30.198887,0.945034,27.487900,30.419194
34,0.583345,2.161100,0.084288,30.151356,0.944809,27.412472,30.406207
35,0.600012,2.357700,0.086976,30.151120,0.944872,27.449502,30.392170
36,0.616679,2.521600,0.084256,30.178918,0.945067,27.545982,30.624963
37,0.633346,2.469100,0.084192,30.085193,0.943937,27.601071,30.754019
38,0.650013,2.479100,0.084480,30.115408,0.944294,27.607263,30.790787
39,0.666680,3.020200,0.398336,30.039703,0.943965,27.639515,30.828686
40,0.683347,2.013600,0.084640,30.115695,0.944041,27.634390,30.868828
41,0.700014,2.190500,0.085888,30.108558,0.943861,27.618162,30.860780
42,0.716681,2.503100,0.084416,30.059123,0.943887,27.522269,30.695146
43,0.733348,2.520500,0.084832,30.096711,0.943605,27.379100,30.353678
