frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,15.382700,1.465760,37.181453,0.955527,37.258831,37.527662
17,0.300006,14.666000,1.277120,37.175846,0.955286,37.826174,37.997673
18,0.316673,15.384700,1.286016,37.254007,0.956115,37.885325,38.104002
19,0.333340,14.535000,1.480800,37.209353,0.955512,38.313404,38.600931
20,0.350007,15.356900,1.269312,37.209256,0.955099,38.275281,38.717151
21,0.366674,14.305100,1.269600,37.247153,0.955696,38.659065,38.986103
22,0.383341,15.338200,1.272096,37.291854,0.956027,38.200289,38.572251
23,0.400008,14.530200,1.272544,37.366645,0.956373,39.104016,39.705244
24,0.416675,14.499300,1.433376,37.368080,0.956772,39.016908,39.550592
25,0.433342,14.504700,1.275584,37.508085,0.957987,39.127673,39.805926
26,0.450009,14.931600,1.435104,37.445009,0.958277,38.737897,39.086733
27,0.466676,14.706600,1.272320,37.463248,0.958686,39.030303,39.377808
28,0.483343,15.056500,1.521536,37.419398,0.957962,38.691883,39.145147
29,0.500010,14.744000,1.274208,37.451628,0.958048,39.093595,39.657859
30,0.516677,14.863500,1.697440,37.507615,0.959250,38.326365,38.865686
31,0.533344,15.233900,1.426528,37.494570,0.959256,38.955277,39.398565
32,0.550011,15.443100,1.272576,37.609315,0.960903,38.430154,38.645412
33,0.566678,15.544600,1.506016,37.661822,0.961123,38.716142,38.805205
34,0.583345,15.947500,1.449824,37.623105,0.960345,37.717491,38.065503
35,0.600012,15.915100,1.272480,37.710848,0.961523,38.613078,39.000626
36,0.616679,15.196800,1.366752,37.761581,0.962191,38.440899,38.746245
37,0.633346,15.522200,1.288256,37.748756,0.961842,38.968974,39.331196
38,0.650013,14.868200,1.273408,37.712854,0.961705,37.955846,38.272414
39,0.666680,15.077000,1.479616,37.828850,0.962412,38.490701,38.974494
40,0.683347,15.199200,1.444960,37.915645,0.963826,38.206650,38.484394
41,0.700014,14.791000,1.276480,37.980663,0.964717,39.041758,39.050796
42,0.716681,14.999500,1.637664,37.841767,0.963851,37.893475,38.032456
43,0.733348,14.562000,1.283424,37.836391,0.963941,38.395852,38.508220
44,0.750015,15.323300,1.277152,37.883488,0.965202,37.790083,37.860828
45,0.766682,15.002300,1.446592,37.781985,0.965579,38.260837,38.078459
46,0.783349,17.686500,1.274496,37.846712,0.965685,36.697043,36.898058
47,0.800016,15.113700,1.751392,37.846221,0.966274,37.110544,37.296253
48,0.816683,15.163100,1.498304,38.061599,0.968416,36.570069,36.728816
49,0.833350,15.021400,1.309120,38.032835,0.968736,37.087319,37.075679
50,0.850017,15.561300,1.539744,37.916398,0.968768,36.007710,36.258284
51,0.866684,15.273500,1.536000,37.926624,0.968508,36.686003,36.807436
52,0.883351,15.713500,1.273568,37.994924,0.969040,36.269009,36.354556
53,0.900018,15.054900,1.634080,37.965480,0.969552,29.514277,29.554413
54,0.916685,15.552300,1.436768,37.358064,0.965498,21.499081,21.505236
55,0.933352,14.954100,1.402688,37.211449,0.963972,20.950763,20.946488
56,0.950019,15.408300,1.216896,37.294063,0.967154,20.125259,20.116420
57,0.966686,14.640000,1.491872,37.851053,0.973234,21.639602,21.603240
58,0.983353,16.002900,1.444992,38.438601,0.978942,24.026402,23.991879
59,1.000020,14.565100,1.323040,38.352694,0.983444,25.947226,25.787444
60,1.016687,15.822900,1.322944,39.279042,0.986221,27.823124,27.743388
61,1.033354,15.620400,1.118816,39.399582,0.985036,25.007985,24.961368
62,1.050021,15.748400,1.124096,38.026999,0.972020,21.963245,21.945265
63,1.066688,15.381000,1.263008,36.720677,0.955606,20.345893,20.342981
64,1.083355,15.430000,1.145504,34.193370,0.935655,19.729075,19.744216
65,1.100022,15.006100,1.620608,33.497911,0.931612,21.445529,21.484463
66,1.116689,15.021800,1.391328,34.157369,0.936364,23.309693,23.458421
67,1.133356,14.368900,1.249632,34.257352,0.937948,24.544175,24.619356
68,1.150023,14.481700,1.270400,34.294946,0.937854,25.406177,25.412285
69,1.166690,14.657100,1.461760,34.219109,0.935256,26.921244,26.954921
70,1.183357,14.022100,1.280992,34.175271,0.934454,31.958205,31.873408
71,1.200024,14.376100,1.299040,34.086306,0.932790,31.990928,32.060543
72,1.216691,19.960100,1.458720,34.151861,0.933721,32.202648,32.249992
73,1.233358,14.866700,1.307808,34.079559,0.933537,32.471025,32.524339
74,1.250025,14.638800,1.721312,34.025964,0.932417,32.863895,32.831358
75,1.266692,14.466700,1.324672,33.988228,0.931305,32.901164,32.971353
76,1.283359,14.354100,1.626048,34.022197,0.932236,32.986835,33.057026
77,1.300026,14.468500,1.352928,33.952208,0.932366,33.102458,33.130145
78,1.316693,14.320500,1.703488,33.942666,0.931032,33.149066,33.228883
79,1.333360,14.299900,1.307424,33.957462,0.930522,33.197682,33.348569
80,1.350027,14.345600,1.468192,34.001357,0.931284,33.236212,33.382721
81,1.366694,13.981400,1.760416,34.038222,0.931604,33.370575,33.552334
82,1.383361,14.524600,1.307200,34.087605,0.932956,33.544115,33.623277
83,1.400028,14.183000,1.484608,34.021322,0.931977,33.490733,33.658241
84,1.416695,15.730100,1.301696,34.003979,0.930686,33.476620,33.787471
85,1.433362,15.313400,1.312448,34.049601,0.931153,33.624203,33.913330
86,1.450029,15.374200,1.666272,34.023472,0.931247,33.850785,34.021752
87,1.466696,14.089900,1.519168,34.061887,0.931089,33.792792,34.099320
88,1.483363,15.087300,1.454784,34.097896,0.930928,33.901796,34.222130
89,1.500030,13.416700,1.595168,34.037922,0.929855,33.929192,34.287738
90,1.516697,15.007100,1.622944,34.155067,0.931707,34.185378,34.502773
91,1.533364,14.090600,1.303648,34.187352,0.932359,34.286266,34.602388
92,1.550031,14.472600,1.444768,34.096818,0.930170,34.337281,34.754454
93,1.566698,13.754400,1.478048,34.101192,0.929337,34.311024,34.804300
94,1.583365,14.270200,1.473088,34.116625,0.930541,34.640067,34.996472
95,1.600032,14.400300,1.677920,34.109260,0.929815,34.514246,34.952723
96,1.616699,13.829500,1.315072,34.249184,0.932165,34.755583,35.172775
97,1.633366,14.521700,1.470784,34.255484,0.931546,34.943359,35.330071
98,1.650033,14.246400,1.305824,34.208144,0.930009,35.147285,35.765426
99,1.666700,14.661400,1.316608,34.333346,0.931716,35.340031,35.892626
100,1.683367,14.244400,1.509600,34.375338,0.931982,35.455842,35.997458
101,1.700034,14.700400,1.671840,34.351271,0.930471,35.330412,35.976587
102,1.716701,14.292000,1.307904,34.315457,0.929731,35.634707,36.272907
103,1.733368,13.765400,1.639456,34.301783,0.929018,35.399190,36.164579
104,1.750035,14.601300,1.313440,34.440160,0.930839,35.607639,36.262230
105,1.766702,13.770700,1.479168,34.477021,0.932079,35.697580,36.237795
106,1.783369,14.449000,2.406272,34.398384,0.930630,35.817091,36.345781
