frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,14.245600,1.299040,37.503490,0.958379,37.577717,37.527662
17,0.300006,14.446000,1.136864,37.506541,0.958211,38.166762,37.997673
18,0.316673,14.793100,1.134336,37.590966,0.959045,38.226652,38.104002
19,0.333340,13.964500,1.367680,37.550984,0.958500,38.669197,38.600931
20,0.350007,15.115800,1.129856,37.540203,0.958039,38.631050,38.717151
21,0.366674,14.602200,1.300704,37.579662,0.958608,39.034899,38.986103
22,0.383341,15.284800,1.141728,37.632305,0.958961,38.538246,38.572251
23,0.400008,14.665900,1.330784,37.703374,0.959256,39.514701,39.705244
24,0.416675,14.991200,1.132064,37.698900,0.959616,39.414542,39.550592
25,0.433342,14.925000,1.328128,37.836785,0.960744,39.543509,39.805926
26,0.450009,15.172200,1.134400,37.777330,0.961071,39.111353,39.086733
27,0.466676,14.767300,1.131040,37.799505,0.961490,39.419066,39.377808
28,0.483343,15.459700,1.463456,37.750707,0.960757,39.048869,39.145147
29,0.500010,14.387000,1.135264,37.778873,0.960805,39.477842,39.657859
30,0.516677,15.234400,1.327456,37.832780,0.961918,38.673828,38.865686
31,0.533344,15.337100,1.127040,37.823432,0.961930,39.328928,39.398565
32,0.550011,14.941900,1.338688,37.939883,0.963529,38.780032,38.645412
33,0.566678,15.196700,1.237984,37.996199,0.963727,39.069435,38.805205
34,0.583345,14.799500,1.132352,37.950379,0.962942,38.027420,38.065503
35,0.600012,14.885500,1.425088,38.037994,0.964045,38.970236,39.000626
36,0.616679,14.563800,1.404832,38.088052,0.964660,38.787902,38.746245
37,0.633346,14.941100,1.146464,38.067107,0.964286,39.344329,39.331196
38,0.650013,14.723800,1.307520,38.027851,0.964131,38.288589,38.272414
39,0.666680,15.490700,1.146080,38.133571,0.964720,38.853016,38.974494
40,0.683347,22.900300,1.154816,38.223805,0.966081,38.546739,38.484394
41,0.700014,16.900400,1.183552,38.294671,0.966969,39.423668,39.050796
42,0.716681,15.213200,1.187232,38.157401,0.966163,38.213497,38.032456
43,0.733348,14.975000,1.385152,38.145594,0.966211,38.747093,38.508220
44,0.750015,14.797800,1.134528,38.182990,0.967355,38.110530,37.860828
45,0.766682,15.386000,1.476544,38.077936,0.967705,38.586061,38.078459
46,0.783349,14.631300,1.160640,38.135354,0.967742,36.966972,36.898058
47,0.800016,15.125800,1.313696,38.128499,0.968260,37.388215,37.296253
48,0.816683,14.953500,1.335200,38.338839,0.970267,36.829530,36.728816
49,0.833350,15.305400,1.162080,38.311213,0.970571,37.356813,37.075679
50,0.850017,14.991600,1.311904,38.190349,0.970589,36.247335,36.258284
51,0.866684,15.571600,1.149024,38.202899,0.970325,36.945844,36.807436
52,0.883351,15.037800,1.304800,38.256355,0.970715,36.517210,36.354556
53,0.900018,15.122700,1.348800,38.222945,0.971144,29.563588,29.554413
54,0.916685,15.027900,1.131488,37.630523,0.967401,21.508681,21.505236
55,0.933352,14.765300,1.122464,37.488422,0.965888,20.959583,20.946488
56,0.950019,14.735300,1.257120,37.591107,0.968971,20.133098,20.116420
