frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,11.058011,1.162560,36.520735,0.950734,35.482653,37.350662
17,0.300006,11.095802,1.166560,36.602558,0.951475,35.749185,37.554359
18,0.316673,11.064462,1.167360,36.724565,0.951977,35.950822,37.843780
19,0.333340,11.112232,1.170240,36.720592,0.952214,36.082646,38.009084
20,0.350007,12.518971,1.166400,36.765732,0.952897,36.112444,38.164794
21,0.366674,11.278524,1.140160,36.831987,0.953338,36.127782,38.216513
22,0.383341,11.176422,1.167520,36.813586,0.953817,36.329000,38.424502
23,0.400008,11.040918,1.178560,36.943306,0.954246,36.574489,38.848595
24,0.416675,11.212761,1.171200,36.950709,0.954755,36.755939,39.002183
25,0.433342,11.158499,1.179840,36.944105,0.955022,36.716695,38.955071
26,0.450009,11.024648,1.171360,36.992169,0.955771,36.558526,38.840758
27,0.466676,12.390250,1.174080,36.972243,0.956091,36.489270,38.604139
28,0.483343,11.263696,1.156480,37.051907,0.956618,36.541130,38.733951
29,0.500010,11.218281,1.171200,37.178025,0.957342,36.714849,38.911679
30,0.516677,11.426993,1.178560,37.209447,0.957676,36.797510,39.032407
31,0.533344,11.498687,1.180800,37.151213,0.958004,36.839114,39.002187
32,0.550011,12.924641,1.179680,37.188568,0.958561,36.616272,38.715253
33,0.566678,11.352172,1.183520,37.257784,0.959046,36.517220,38.426303
34,0.583345,11.300896,1.166560,37.205212,0.959384,36.307618,38.273410
35,0.600012,11.243559,1.187200,37.293796,0.960087,36.520807,38.564558
36,0.616679,11.263175,1.183680,37.351550,0.960487,36.729230,38.886978
37,0.633346,11.302909,1.190080,37.368278,0.960985,36.816434,38.784043
38,0.650013,12.868917,1.184640,37.434163,0.961292,36.759492,38.677120
39,0.666680,11.424498,1.193120,37.384688,0.961581,36.844281,38.681719
40,0.683347,11.377389,1.185120,37.393077,0.962286,36.598573,38.663008
41,0.700014,11.374624,1.197440,37.472857,0.962948,36.878622,38.473259
42,0.716681,11.407736,1.202720,37.519292,0.963610,36.609873,38.399373
43,0.733348,11.432613,1.206880,37.540825,0.964072,36.867671,38.314292
44,0.750015,12.890768,1.197440,37.486630,0.964612,36.447198,38.091387
45,0.766682,11.503696,1.182720,37.567948,0.965409,36.387493,37.906797
46,0.783349,11.525347,1.204320,37.564431,0.966086,36.200981,37.730545
47,0.800016,11.702309,1.215520,37.656540,0.966880,36.151378,37.480642
48,0.816683,11.712738,1.214240,37.663275,0.967494,36.056951,37.305512
49,0.833350,13.123895,1.218400,37.660784,0.967941,35.915744,37.154553
50,0.850017,11.786758,1.190720,37.685599,0.968761,35.910060,37.154166
51,0.866684,11.759927,1.224640,37.799223,0.969376,35.728201,37.054156
52,0.883351,11.586241,1.225920,37.753937,0.969970,35.748726,36.854760
53,0.900018,11.289715,1.226080,37.761385,0.970425,29.369955,29.581765
54,0.916685,12.002111,1.210080,37.136986,0.966933,21.519755,21.536517
55,0.933352,10.471871,1.158240,37.081499,0.966349,20.928529,20.949667
