frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,10.775230,0.881600,34.160917,0.898738,36.012572,37.162537
17,0.300006,10.768557,0.882080,34.180146,0.899409,36.106897,37.403915
18,0.316673,10.837728,0.875840,34.212932,0.900119,36.444855,37.647553
19,0.333340,10.898401,0.882240,34.228061,0.900917,36.421562,37.909338
20,0.350007,10.838779,0.878400,34.270920,0.901958,36.647859,38.016686
21,0.366674,12.304048,0.878240,34.339577,0.902878,36.512742,38.042574
22,0.383341,11.013166,0.849440,34.304655,0.903445,36.748384,38.272476
23,0.400008,10.776813,0.892000,34.398751,0.904645,37.008695,38.747428
24,0.416675,10.823621,0.876480,34.430428,0.905845,37.154784,38.878321
25,0.433342,10.862885,0.877760,34.398769,0.906470,37.086189,38.936267
26,0.450009,10.714476,0.877600,34.467976,0.907750,37.099213,38.780851
27,0.466676,10.943355,0.884160,34.509280,0.908852,36.969866,38.522058
28,0.483343,10.917336,0.888800,34.629959,0.909918,37.099992,38.564362
29,0.500010,12.323153,0.882880,34.610723,0.910825,37.246324,38.808597
30,0.516677,11.254409,0.859520,34.666706,0.911999,37.257304,38.882857
31,0.533344,11.282732,0.888000,34.634137,0.912440,37.271008,38.841215
32,0.550011,11.006794,0.884320,34.709662,0.914000,37.244676,38.510628
33,0.566678,10.991896,0.884640,34.725064,0.914945,37.125956,38.271087
34,0.583345,10.955408,0.880640,34.754326,0.915840,37.072228,38.164697
35,0.600012,10.944988,0.886400,34.818965,0.917114,37.286275,38.383487
36,0.616679,12.471882,0.885920,34.808830,0.917629,37.547137,38.604774
37,0.633346,11.073369,0.876160,34.935018,0.919294,37.538448,38.660369
38,0.650013,11.005131,0.883360,34.908216,0.920191,37.595801,38.527496
39,0.666680,11.054433,0.886560,34.923632,0.921266,37.453945,38.661354
40,0.683347,11.023886,0.884320,35.052839,0.922993,37.722833,38.614469
41,0.700014,11.074902,0.888640,35.094461,0.924179,37.749479,38.458694
42,0.716681,11.120177,0.889760,35.157047,0.925602,37.693233,38.322378
43,0.733348,12.581558,0.893920,35.188027,0.927054,37.707998,38.066685
44,0.750015,11.181763,0.883520,35.190834,0.928204,37.666224,37.845252
45,0.766682,11.215626,0.887200,35.249534,0.929988,37.446989,37.656702
46,0.783349,11.119966,0.895200,35.316188,0.931713,37.268216,37.524203
47,0.800016,11.575711,0.899200,35.364889,0.933512,37.194482,37.335557
48,0.816683,11.450337,0.896960,35.392600,0.934876,37.066727,37.049172
49,0.833350,13.284496,0.900160,35.446837,0.936521,36.993745,36.888134
50,0.850017,11.378602,0.881120,35.576398,0.938389,36.946833,36.853763
51,0.866684,11.389852,0.902400,35.612885,0.940222,36.929174,36.738963
52,0.883351,11.277422,0.900000,35.744850,0.942677,36.714126,36.438801
53,0.900018,10.947623,0.902720,35.712566,0.944155,29.601495,29.542791
54,0.916685,10.471631,0.892320,35.291096,0.940415,21.580792,21.524351
55,0.933352,10.142343,0.868480,35.119645,0.940051,20.983204,20.941617
56,0.950019,9.846137,0.828800,35.410409,0.945397,20.150534,20.112719
57,0.966686,9.744747,0.773280,36.077617,0.950362,21.579125,21.564658
58,0.983353,9.695024,0.769280,36.661188,0.956137,24.032069,23.966075
59,1.000020,9.672632,0.765280,36.741012,0.963198,25.918386,25.756748
60,1.016687,10.081669,0.752320,37.379159,0.969334,27.900470,27.720136
61,1.033354,10.080376,0.741120,37.272280,0.967327,25.094637,24.971330
62,1.050021,9.916850,0.740640,36.467751,0.955416,22.076190,21.981512
63,1.066688,9.938460,0.749920,35.548647,0.941317,20.424394,20.372170
64,1.083355,10.188629,0.766400,33.694942,0.921729,19.844196,19.763576
65,1.100022,9.984366,0.780640,32.480661,0.904621,21.634016,21.501411
66,1.116689,10.164484,0.804000,32.051872,0.895807,23.645809,23.508727
67,1.133356,11.524976,0.814400,31.877737,0.890026,24.814572,24.698840
68,1.150023,10.179412,0.828960,31.764439,0.885851,25.578103,25.505993
69,1.166690,10.223756,0.827840,31.740452,0.882312,27.117911,27.074610
70,1.183357,10.091488,0.828000,31.599117,0.878622,31.960314,32.075035
71,1.200024,10.122586,0.830240,31.500440,0.875489,32.068834,32.207349
72,1.216691,10.127695,0.824640,31.417902,0.872533,32.255260,32.397356
73,1.233358,10.174373,0.828480,31.371273,0.869577,32.395644,32.678561
74,1.250025,10.126934,0.824480,31.282929,0.866901,32.652339,32.948626
75,1.266692,10.106216,0.826080,31.179139,0.864356,32.743803,33.082591
76,1.283359,10.137574,0.829920,31.093814,0.862426,32.716417,33.115381
77,1.300026,10.104793,0.832000,31.037252,0.861144,32.738856,33.147035
78,1.316693,10.094433,0.827520,31.031532,0.859852,32.823227,33.288099
79,1.333360,10.099642,0.829120,30.999176,0.858667,32.816970,33.346948
80,1.350027,10.156690,0.830240,31.001884,0.857114,32.755324,33.429978
81,1.366694,10.157993,0.829920,30.966358,0.855855,32.741861,33.538125
82,1.383361,10.136982,0.830080,30.960264,0.854360,32.835692,33.597767
83,1.400028,10.103861,0.829600,30.927757,0.853468,32.785565,33.633750
84,1.416695,10.161198,0.834720,30.918814,0.851923,32.787718,33.710836
85,1.433362,10.139768,0.834080,30.914964,0.851369,32.882090,33.818124
86,1.450029,9.999886,0.831200,30.902160,0.850312,32.897887,33.934206
87,1.466696,10.148815,0.832960,30.926867,0.850312,32.949082,34.007809
88,1.483363,10.128727,0.830720,30.988054,0.850898,32.937861,34.088871
