frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,13.059845,3.005120,39.787781,0.978381,38.423293,37.700123
17,0.300006,13.089891,3.006080,39.274867,0.976014,39.178617,37.762896
18,0.316673,14.539480,3.023040,39.659179,0.978474,39.122616,38.180639
19,0.333340,13.121801,3.032320,39.657606,0.978233,39.069042,38.372350
20,0.350007,13.053253,3.003520,39.681045,0.978357,39.350827,38.537277
21,0.366674,14.493924,3.034240,39.500178,0.978963,39.524231,38.460261
22,0.383341,13.204456,3.004480,39.369194,0.975164,40.623051,38.517596
23,0.400008,14.588763,3.042560,39.597053,0.979266,39.130471,39.087181
24,0.416675,13.097645,3.023360,40.186120,0.979748,40.055528,39.264125
25,0.433342,13.096554,3.017600,39.622855,0.977651,40.876735,39.131942
26,0.450009,14.461514,3.038240,39.990175,0.980117,39.976951,38.924718
27,0.466676,13.133794,3.054400,39.969435,0.979880,39.566612,38.818115
28,0.483343,13.150906,3.015040,39.963997,0.979992,39.647418,38.998901
29,0.500010,14.349353,3.055840,39.729534,0.980527,40.032705,39.051736
30,0.516677,13.384985,3.029920,39.581083,0.977234,40.870388,38.938894
31,0.533344,15.082097,3.060160,39.795720,0.981033,39.199620,39.120688
32,0.550011,14.426008,3.055680,40.272364,0.981679,39.615954,38.959436
33,0.566678,14.676578,3.041280,39.770082,0.979755,39.990246,38.552982
34,0.583345,13.232038,3.057600,40.124381,0.982001,39.185624,38.386720
35,0.600012,13.240624,3.051520,40.162415,0.981872,39.513419,38.849262
36,0.616679,14.593141,3.070720,40.300449,0.982148,39.711899,39.106522
37,0.633346,13.471677,3.056800,39.937909,0.982131,40.122097,39.058777
38,0.650013,14.853409,3.094080,39.776022,0.979339,40.444151,38.773842
39,0.666680,13.577436,3.088800,40.120836,0.983142,39.177166,39.092142
40,0.683347,15.077489,3.048000,40.678087,0.983869,39.757811,39.168619
41,0.700014,13.495622,3.104160,40.058738,0.981764,40.562791,39.026774
42,0.716681,13.513446,3.073760,40.418898,0.984175,39.579669,38.708220
43,0.733348,14.854030,3.099840,40.429264,0.984067,39.480430,38.762840
44,0.750015,13.670490,3.097600,40.493151,0.984689,39.221250,38.587094
45,0.766682,13.578998,3.119360,39.946852,0.984260,39.287439,38.242520
46,0.783349,13.485253,3.127840,39.866115,0.982029,39.115642,38.058723
47,0.800016,13.618583,3.108800,40.176027,0.985938,38.096613,38.119920
48,0.816683,14.960390,3.120800,40.738377,0.986660,38.236402,38.040045
