frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,12.123518,2.264800,35.540787,0.938478,36.694097,37.137711
17,0.300006,12.163204,2.250720,35.619062,0.938953,37.145644,37.560441
18,0.316673,12.188000,2.260000,35.680669,0.939169,36.998864,37.625454
19,0.333340,13.649501,2.272960,35.636589,0.938746,37.379614,37.996928
20,0.350007,12.237162,2.260000,35.714837,0.939557,37.450910,38.042819
21,0.366674,12.209590,2.229280,35.694759,0.939723,37.856798,38.330090
22,0.383341,12.196636,2.260960,35.772214,0.940498,37.329814,37.908932
23,0.400008,13.567717,2.255840,35.776253,0.941502,38.015803,38.753811
24,0.416675,12.225820,2.242560,35.844198,0.941986,38.028826,38.662109
25,0.433342,12.233335,2.252800,35.852328,0.942114,38.322985,39.029260
26,0.450009,13.683154,2.260000,35.899186,0.942914,37.803171,38.364321
27,0.466676,12.234788,2.261920,35.931772,0.943337,38.195220,38.692604
28,0.483343,12.279051,2.239520,35.925778,0.943757,37.915976,38.499468
29,0.500010,12.059128,2.253760,36.015365,0.944643,38.302892,39.016289
30,0.516677,13.962017,2.252000,36.020295,0.945458,37.801494,38.549591
31,0.533344,12.679833,2.265280,36.022669,0.945775,38.133354,38.867092
32,0.550011,12.436285,2.243520,36.003980,0.946590,37.777231,38.355388
33,0.566678,13.774756,2.261920,36.111245,0.947399,38.080865,38.531430
34,0.583345,12.344944,2.255520,36.178957,0.948063,37.459311,37.807240
35,0.600012,12.335627,2.216320,36.257053,0.948942,38.185119,38.662678
36,0.616679,12.351466,2.255040,36.283827,0.949330,38.106469,38.683717
37,0.633346,13.689105,2.252480,36.255511,0.949385,38.450665,38.879899
38,0.650013,12.514101,2.239840,36.210781,0.950022,37.508611,38.042930
39,0.666680,12.657129,2.246080,36.302575,0.950654,38.098773,38.807976
40,0.683347,13.917574,2.266880,36.366140,0.951463,37.665401,38.228982
41,0.700014,12.958054,2.243840,36.426192,0.952686,38.444702,38.778057
42,0.716681,12.804816,2.253760,36.490608,0.953581,37.537795,37.887302
43,0.733348,13.967727,2.253600,36.469585,0.953786,38.202963,38.430660
44,0.750015,12.684761,2.256640,36.544577,0.955060,37.552416,37.894661
45,0.766682,12.665635,2.267520,36.534903,0.955885,38.022641,38.010351
46,0.783349,14.357800,2.277920,36.478059,0.956109,36.664921,36.933967
47,0.800016,12.842017,2.249760,36.500305,0.957337,37.058922,37.420633
48,0.816683,12.786102,2.262080,36.590037,0.958662,36.405056,36.886414
49,0.833350,14.209301,2.263040,36.554738,0.958712,37.009097,37.078215
50,0.850017,12.817650,2.255520,36.490976,0.959608,35.788149,36.393111
51,0.866684,12.831948,2.280480,36.631030,0.960756,36.730941,37.051804
52,0.883351,13.846421,2.272960,36.709573,0.961263,36.109717,36.493639
53,0.900018,12.362427,2.250720,36.603616,0.961820,29.504267,29.554648
54,0.916685,11.870714,2.243200,35.779804,0.954408,21.497444,21.510997
55,0.933352,11.520147,2.211200,35.497332,0.951327,20.956485,20.944339
56,0.950019,12.354001,2.145120,35.429711,0.953623,20.126307,20.123278
57,0.966686,11.141998,2.064800,35.792302,0.959455,21.654786,21.605978
58,0.983353,11.015761,2.057440,36.023843,0.964492,24.028028,23.932540
59,1.000020,11.008808,2.036000,36.151445,0.971438,25.948805,25.776499
60,1.016687,11.470835,2.042080,36.863724,0.976190,27.800038,27.730652
61,1.033354,11.428435,2.037440,36.889008,0.971930,25.027765,24.967545
62,1.050021,12.555520,2.031840,35.766826,0.954903,22.011138,21.977167
63,1.066688,11.331553,2.009440,34.774104,0.936476,20.371132,20.380945
64,1.083355,11.353214,2.059520,32.858418,0.920409,19.726238,19.752530
65,1.100022,11.417435,2.106080,32.149700,0.915768,21.477876,21.505273
66,1.116689,11.452961,2.139360,32.709442,0.921785,23.309518,23.524614
67,1.133356,13.088168,2.146080,32.812205,0.921871,24.535649,24.691829
68,1.150023,11.647156,2.146080,32.873210,0.920488,25.471057,25.527590
69,1.166690,11.320293,2.131200,32.867921,0.919667,26.928156,27.030740
70,1.183357,11.453652,2.164480,32.841826,0.919300,32.050281,32.132169
71,1.200024,11.464944,2.172480,32.628760,0.916615,32.139376,32.224596
72,1.216691,11.505009,2.167680,32.709271,0.916157,32.335886,32.497244
73,1.233358,12.793436,2.168960,32.680401,0.915268,32.435827,32.636970
74,1.250025,11.517192,2.139520,32.745541,0.915580,32.791326,33.006580
75,1.266692,11.563899,2.164480,32.660516,0.914674,32.853543,33.053259
76,1.283359,11.525046,2.171040,32.597310,0.913853,32.972939,33.140807
77,1.300026,11.494179,2.175200,32.502098,0.913098,32.914491,33.119265
78,1.316693,12.939479,2.176000,32.608099,0.913387,33.171073,33.376512
