frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,5.260600,0.231872,32.860007,0.885718,31.713935,37.171431
17,0.300006,5.042300,0.231840,32.871556,0.886325,31.771947,37.401404
18,0.316673,5.044200,0.231680,32.895570,0.887155,31.968781,37.667784
19,0.333340,4.808800,0.231040,32.913260,0.887858,31.972733,37.904829
20,0.350007,4.795200,0.232224,32.953409,0.888774,32.121751,38.016818
21,0.366674,4.540400,0.232224,33.012510,0.889676,32.040770,38.035309
22,0.383341,5.188900,0.232640,32.982368,0.890362,32.189165,38.275219
23,0.400008,4.946800,0.228576,33.071901,0.891590,32.304185,38.760424
24,0.416675,5.052100,0.231520,33.094650,0.892561,32.392696,38.873691
25,0.433342,4.718100,0.231232,33.060222,0.893215,32.388556,38.928028
26,0.450009,4.850200,0.233376,33.133148,0.894557,32.406650,38.783109
27,0.466676,4.709500,0.232480,33.174917,0.895883,32.372759,38.530040
28,0.483343,5.025600,0.234080,33.309274,0.897186,32.472920,38.564834
29,0.500010,4.644300,0.234240,33.277414,0.898142,32.549752,38.807809
30,0.516677,5.044900,0.231584,33.338749,0.899340,32.562753,38.881157
31,0.533344,4.740300,0.232992,33.313523,0.900117,32.601475,38.837090
32,0.550011,4.821500,0.232608,33.391129,0.901995,32.590437,38.514843
33,0.566678,4.609400,0.231840,33.392924,0.903004,32.568787,38.268243
34,0.583345,4.749300,0.234272,33.442822,0.903861,32.567686,38.157721
35,0.600012,5.277000,0.234144,33.496288,0.905466,32.674781,38.379831
36,0.616679,5.343700,0.232352,33.513750,0.906372,32.838604,38.627298
37,0.633346,4.850200,0.232992,33.624539,0.908100,32.855331,38.661949
38,0.650013,5.046000,0.381536,33.600414,0.909335,32.897743,38.549883
39,0.666680,5.046100,0.235488,33.619564,0.910457,32.865209,38.663026
40,0.683347,5.068000,0.232960,33.772325,0.912626,33.008727,38.602292
41,0.700014,5.349100,0.234240,33.789536,0.914063,33.057111,38.434872
42,0.716681,5.345300,0.234944,33.896095,0.915897,33.026110,38.331254
43,0.733348,4.916500,0.235296,33.940337,0.917731,33.099730,38.059162
44,0.750015,4.982400,0.237408,33.927292,0.919027,33.085664,37.846042
45,0.766682,4.497300,0.240128,34.005783,0.921144,32.999439,37.642300
46,0.783349,4.908400,0.239296,34.053648,0.923012,32.939914,37.480405
47,0.800016,5.437900,0.242592,34.119725,0.925318,32.951411,37.334660
48,0.816683,5.007600,0.241536,34.185655,0.927126,32.908964,37.041788
49,0.833350,4.982600,0.240736,34.192952,0.928743,32.887006,36.878322
50,0.850017,5.169100,0.240128,34.312791,0.930758,32.856598,36.849168
51,0.866684,5.262600,0.239648,34.350404,0.932501,32.852846,36.737288
52,0.883351,5.455200,0.241472,34.483780,0.935138,32.724036,36.431891
53,0.900018,5.157300,0.240384,34.458268,0.936540,28.447456,29.542690
54,0.916685,5.446300,0.240896,34.024553,0.930603,21.335765,21.525414
55,0.933352,5.073100,0.235104,33.872812,0.929359,20.755085,20.941507
56,0.950019,4.976100,0.227520,34.140391,0.935230,19.964113,20.113422
57,0.966686,4.925200,0.220256,34.813246,0.941563,21.363081,21.564846
58,0.983353,5.035900,0.219200,35.500535,0.949011,23.665249,23.967902
59,1.000020,4.682800,0.218304,35.550600,0.956849,25.393015,25.755944
60,1.016687,5.669500,0.221152,36.158908,0.963045,27.172125,27.717855
61,1.033354,5.150100,0.220832,36.142409,0.960677,24.673893,24.970720
62,1.050021,5.229400,0.220512,35.298497,0.946486,21.813213,21.980399
63,1.066688,4.993300,0.219616,34.345561,0.929773,20.212516,20.372129
64,1.083355,5.139200,0.222400,32.439070,0.907930,19.586278,19.766508
65,1.100022,4.523200,0.223040,31.210494,0.889909,21.133528,21.507360
66,1.116689,5.396700,0.226272,30.821618,0.881522,22.792695,23.512246
67,1.133356,4.822800,0.230176,30.682596,0.876054,23.795126,24.701368
68,1.150023,4.810000,0.235872,30.575263,0.872126,24.439091,25.505158
69,1.166690,4.688700,0.400352,30.548193,0.868682,25.613893,27.073904
70,1.183357,4.698200,0.236416,30.444816,0.865663,28.539685,32.073772
71,1.200024,4.402300,0.235648,30.362410,0.862999,28.593198,32.206128
72,1.216691,5.240100,0.234720,30.297095,0.860472,28.650355,32.398511
73,1.233358,4.728500,0.236992,30.263043,0.858191,28.714237,32.676472
74,1.250025,4.956700,0.233632,30.175549,0.855553,28.840077,32.945680
75,1.266692,4.584000,0.237920,30.090874,0.853550,28.863761,33.079069
76,1.283359,4.718900,0.234560,29.985868,0.851465,28.773607,33.109318
77,1.300026,4.557400,0.238368,29.953079,0.850505,28.759394,33.143913
78,1.316693,4.614100,0.238240,29.947620,0.849225,28.788647,33.279213
79,1.333360,5.037300,0.238176,29.905970,0.847935,28.807979,33.341948
80,1.350027,4.924200,0.236384,29.913853,0.846362,28.738165,33.431339
81,1.366694,4.540800,0.236544,29.885123,0.845447,28.706412,33.522373
