frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,4.998300,0.265952,35.433357,0.933455,40.299538,37.015429
17,0.300006,4.892400,0.265504,35.496127,0.935506,40.816692,37.501999
18,0.316673,5.631800,0.264960,35.931408,0.940469,40.554105,37.558192
19,0.333340,4.987300,0.394720,36.000242,0.941131,41.513526,37.972940
20,0.350007,5.192300,0.648256,35.677542,0.936248,41.033711,37.961911
21,0.366674,5.598500,0.268672,35.698710,0.937982,41.747412,38.295198
22,0.383341,4.812400,0.424192,35.988111,0.941094,40.665486,37.800107
23,0.400008,4.938300,0.262016,36.096010,0.940814,42.331729,38.854615
24,0.416675,5.387300,0.510944,35.814878,0.939239,41.909840,38.719008
25,0.433342,5.526300,0.262496,35.782079,0.938721,41.882288,38.983713
26,0.450009,5.246500,0.263232,36.247710,0.944459,41.404748,38.378319
27,0.466676,5.558900,0.254624,36.388824,0.947143,42.822476,38.743933
28,0.483343,5.299400,0.272096,36.055296,0.943704,41.686327,38.517126
29,0.500010,5.126200,0.286528,36.006907,0.941727,41.515433,38.954310
30,0.516677,5.095900,0.443200,36.224363,0.945881,40.861806,38.362638
31,0.533344,5.114500,0.402368,36.158549,0.945914,42.466959,38.826736
32,0.550011,5.216200,0.269888,36.066333,0.948780,42.640616,38.287824
33,0.566678,5.398500,0.491072,35.992577,0.948817,41.648871,38.367699
34,0.583345,5.020400,0.455712,36.292541,0.947773,40.612970,37.733913
35,0.600012,4.986100,0.636992,36.540317,0.951469,42.701682,38.628015
36,0.616679,5.578400,0.458368,36.316870,0.952038,42.441942,38.256267
37,0.633346,5.040100,0.264896,36.261190,0.949411,41.946600,38.889613
38,0.650013,5.136300,0.264512,36.438366,0.950094,40.633026,37.972955
39,0.666680,5.357900,0.270240,36.412122,0.949301,41.969439,38.684147
40,0.683347,5.321300,0.265344,36.379841,0.952740,42.472643,38.098792
41,0.700014,4.738300,0.267360,36.389990,0.955396,42.690898,38.664615
42,0.716681,5.318000,0.269568,36.681561,0.956324,41.216965,37.649053
43,0.733348,4.893000,0.265888,36.646915,0.954938,42.459648,38.241192
44,0.750015,5.027000,0.269952,36.384666,0.955789,42.039434,37.740308
45,0.766682,4.972600,0.273184,36.351916,0.957245,41.818578,37.984523
46,0.783349,4.783400,0.265568,36.357059,0.956266,39.677611,36.948752
47,0.800016,4.668900,0.275104,36.353334,0.956014,40.924860,37.332321
48,0.816683,5.311600,0.274624,36.126109,0.957980,40.671958,36.694858
49,0.833350,4.810800,0.496640,36.103353,0.959391,40.502864,36.980593
50,0.850017,5.253400,0.268416,36.500072,0.963137,39.164343,36.427860
51,0.866684,5.093300,0.271296,36.644297,0.963627,40.208633,36.894193
52,0.883351,5.266100,0.274176,36.476503,0.961685,40.113322,36.256005
53,0.900018,4.429600,0.268768,36.221111,0.962143,30.440849,29.532164
54,0.916685,4.782300,0.271168,35.284459,0.954739,21.915584,21.508159
55,0.933352,4.822300,0.263424,34.725596,0.949916,21.425466,20.943165
56,0.950019,4.824300,0.254144,34.188663,0.947455,20.627620,20.113570
57,0.966686,4.795600,0.248480,35.095971,0.951891,22.005306,21.558705
58,0.983353,5.332600,0.242944,35.778262,0.958842,24.497398,23.917161
59,1.000020,4.701900,0.239168,35.292637,0.963828,26.656494,25.763033
60,1.016687,5.250200,0.238240,36.116284,0.970386,28.519050,27.651049
61,1.033354,5.338600,0.240832,35.536272,0.966151,25.896541,24.972712
62,1.050021,5.105900,0.236992,33.779818,0.949090,22.896449,21.988870
63,1.066688,4.941200,0.241536,32.486574,0.931117,21.236552,20.365296
64,1.083355,5.445500,0.246368,30.131284,0.899882,20.866635,19.768999
65,1.100022,4.687500,0.244576,29.010513,0.877053,23.090566,21.507131
66,1.116689,4.671400,0.250688,29.343710,0.876093,25.117640,23.526152
67,1.133356,5.008200,0.267360,29.661744,0.879413,26.243207,24.688347
68,1.150023,5.237200,0.265376,30.122977,0.884211,26.728866,25.512175
69,1.166690,4.686900,0.266592,30.677404,0.886397,28.434869,27.009511
70,1.183357,5.059400,0.436800,31.298975,0.893603,34.608704,32.205818
71,1.200024,4.665400,0.267136,31.434330,0.893602,35.181594,32.156542
72,1.216691,4.504000,0.265376,31.457119,0.896489,35.948423,32.429068
73,1.233358,4.564100,0.270624,31.550893,0.898583,36.147210,32.520631
74,1.250025,5.292000,0.269376,31.821970,0.899405,35.501680,33.050186
75,1.266692,4.688800,0.496384,31.759346,0.895697,36.278410,32.995396
76,1.283359,5.031900,0.267360,31.595594,0.896087,36.704255,33.134830
77,1.300026,5.104300,0.271264,31.555928,0.897583,36.699388,32.990163
78,1.316693,4.882500,0.265984,31.707694,0.894929,35.988433,33.332027
79,1.333360,4.415700,0.271520,31.725570,0.892639,36.448071,33.324595
80,1.350027,4.976500,0.272864,31.632771,0.893318,37.251569,33.508390
81,1.366694,4.756000,0.265152,31.760517,0.894903,36.938968,33.401030
82,1.383361,4.976000,0.553216,31.966854,0.899525,36.581888,33.711148
83,1.400028,4.940700,0.271712,31.964552,0.899040,36.956895,33.575553
84,1.416695,4.775600,0.267904,31.739749,0.891517,36.991406,33.758991
85,1.433362,4.372700,0.271456,31.852338,0.893897,37.139563,33.735497
86,1.450029,4.754700,0.270592,32.055112,0.897140,36.850802,34.078188
87,1.466696,4.808200,0.272032,32.058643,0.895658,37.353490,33.970467
88,1.483363,4.935500,0.269664,31.964731,0.893019,37.540609,34.162159
89,1.500030,4.489200,0.268000,31.956596,0.891134,37.431958,34.062858
90,1.516697,5.125400,0.271456,32.291488,0.897684,37.202483,34.490436
91,1.533364,4.363100,0.268576,32.357992,0.899776,38.032662,34.421134
92,1.550031,4.584700,0.267936,32.179475,0.894845,37.836896,34.588229
93,1.566698,4.838200,0.273472,32.107452,0.890117,37.719219,34.573402
94,1.583365,4.733200,0.267616,32.276967,0.895382,37.860135,34.870086
95,1.600032,4.426300,0.268608,32.279417,0.894922,38.362100,34.794857
96,1.616699,4.653000,0.269248,32.320621,0.897735,39.229447,35.059457
97,1.633366,5.218200,0.267616,32.428611,0.897185,38.760013,35.084485
98,1.650033,4.787700,0.554880,32.581665,0.894167,38.135033,35.401588
99,1.666700,4.926300,0.263712,32.779586,0.899644,38.941583,35.468317
100,1.683367,5.544200,0.265408,32.706424,0.900575,39.240055,35.585724
101,1.700034,4.618400,0.264928,32.653028,0.895571,38.731526,35.586056
102,1.716701,4.534900,0.263072,32.737780,0.895152,38.509555,35.949492
103,1.733368,4.778400,0.267424,32.635192,0.891607,38.798770,35.805138
104,1.750035,4.763400,0.263712,32.762086,0.896427,39.606263,35.916978
105,1.766702,4.684500,0.494784,32.860588,0.901127,39.595669,35.954071
106,1.783369,4.809700,0.266720,32.978983,0.901089,38.945070,36.079938
107,1.800036,4.348700,0.266240,32.833378,0.896496,39.330403,36.036761
108,1.816703,4.669000,0.267040,32.839294,0.898454,39.218535,36.111033
109,1.833370,4.603300,0.268448,32.865271,0.901213,39.291935,35.882733
110,1.850037,4.811000,0.526112,32.832611,0.896704,38.565523,35.999954
111,1.866704,4.507300,0.267456,32.751821,0.894334,38.933527,35.889517
112,1.883371,4.597600,0.269792,32.721318,0.896234,39.381026,35.519397
113,1.900038,5.261900,0.457696,32.743910,0.897975,39.016261,35.350318
114,1.916705,5.164300,0.264896,32.979506,0.904437,38.614076,35.102625
115,1.933372,4.483300,0.268736,32.991102,0.904592,38.761192,35.025144
116,1.950039,4.337900,0.438208,32.706530,0.896816,38.113984,34.778418
117,1.966706,4.726100,0.268928,32.763254,0.898986,37.995279,34.799884
118,1.983373,4.675400,0.264864,32.930241,0.902820,37.497430,34.575264
119,2.000040,4.073800,0.458464,32.921638,0.901447,37.730307,34.637536
