frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,6.489700,0.292448,35.583881,0.939557,39.240004,37.015429
17,0.300006,4.795800,0.457696,35.666910,0.941936,39.670803,37.501999
18,0.316673,4.846900,0.302688,36.180492,0.947946,39.499140,37.558192
19,0.333340,4.895200,0.294240,36.266598,0.948695,40.355092,37.972940
20,0.350007,5.549500,0.326528,35.836402,0.942097,39.898962,37.961911
21,0.366674,4.647900,0.301056,35.881866,0.944298,40.496694,38.295198
22,0.383341,5.329500,0.880704,36.210857,0.947793,39.657958,37.800107
23,0.400008,5.219400,0.291392,36.325019,0.947259,41.034405,38.854615
24,0.416675,5.351000,0.289312,35.987675,0.945025,40.642205,38.719008
25,0.433342,4.787000,0.278592,35.925904,0.944012,40.642678,38.983713
26,0.450009,5.518700,0.291136,36.492990,0.951043,40.279008,38.378319
27,0.466676,4.863800,0.290880,36.678652,0.954244,41.487701,38.743933
28,0.483343,5.235800,0.289280,36.246946,0.949473,40.524218,38.517126
29,0.500010,5.110200,0.294368,36.134884,0.946434,40.377435,38.954310
30,0.516677,5.131800,0.287840,36.406691,0.951384,39.817934,38.362638
31,0.533344,4.969200,0.286016,36.329248,0.951190,41.209537,38.826736
32,0.550011,5.426700,0.296608,36.271030,0.954881,41.338909,38.287824
33,0.566678,4.865500,0.289120,36.165985,0.954562,40.513733,38.367699
34,0.583345,5.035200,0.290848,36.458897,0.952726,39.659903,37.733913
35,0.600012,4.993900,0.294560,36.766866,0.957268,41.403088,38.628015
36,0.616679,4.823400,0.288544,36.531225,0.958018,41.190065,38.256267
37,0.633346,4.652000,0.287680,36.416972,0.954314,40.803964,38.889613
38,0.650013,5.158900,0.290720,36.605268,0.954863,39.676740,37.972955
39,0.666680,4.849700,0.292320,36.562875,0.953554,40.805547,38.684147
40,0.683347,5.258800,0.290208,36.569858,0.957929,41.247676,38.098792
41,0.700014,5.084000,0.292928,36.605942,0.961173,41.398617,38.664615
42,0.716681,5.328800,0.291552,36.914922,0.961820,40.184243,37.649053
43,0.733348,4.876200,0.292672,36.806547,0.959259,41.241314,38.241192
44,0.750015,5.346900,0.297312,36.518283,0.960233,40.841968,37.740308
45,0.766682,5.104700,0.293664,36.472547,0.961574,40.633222,37.984523
46,0.783349,5.074300,0.292832,36.467336,0.960129,38.834748,36.948752
47,0.800016,4.518800,0.299136,36.442908,0.959476,39.944710,37.332321
