frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,2.475500,0.153248,32.333552,0.961939,31.514238,30.082455
17,0.300006,2.564700,0.158112,32.285425,0.961600,31.742854,29.998465
18,0.316673,2.680700,0.158304,32.245609,0.961396,31.579565,29.985155
19,0.333340,2.802300,0.157280,32.420483,0.962907,31.575004,30.002326
20,0.350007,2.851600,0.157632,32.550498,0.963436,31.540787,30.122530
21,0.366674,2.856800,0.157856,32.490873,0.963342,31.999916,30.244326
22,0.383341,2.681200,0.153696,32.635362,0.964477,31.646745,30.198946
23,0.400008,2.534800,0.152768,32.522018,0.963940,32.282652,30.636420
24,0.416675,2.809800,0.153440,32.735945,0.964890,32.160456,30.814004
25,0.433342,2.937000,0.154144,32.642708,0.964029,32.590651,30.745094
26,0.450009,2.745800,0.154176,32.749979,0.964426,32.363776,30.730245
27,0.466676,2.642400,0.153536,32.833197,0.964563,32.444511,30.849142
28,0.483343,2.672700,0.158304,32.803377,0.965121,32.444606,30.657914
29,0.500010,2.723500,0.626560,32.964274,0.965786,32.363817,30.766701
30,0.516677,2.913400,0.156128,32.965231,0.966162,32.948867,31.129560
31,0.533344,2.673000,0.153600,32.732906,0.964397,33.030847,31.154620
32,0.550011,2.902700,0.287232,32.608909,0.964271,32.446319,30.724864
33,0.566678,3.019700,0.153152,32.463446,0.963136,32.246969,30.472177
34,0.583345,2.477200,0.157952,32.549291,0.963572,31.923355,30.308250
35,0.600012,2.776200,0.156864,32.383449,0.962375,32.216550,30.358051
36,0.616679,2.811400,0.157856,32.464119,0.962657,32.296918,30.598225
37,0.633346,3.009700,0.157504,32.641660,0.964120,32.579421,30.719606
38,0.650013,3.029400,0.153344,32.615680,0.963849,32.414826,30.727279
39,0.666680,2.832500,0.153248,32.556782,0.963617,32.785904,30.879580
40,0.683347,2.825800,0.154304,32.573227,0.963906,32.590975,30.787322
41,0.700014,2.668300,0.153280,32.560446,0.963553,32.685058,30.950696
42,0.716681,2.671600,0.158272,32.414329,0.963148,32.357601,30.671990
43,0.733348,2.804800,0.158080,32.257584,0.962075,31.987706,30.276442
44,0.750015,2.872700,0.157088,32.387801,0.962374,32.024318,30.338482
45,0.766682,2.396300,0.153344,32.435788,0.962480,32.217554,30.573867
46,0.783349,2.530600,0.153888,32.416943,0.963302,32.003887,30.262070
47,0.800016,2.552000,0.153248,32.499417,0.963823,31.969726,30.362604
48,0.816683,2.524600,0.153280,32.597525,0.964244,31.908488,30.399337
49,0.833350,2.652500,0.152480,32.403171,0.962929,32.082936,30.514937
50,0.850017,2.650300,0.153824,32.407014,0.962756,31.654791,30.252957
51,0.866684,2.832100,0.153184,32.355745,0.962544,32.078033,30.401759
52,0.883351,2.529900,0.153344,32.529121,0.963318,31.855384,30.313332
53,0.900018,2.550600,0.610400,32.383690,0.962387,32.188662,30.406861
54,0.916685,2.600500,0.153728,32.410861,0.962289,31.923851,30.293659
55,0.933352,2.284800,0.152672,32.510413,0.963399,31.914615,30.344475
56,0.950019,2.605400,0.158624,32.604820,0.963737,31.776006,30.336564
57,0.966686,2.629200,0.153632,32.596333,0.963848,32.157572,30.511245
58,0.983353,2.636900,0.153376,32.568170,0.963788,31.914294,30.344241
59,1.000020,2.285800,0.152928,32.446244,0.963321,32.256801,30.660948
60,1.016687,2.560700,0.153184,32.588208,0.964076,31.737147,30.381232
61,1.033354,2.439900,0.153088,32.400267,0.962534,32.228389,30.471783
62,1.050021,2.934800,0.157984,32.476725,0.962544,32.219489,30.568776
63,1.066688,2.622400,0.157312,32.515509,0.962652,32.740190,30.966457
64,1.083355,2.419700,0.154080,32.502440,0.963375,32.420050,30.629328
65,1.100022,2.546200,0.154176,32.590127,0.963897,32.558995,30.827972
66,1.116689,2.545900,0.154112,32.420749,0.963844,32.245394,30.446224
67,1.133356,2.563100,0.154144,32.263152,0.962423,31.650988,30.170898
68,1.150023,2.336400,0.155008,32.269662,0.962640,31.368828,29.959883
69,1.166690,2.387400,0.152896,32.188181,0.962111,31.674385,30.099866
70,1.183357,2.571100,0.154528,32.334577,0.962529,31.335829,29.960475
71,1.200024,2.892700,0.153696,32.233109,0.961674,31.696463,30.066617
72,1.216691,2.656800,0.153760,32.413515,0.962604,31.582300,30.188748
73,1.233358,2.617100,0.153472,32.570558,0.964133,31.800002,30.293930
74,1.250025,2.593800,0.154144,32.535830,0.963998,31.543998,30.186656
75,1.266692,2.883500,0.153088,32.499427,0.964024,31.877489,30.296246
76,1.283359,2.508400,0.153792,32.505058,0.964245,31.660647,30.176895
77,1.300026,2.574200,0.153376,32.451643,0.963824,32.576889,30.877422
78,1.316693,2.493300,0.153504,32.491533,0.963821,32.277865,30.748819
79,1.333360,2.453500,0.342144,32.395832,0.962584,32.610005,30.749724
80,1.350027,2.407100,0.153632,32.296596,0.962491,32.068988,30.195578
81,1.366694,2.493100,0.153920,32.361087,0.962455,31.795529,30.279136
82,1.383361,2.478800,0.153856,32.361740,0.963275,31.699046,30.033034
83,1.400028,2.671400,0.153408,32.463256,0.963755,31.768469,30.234815
84,1.416695,2.382300,0.154144,32.507990,0.964126,31.790658,30.196488
85,1.433362,2.293600,0.154080,32.358069,0.963077,31.815369,30.240187
86,1.450029,2.589900,0.153952,32.293645,0.962632,31.500351,30.078409
87,1.466696,2.697500,0.153920,32.301130,0.962525,31.864972,30.185838
88,1.483363,2.346100,0.154240,32.377151,0.963042,31.698666,30.081629
89,1.500030,2.549200,0.153408,32.421686,0.962739,31.890889,30.207707
90,1.516697,2.668900,0.154048,32.470452,0.963045,31.862924,30.244008
91,1.533364,2.549200,0.153856,32.636254,0.964530,31.948302,30.371169
92,1.550031,2.228800,0.394912,32.633666,0.964748,31.776414,30.297184
93,1.566698,2.580200,0.407104,32.504944,0.964237,32.146833,30.412367
94,1.583365,2.541300,0.154624,32.583753,0.964971,31.913693,30.375242
95,1.600032,2.878500,0.154560,32.454291,0.964445,32.088376,30.517689
96,1.616699,2.158200,0.154112,32.540032,0.964979,31.693954,30.350925
97,1.633366,2.616800,0.159264,32.466582,0.963941,31.909692,30.288997
98,1.650033,2.623800,0.155008,32.653260,0.964833,32.039588,30.483220
99,1.666700,2.497900,0.154240,32.674147,0.964872,32.222785,30.678438
100,1.683367,2.404500,0.301568,32.617430,0.965223,31.985685,30.414446
101,1.700034,2.629300,0.154240,32.791915,0.966485,32.091188,30.554058
102,1.716701,2.419000,0.153824,32.929929,0.966911,32.104041,30.642947
103,1.733368,2.764900,0.343680,32.726747,0.965431,32.227981,30.734162
104,1.750035,2.532500,0.153792,32.847727,0.965934,32.280334,30.866373
105,1.766702,2.247200,0.371584,32.801379,0.965351,32.857387,31.090427
106,1.783369,2.460300,0.154208,32.880633,0.965695,32.540525,31.037566
107,1.800036,2.630000,0.153824,32.768976,0.964815,32.886313,31.078716
108,1.816703,2.545300,0.153696,32.804950,0.964975,32.694400,31.000291
109,1.833370,2.603300,0.153440,32.997187,0.966555,32.905125,31.163906
110,1.850037,2.728600,0.154880,32.992747,0.966313,33.057986,31.328350
111,1.866704,2.331000,0.154240,32.866578,0.965581,33.285587,31.283222
112,1.883371,2.447300,0.457248,32.756021,0.965435,32.265759,30.574498
113,1.900038,2.448300,0.322496,32.387803,0.964465,32.166025,30.411556
114,1.916705,2.634400,0.315008,32.464355,0.964636,31.630866,30.283852
115,1.933372,2.804700,0.336544,32.319523,0.963275,32.017902,30.358928
116,1.950039,2.194500,0.154528,32.420657,0.963935,31.913925,30.434980
117,1.966706,2.439100,0.153600,32.435883,0.964011,32.049053,30.509948
118,1.983373,2.505900,0.153824,32.370470,0.964326,31.830581,30.307974
119,2.000040,2.287300,0.153152,32.447591,0.964807,31.831857,30.339470
