frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,2.957300,0.350560,31.019079,0.949413,31.421333,29.988501
17,0.300006,2.901100,0.630304,31.046521,0.949711,31.299403,30.018863
18,0.316673,2.957900,0.165120,31.277121,0.952180,31.059480,29.943358
19,0.333340,3.089600,0.166432,31.247447,0.952718,31.282937,29.941116
20,0.350007,3.003400,0.165792,31.189386,0.950892,31.299870,30.055356
21,0.366674,3.086500,0.165216,31.402526,0.953602,31.569336,30.354777
22,0.383341,3.014100,0.164224,31.463909,0.954080,31.272724,30.099719
23,0.400008,2.904100,0.166016,31.717168,0.956184,31.731819,30.552718
24,0.416675,3.144400,0.166432,31.394025,0.952656,32.075801,30.758212
25,0.433342,2.966500,0.165408,31.360847,0.952065,32.130632,30.831904
26,0.450009,3.012300,0.165152,31.726778,0.954958,31.708048,30.649458
27,0.466676,2.669700,0.165600,31.740953,0.955050,32.026198,30.803053
28,0.483343,2.335300,0.166016,31.775478,0.956038,32.077164,30.630651
29,0.500010,2.860200,0.165568,31.544148,0.953457,32.029004,30.794487
30,0.516677,3.029800,0.171104,31.667354,0.955712,32.134096,30.965114
31,0.533344,2.869100,0.166592,31.660589,0.955471,32.562010,30.957717
32,0.550011,2.742400,0.165792,31.231988,0.953252,32.524066,30.646239
33,0.566678,2.529600,0.165568,31.215363,0.951995,31.692777,30.429485
34,0.583345,2.553400,0.332192,31.437264,0.952241,31.167521,30.263908
35,0.600012,2.505800,0.165632,31.458186,0.953609,31.752439,30.455857
36,0.616679,2.558700,0.166016,31.379509,0.954008,31.973862,30.428782
37,0.633346,2.501600,0.166048,31.442627,0.952930,32.155343,30.818648
38,0.650013,3.034900,0.166048,31.602979,0.954392,31.836119,30.756356
39,0.666680,2.591200,0.165664,31.452874,0.952562,32.147842,30.700773
40,0.683347,2.373500,0.165728,31.475446,0.953548,32.423002,30.729336
41,0.700014,2.998500,0.164832,31.410787,0.953227,32.363335,30.933526
42,0.716681,2.644100,0.165536,31.363766,0.952998,31.730689,30.453007
43,0.733348,3.239700,0.166432,31.071389,0.949837,31.750014,30.393978
44,0.750015,2.612000,0.166016,31.217344,0.952226,31.785942,30.350649
45,0.766682,2.579900,0.165408,31.170873,0.952203,31.877949,30.550757
46,0.783349,2.426000,0.165344,31.379839,0.953418,31.240452,30.219038
47,0.800016,2.553100,0.417344,31.384465,0.952868,31.714006,30.337695
48,0.816683,2.612700,0.167168,31.059570,0.950500,31.601268,30.090438
49,0.833350,2.729600,0.332672,31.058978,0.950344,31.802095,30.514382
50,0.850017,2.305400,0.165248,31.222380,0.952098,31.268183,30.189752
51,0.866684,2.554200,0.165792,31.318532,0.953009,31.598600,30.336751
52,0.883351,2.480900,0.166048,31.285313,0.951272,31.509929,30.322364
53,0.900018,2.642000,0.324256,31.423096,0.953555,31.861815,30.696862
54,0.916685,2.352000,0.165984,31.366527,0.953202,31.335870,30.084931
55,0.933352,2.989100,0.335136,31.486931,0.954589,31.574509,30.384058
56,0.950019,2.391300,0.166208,31.197537,0.951021,31.627473,30.378819
57,0.966686,2.581000,0.165856,31.091922,0.950175,31.716248,30.463910
58,0.983353,2.648900,0.165280,31.338339,0.952248,31.273212,30.227012
59,1.000020,2.203400,0.166080,31.289534,0.952404,31.723722,30.590455
60,1.016687,2.667400,0.166048,31.421443,0.953455,31.605445,30.358899
61,1.033354,2.241700,0.164960,31.310787,0.951499,31.871673,30.728417
62,1.050021,2.495800,0.165824,31.454032,0.953437,31.591100,30.376373
63,1.066688,2.261200,0.166656,31.405875,0.953281,32.222558,30.732183
64,1.083355,2.760500,0.166656,31.148432,0.951517,32.250202,30.633729
65,1.100022,2.564100,0.165472,31.093348,0.950464,32.059088,30.759283
66,1.116689,2.759700,0.165696,31.040107,0.950327,31.446007,30.208686
67,1.133356,2.539900,0.166080,31.075025,0.951642,31.321447,30.110831
68,1.150023,2.443600,0.165568,31.047165,0.952363,31.293785,29.911506
69,1.166690,2.486500,0.165632,31.084222,0.951440,31.219175,30.187289
70,1.183357,2.591100,0.165632,31.325903,0.953305,30.845350,29.925775
