frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,13.971000,0.580160,36.982352,0.952872,35.632988,37.706060
17,0.300006,13.369700,0.577952,37.042783,0.953189,35.780472,37.918323
18,0.316673,13.544900,0.585024,37.072800,0.953527,36.028030,38.250448
19,0.333340,13.817100,0.770880,37.139524,0.953988,36.093434,38.550617
20,0.350007,14.334900,0.577408,37.196226,0.954385,36.330473,38.786301
21,0.366674,14.367700,0.580000,37.189303,0.954716,36.312979,38.786775
22,0.383341,14.153300,0.582048,37.256568,0.955080,36.380561,38.972195
23,0.400008,14.155400,0.579136,37.325322,0.955469,36.826324,39.596046
24,0.416675,14.398000,0.772448,37.398758,0.956015,36.950647,39.683842
25,0.433342,13.782400,0.577728,37.343261,0.956362,36.869066,39.640191
26,0.450009,14.400100,0.582368,37.359930,0.956516,36.779630,39.459803
27,0.466676,14.165400,1.047232,37.479959,0.957138,36.689063,39.163060
28,0.483343,14.506200,0.586848,37.454670,0.957468,36.762538,39.216887
29,0.500010,14.207200,0.585440,37.470300,0.957761,36.852231,39.384683
30,0.516677,15.620900,0.758784,37.512470,0.958089,36.884785,39.443427
31,0.533344,14.495700,0.582976,37.579651,0.958571,37.032621,39.413331
32,0.550011,15.239900,0.765920,37.528680,0.958783,36.789648,38.947583
33,0.566678,14.898400,0.571136,37.516782,0.959048,36.569149,38.628349
34,0.583345,14.739300,0.583808,37.542475,0.959347,36.409201,38.511166
35,0.600012,14.398100,0.634272,37.649069,0.959947,36.732462,38.821884
36,0.616679,14.392400,0.590208,37.625056,0.960135,36.893680,38.961669
37,0.633346,14.074200,0.881440,37.616103,0.960307,36.859528,38.981769
38,0.650013,14.535100,0.594080,37.637049,0.960703,36.876399,38.947448
39,0.666680,14.465400,0.775904,37.734985,0.961180,36.851682,38.838573
40,0.683347,14.729800,0.600256,37.743226,0.961622,36.826376,38.770724
41,0.700014,14.659700,0.787264,37.725018,0.961974,36.745576,38.674966
42,0.716681,15.180600,0.783040,37.755867,0.962482,36.688133,38.483658
43,0.733348,15.512100,0.785920,37.857332,0.963179,36.552711,38.231358
44,0.750015,17.135500,0.599776,37.811865,0.963573,36.389506,37.967607
45,0.766682,14.395200,0.602368,37.841612,0.964030,36.232636,37.761223
46,0.783349,14.949000,0.604960,37.862637,0.964601,36.065895,37.468524
47,0.800016,14.427500,0.601568,37.754835,0.965014,35.934606,37.273191
48,0.816683,14.680300,0.605568,37.842446,0.965828,35.763533,37.075215
49,0.833350,14.505900,0.606816,37.814850,0.966150,35.724986,36.908829
50,0.850017,14.739500,0.608352,37.809425,0.966518,35.676496,36.778913
51,0.866684,14.376800,0.611584,37.902063,0.967074,35.568790,36.653266
52,0.883351,14.736300,0.607200,37.909757,0.967482,35.566853,36.535842
53,0.900018,14.748100,0.905440,37.875584,0.967507,29.304893,29.510183
54,0.916685,14.422300,0.601696,37.422054,0.964551,21.504922,21.522741
55,0.933352,13.982300,0.771840,37.232919,0.963142,20.923358,20.942541
56,0.950019,14.528100,0.552768,37.547615,0.966907,20.108947,20.118864
57,0.966686,14.099200,0.722304,38.507541,0.972496,21.580739,21.605888
58,0.983353,14.063100,0.706688,39.358637,0.977879,23.994343,24.012047
59,1.000020,14.365300,1.194848,39.602356,0.983013,25.777062,25.785914
60,1.016687,14.571700,0.510272,40.306284,0.986233,27.766010,27.784347
61,1.033354,14.409200,0.507680,40.404097,0.986104,24.955315,24.959130
62,1.050021,14.367100,0.511680,39.257504,0.977319,21.946395,21.939990
63,1.066688,14.616300,0.707744,37.894078,0.963487,20.343024,20.346816
