frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,13.879100,0.708832,36.760953,0.945392,37.163328,37.706060
17,0.300006,13.901000,0.509536,36.813536,0.945744,37.337633,37.918323
18,0.316673,14.181200,0.508384,36.848481,0.946156,37.634907,38.250448
19,0.333340,14.131900,0.510112,36.908701,0.946650,37.724189,38.550617
20,0.350007,14.162500,0.710272,36.954997,0.947093,38.003385,38.786301
21,0.366674,13.825300,0.511616,36.957613,0.947476,37.969062,38.786775
22,0.383341,13.965200,0.508864,37.018293,0.947925,38.047567,38.972195
23,0.400008,13.761400,0.514656,37.076838,0.948357,38.618305,39.596046
24,0.416675,13.851900,0.729920,37.146146,0.948982,38.764414,39.683842
25,0.433342,14.088000,0.511456,37.110293,0.949380,38.665383,39.640191
26,0.450009,14.625600,0.511264,37.122429,0.949613,38.527301,39.459803
27,0.466676,14.186000,0.512768,37.232546,0.950298,38.373992,39.163060
28,0.483343,14.509500,0.508416,37.220518,0.950693,38.459530,39.216887
29,0.500010,14.205500,0.517024,37.232436,0.951065,38.578246,39.384683
30,0.516677,14.558300,0.513280,37.271665,0.951448,38.623847,39.443427
31,0.533344,14.103200,0.513632,37.329948,0.951984,38.800873,39.413331
32,0.550011,14.107500,0.512064,37.297663,0.952288,38.485072,38.947583
33,0.566678,14.072700,0.518432,37.293374,0.952631,38.187402,38.628349
34,0.583345,15.539100,0.524800,37.321969,0.953028,37.991025,38.511166
35,0.600012,15.568000,0.690624,37.416426,0.953673,38.382302,38.821884
36,0.616679,14.893200,0.524064,37.403366,0.953951,38.610185,38.961669
37,0.633346,15.263600,0.522208,37.404270,0.954211,38.567320,38.981769
38,0.650013,14.547300,0.514336,37.427863,0.954691,38.601600,38.947448
39,0.666680,14.388500,0.696576,37.516603,0.955249,38.567561,38.838573
40,0.683347,14.584500,0.520192,37.527894,0.955787,38.519468,38.770724
41,0.700014,14.429500,0.525376,37.520727,0.956257,38.463497,38.674966
42,0.716681,14.717600,0.521920,37.563059,0.956874,38.385068,38.483658
43,0.733348,14.106700,0.723200,37.650808,0.957631,38.210857,38.231358
44,0.750015,14.504600,0.728480,37.616967,0.958120,38.018161,37.967607
45,0.766682,14.229900,0.538304,37.648571,0.958686,37.825076,37.761223
46,0.783349,14.506800,0.537600,37.680894,0.959364,37.641321,37.468524
47,0.800016,15.136300,0.705280,37.607682,0.959934,37.472085,37.273191
48,0.816683,16.261700,0.592768,37.692481,0.960864,37.238385,37.075215
49,0.833350,15.067600,0.586560,37.674851,0.961272,37.203170,36.908829
50,0.850017,14.721400,0.536608,37.689893,0.961775,37.163424,36.778913
51,0.866684,14.651400,0.806720,37.769634,0.962418,37.026171,36.653266
52,0.883351,14.620800,0.606944,37.786117,0.962936,37.013162,36.535842
53,0.900018,14.666800,0.727424,37.748911,0.963015,29.615973,29.510183
54,0.916685,14.346100,0.525312,37.306897,0.959632,21.564342,21.522741
55,0.933352,14.319700,0.513888,37.118906,0.958252,20.978255,20.942541
56,0.950019,14.419300,0.481792,37.417783,0.962498,20.154117,20.118864
57,0.966686,13.904100,0.468320,38.264312,0.968161,21.624451,21.605888
58,0.983353,14.133600,0.450144,39.022437,0.973840,24.064034,24.012047
59,1.000020,13.924600,0.444736,39.330036,0.979512,25.894583,25.785914
60,1.016687,14.482400,0.440288,40.061607,0.983267,27.941773,27.784347
61,1.033354,14.642300,0.823328,40.181243,0.983125,25.059867,24.959130
62,1.050021,14.642400,0.432160,39.098487,0.973816,22.015080,21.939990
63,1.066688,14.662500,0.439776,37.786965,0.959628,20.396008,20.346816
64,1.083355,14.588300,0.439904,35.797445,0.942730,19.810334,19.744846
65,1.100022,13.854900,0.458752,34.692512,0.932366,21.581804,21.479243
66,1.116689,14.073900,0.678720,34.484267,0.929606,23.573947,23.469488
67,1.133356,13.412000,0.505728,34.340355,0.927179,24.737805,24.621910
68,1.150023,13.575000,0.526400,34.258115,0.925442,25.520647,25.414861
69,1.166690,13.875900,0.715936,34.220483,0.924139,27.099383,26.971583
70,1.183357,13.940100,0.524448,34.097489,0.922337,32.128860,31.858868
71,1.200024,13.801500,0.677024,34.015819,0.920769,32.296546,32.079348
72,1.216691,14.365900,0.520704,33.938842,0.919373,32.477809,32.247652
73,1.233358,14.030300,0.524288,33.880627,0.918298,32.743290,32.564740
74,1.250025,16.687400,0.528192,33.833347,0.917290,33.007227,32.854999
75,1.266692,14.502300,0.560640,33.765999,0.916463,33.114565,32.963489
76,1.283359,13.167300,0.535808,33.728941,0.915716,33.188838,33.068701
77,1.300026,13.249600,0.775712,33.692549,0.915188,33.240669,33.138430
78,1.316693,13.643900,0.519712,33.655554,0.914773,33.293316,33.252796
79,1.333360,13.442200,0.529600,33.657098,0.914390,33.410943,33.331415
80,1.350027,13.530700,0.523648,33.673589,0.914212,33.455462,33.440735
81,1.366694,13.157200,0.714496,33.650208,0.913770,33.528391,33.531177
82,1.383361,13.000500,0.939360,33.655854,0.913601,33.522652,33.575893
83,1.400028,13.146100,0.531712,33.641233,0.913076,33.556372,33.649543
84,1.416695,13.605400,0.530464,33.664658,0.913028,33.695217,33.789870
85,1.433362,13.542200,0.533568,33.641152,0.912598,33.787878,33.919680
86,1.450029,14.705100,0.522912,33.670182,0.912411,33.809349,33.996627
87,1.466696,15.236400,0.717664,33.691143,0.912470,33.901205,34.093469
88,1.483363,13.572700,0.522304,33.690860,0.912094,33.973943,34.186490
89,1.500030,13.978900,0.826336,33.689854,0.911852,34.058653,34.350636
90,1.516697,13.026900,0.529216,33.681634,0.911513,34.147603,34.459382
91,1.533364,13.561400,0.716928,33.684393,0.911243,34.229982,34.603329
92,1.550031,13.553300,0.533984,33.669593,0.910818,34.418936,34.783074
93,1.566698,13.651500,0.731136,33.635511,0.910505,34.510127,34.856165
94,1.583365,13.978000,0.521792,33.652850,0.910312,34.491477,34.932693
95,1.600032,13.420300,0.521408,33.666512,0.910185,34.522234,34.967777
96,1.616699,13.567200,0.524096,33.705175,0.910073,34.648832,35.135133
97,1.633366,13.299900,0.524480,33.668996,0.909871,34.819598,35.360550
98,1.650033,13.532300,0.529184,33.676988,0.909613,34.986151,35.680978
99,1.666700,13.534300,0.719136,33.735334,0.909558,35.144259,35.896493
100,1.683367,13.341200,0.910592,33.792588,0.909785,35.249224,35.996563
101,1.700034,13.586300,0.711072,33.739073,0.909403,35.310891,36.079171
102,1.716701,13.852300,0.518976,33.815331,0.909994,35.394302,36.161916
103,1.733368,12.944400,0.720128,33.798295,0.909621,35.487316,36.195333
104,1.750035,13.749900,0.531136,33.785501,0.909292,35.542860,36.255714
105,1.766702,13.832600,0.534656,33.748056,0.908937,35.508414,36.295768
106,1.783369,13.427900,0.529792,33.761474,0.908951,35.555964,36.340632
107,1.800036,13.616100,0.718336,33.747527,0.908729,35.609986,36.345302
108,1.816703,13.865100,0.521568,33.755148,0.908708,35.518364,36.369595
109,1.833370,13.434700,0.715264,33.776365,0.908727,35.582005,36.363892
110,1.850037,13.131600,0.527072,33.748501,0.908537,35.570651,36.341312
111,1.866704,13.968900,0.711392,33.729436,0.908531,35.445148,36.131295
112,1.883371,13.492500,0.528768,33.736788,0.908637,35.197073,35.825023
113,1.900038,13.616700,1.112832,33.733070,0.908494,34.998025,35.573344
114,1.916705,13.649200,0.523648,33.723432,0.908372,34.789534,35.310637
115,1.933372,13.317500,0.525056,33.693821,0.908201,34.666708,35.118044
116,1.950039,13.124500,0.528032,33.696001,0.908061,34.498614,34.941991
117,1.966706,13.419900,0.535648,33.706260,0.908193,34.422021,34.838402
118,1.983373,13.660100,0.533088,33.686507,0.908085,34.369518,34.807410
119,2.000040,12.981000,0.718112,33.697156,0.908239,34.279624,34.727466
