frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.283339,13.789400,0.479552,34.924264,0.928449,32.987812,37.706060
17,0.300006,14.035600,0.674272,34.983372,0.928772,33.085166,37.918323
18,0.316673,13.819900,0.482560,35.009912,0.929113,33.244540,38.250448
19,0.333340,14.173200,0.479008,35.066664,0.929584,33.289952,38.550617
20,0.350007,13.977800,0.702080,35.129707,0.930107,33.433828,38.786301
21,0.366674,13.875100,0.477664,35.120077,0.930459,33.439367,38.786775
22,0.383341,14.596500,0.479456,35.175583,0.930919,33.498930,38.972195
23,0.400008,13.704300,0.480288,35.250884,0.931457,33.774366,39.596046
24,0.416675,14.215200,0.480160,35.308535,0.932068,33.856188,39.683842
25,0.433342,13.376400,0.479232,35.265167,0.932566,33.816546,39.640191
26,0.450009,14.370800,0.483840,35.286423,0.932801,33.794084,39.459803
27,0.466676,13.770900,0.481824,35.390601,0.933725,33.764815,39.163060
28,0.483343,14.042300,0.483520,35.395062,0.934342,33.809518,39.216887
29,0.500010,13.671500,0.485312,35.411579,0.934875,33.873209,39.384683
30,0.516677,14.064900,0.487712,35.450647,0.935462,33.896448,39.443427
31,0.533344,14.503800,0.482688,35.534476,0.936421,34.001157,39.413331
32,0.550011,13.766600,0.677504,35.497121,0.936904,33.889244,38.947583
33,0.566678,14.340600,0.487072,35.490855,0.937425,33.787119,38.628349
34,0.583345,14.005700,0.491456,35.533956,0.938094,33.714638,38.511166
35,0.600012,14.733600,0.492352,35.639975,0.939034,33.941578,38.821884
36,0.616679,15.784900,0.510368,35.637456,0.939544,34.044203,38.961669
37,0.633346,15.095200,0.493920,35.630274,0.939978,34.044586,38.981769
38,0.650013,15.789200,0.493984,35.679726,0.940862,34.068767,38.947448
39,0.666680,14.544100,0.495200,35.775915,0.941789,34.081204,38.838573
40,0.683347,14.703700,0.618912,35.807128,0.942686,34.070283,38.770724
41,0.700014,14.129400,0.501696,35.793370,0.943419,34.011651,38.674966
42,0.716681,15.179000,0.497568,35.851213,0.944466,34.009110,38.483658
43,0.733348,14.390200,0.499328,35.945246,0.945714,33.925471,38.231358
44,0.750015,15.064100,0.855776,35.929084,0.946580,33.846535,37.967607
45,0.766682,14.036400,0.506912,35.986144,0.947597,33.767486,37.761223
46,0.783349,15.272900,0.702816,36.000745,0.948753,33.669723,37.468524
47,0.800016,14.894200,0.509248,35.943290,0.949736,33.611339,37.273191
48,0.816683,15.310000,0.696064,36.040069,0.951223,33.538519,37.075215
49,0.833350,15.817300,0.742368,36.038717,0.952225,33.546633,36.908829
50,0.850017,15.311600,0.527488,36.051137,0.953299,33.560098,36.778913
51,0.866684,14.500900,0.545600,36.167440,0.954673,33.508510,36.653266
52,0.883351,15.421700,0.511104,36.230319,0.956112,33.527984,36.535842
53,0.900018,14.215300,0.713728,36.226538,0.956978,28.738619,29.510183
54,0.916685,14.822800,0.695616,35.764857,0.954041,21.399232,21.522741
55,0.933352,14.159300,0.494432,35.599859,0.953300,20.824291,20.942541
56,0.950019,14.157800,0.470368,35.881751,0.957906,20.028291,20.118864
57,0.966686,14.316000,0.448992,36.779965,0.964136,21.489940,21.605888
58,0.983353,14.024900,0.636768,37.531322,0.970206,23.866065,24.012047
59,1.000020,14.306000,0.429760,37.730913,0.976211,25.600840,25.785914
60,1.016687,14.210200,0.430656,38.389891,0.980373,27.503721,27.784347
61,1.033354,14.759900,0.591072,38.408494,0.979703,24.822073,24.959130
62,1.050021,14.398900,0.429312,37.306568,0.968854,21.866467,21.939990
63,1.066688,14.633900,0.435296,36.067149,0.953190,20.270569,20.346816
64,1.083355,14.414100,0.429344,34.107704,0.934247,19.648092,19.744846
65,1.100022,13.752600,0.443072,32.941822,0.921141,21.273756,21.479243
66,1.116689,14.682700,0.461216,32.664313,0.915813,23.054723,23.469488
67,1.133356,13.480000,0.478688,32.516666,0.911794,24.057744,24.621910
68,1.150023,13.998200,0.489728,32.425237,0.908836,24.714721,25.414861
69,1.166690,13.192100,0.491200,32.386831,0.906608,25.980091,26.971583
70,1.183357,14.113600,0.501280,32.288417,0.904836,29.284795,31.858868
71,1.200024,13.379600,0.497952,32.217029,0.903237,29.356639,32.079348
72,1.216691,13.472900,0.499360,32.143925,0.901813,29.422833,32.247652
73,1.233358,13.836400,0.493504,32.092465,0.900583,29.543102,32.564740
74,1.250025,14.137700,0.496768,32.034468,0.899376,29.664278,32.854999
75,1.266692,14.055200,0.495008,31.960184,0.898399,29.681510,32.963489
76,1.283359,14.182600,0.685792,31.916975,0.897601,29.675126,33.068701
77,1.300026,14.017600,0.503456,31.868478,0.896951,29.656099,33.138430
78,1.316693,13.937600,0.564160,31.826237,0.896534,29.658210,33.252796
79,1.333360,13.413700,0.520480,31.816612,0.896057,29.717847,33.331415
80,1.350027,13.648200,0.516832,31.829455,0.895955,29.715881,33.440735
81,1.366694,13.292600,0.653888,31.804428,0.895495,29.761893,33.531177
82,1.383361,14.016300,0.501152,31.804657,0.895307,29.744965,33.575893
83,1.400028,12.903200,0.499168,31.784449,0.894728,29.736394,33.649543
84,1.416695,13.726200,0.502784,31.806247,0.894822,29.791603,33.789870
85,1.433362,13.504100,0.501504,31.787480,0.894434,29.838301,33.919680
86,1.450029,13.727200,0.500736,31.804168,0.894348,29.856670,33.996627
87,1.466696,14.390800,0.500736,31.842341,0.894579,29.903704,34.093469
88,1.483363,16.666700,0.689536,31.839381,0.894233,29.947336,34.186490
89,1.500030,14.901800,1.333632,31.852034,0.894180,30.023559,34.350636
90,1.516697,13.850300,0.502144,31.858403,0.893957,30.075411,34.459382
91,1.533364,13.477700,0.500672,31.866669,0.893783,30.139816,34.603329
92,1.550031,13.129200,0.499520,31.868401,0.893541,30.257925,34.783074
93,1.566698,13.567300,0.498368,31.844270,0.893419,30.314085,34.856165
94,1.583365,13.562600,0.495520,31.863320,0.893320,30.305933,34.932693
95,1.600032,13.134800,0.497152,31.883906,0.893352,30.363382,34.967777
96,1.616699,13.968800,0.495552,31.926738,0.893414,30.440562,35.135133
97,1.633366,13.046200,0.494720,31.896562,0.893244,30.473066,35.360550
98,1.650033,13.894000,0.496224,31.921781,0.893039,30.509229,35.680978
99,1.666700,13.229100,0.500096,31.981686,0.893031,30.631491,35.896493
100,1.683367,14.350100,0.494336,32.029443,0.893333,30.693564,35.996563
101,1.700034,13.467400,0.984448,31.974755,0.892802,30.753909,36.079171
102,1.716701,13.571600,0.806144,32.055677,0.893646,30.814853,36.161916
