name,split,scale,fps,psnr_heuristic,psnr_blend,megabytes,args
sponza-r3-p2.5-60,train,1.5,60,35.11,25.84,195,--width 1920 --height 1080 --upscaler fsr --scripted --jitter --validate-fg --warmup 16 --ml-patches 4 --scale 1.5 --fixed-dt 0.0166667 --frames 76 --scene /home/matthew/Documents/Workspace/ante-galic/assets/sponza/Sponza.gltf --scene-fit 12 --path-radius 3 --path-phase 2.5
sponza-r3-p3.0-30,train,1.5,30,34.96,26.54,130,--width 1920 --height 1080 --upscaler fsr --scripted --jitter --validate-fg --warmup 16 --ml-patches 4 --scale 1.5 --fixed-dt 0.0333333 --frames 56 --scene /home/matthew/Documents/Workspace/ante-galic/assets/sponza/Sponza.gltf --scene-fit 12 --path-radius 3 --path-phase 3.0
sponza-r3-p3.5-120,train,1.5,120,38.68,31.40,292,--width 1920 --height 1080 --upscaler fsr --scripted --jitter --validate-fg --warmup 16 --ml-patches 4 --scale 1.5 --fixed-dt 0.0083333 --frames 106 --scene /home/matthew/Documents/Workspace/ante-galic/assets/sponza/Sponza.gltf --scene-fit 12 --path-radius 3 --path-phase 3.5
sponza-r5-p2.5-60,train,1.5,60,42.13,28.72,195,--width 1920 --height 1080 --upscaler fsr --scripted --jitter --validate-fg --warmup 16 --ml-patches 4 --scale 1.5 --fixed-dt 0.0166667 --frames 76 --scene /home/matthew/Documents/Workspace/ante-galic/assets/sponza/Sponza.gltf --scene-fit 12 --path-radius 5 --path-phase 2.5
sponza-r5-p3.5-20,train,1.5,20,38.97,29.20,97,--width 1920 --height 1080 --upscaler fsr --scripted --jitter --validate-fg --warmup 16 --ml-patches 4 --scale 1.5 --fixed-dt 0.05 --frames 46 --scene /home/matthew/Documents/Workspace/ante-galic/assets/sponza/Sponza.gltf --scene-fit 12 --path-radius 5 --path-phase 3.5
sponza-r5-p1.0-60,train,1.5,60,40.97,28.43,195,--width 1920 --height 1080 --upscaler fsr --scripted --jitter --validate-fg --warmup 16 --ml-patches 4 --scale 1.5 --fixed-dt 0.0166667 --frames 76 --scene /home/matthew/Documents/Workspace/ante-galic/assets/sponza/Sponza.gltf --scene-fit 12 --path-radius 5 --path-phase 1.0
sponza-r4-p2.0-30,train,1.5,30,37.03,25.84,130,--width 1920 --height 1080 --upscaler fsr --scripted --jitter --validate-fg --warmup 16 --ml-patches 4 --scale 1.5 --fixed-dt 0.0333333 --frames 56 --scene /home/matthew/Documents/Workspace/ante-galic/assets/sponza/Sponza.gltf --scene-fit 12 --path-radius 4 --path-phase 2.0
sponza-r2-p3.0-60,train,1.5,60,36.31,28.50,195,--width 1920 --height 1080 --upscaler fsr --scripted --jitter --validate-fg --warmup 16 --ml-patches 4 --scale 1.5 --fixed-dt 0.0166667 --frames 76 --scene /home/matthew/Documents/Workspace/ante-galic/assets/sponza/Sponza.gltf --scene-fit 12 --path-radius 2 --path-phase 3.0
sponza-r3-p2.5-60-perf,train,2.0,60,33.73,25.89,195,--width 1920 --height 1080 --upscaler fsr --scripted --jitter --validate-fg --warmup 16 --ml-patches 4 --scale 2.0 --fixed-dt 0.0166667 --frames 76 --scene /home/matthew/Documents/Workspace/ante-galic/assets/sponza/Sponza.gltf --scene-fit 12 --path-radius 3 --path-phase 2.5
sponza-r5-p2.0-60-native,train,1.0,60,43.65,27.64,195,--width 1920 --height 1080 --upscaler fsr --scripted --jitter --validate-fg --warmup 16 --ml-patches 4 --scale 1.0 --fixed-dt 0.0166667 --frames 76 --scene /home/matthew/Documents/Workspace/ante-galic/assets/sponza/Sponza.gltf --scene-fit 12 --path-radius 5 --path-phase 2.0
proc-t10-p1.0-60,train,1.5,60,34.14,31.92,195,--width 1920 --height 1080 --upscaler fsr --scripted --jitter --validate-fg --warmup 16 --ml-patches 4 --scale 1.5 --fixed-dt 0.0166667 --frames 76 --time-offset 10 --path-phase 1.0
proc-t25-p3.0-30,train,1.5,30,33.32,27.97,130,--width 1920 --height 1080 --upscaler fsr --scripted --jitter --validate-fg --warmup 16 --ml-patches 4 --scale 1.5 --fixed-dt 0.0333333 --frames 56 --time-offset 25 --path-phase 3.0
proc-t40-p3.0-60,train,1.5,60,33.65,31.12,195,--width 1920 --height 1080 --upscaler fsr --scripted --jitter --validate-fg --warmup 16 --ml-patches 4 --scale 1.5 --fixed-dt 0.0166667 --frames 76 --time-offset 40 --path-phase 3.0
proc-t45-p2.0-20,train,1.5,20,33.18,26.44,97,--width 1920 --height 1080 --upscaler fsr --scripted --jitter --validate-fg --warmup 16 --ml-patches 4 --scale 1.5 --fixed-dt 0.05 --frames 46 --time-offset 45 --path-phase 2.0
sponza-r3-p2.5-20,train,1.5,20,33.17,24.28,97,--width 1920 --height 1080 --upscaler fsr --scripted --jitter --validate-fg --warmup 16 --ml-patches 4 --scale 1.5 --fixed-dt 0.05 --frames 46 --scene /home/matthew/Documents/Workspace/ante-galic/assets/sponza/Sponza.gltf --scene-fit 12 --path-radius 3 --path-phase 2.5
sponza-r4-p3.0-20,train,1.5,20,33.90,25.07,97,--width 1920 --height 1080 --upscaler fsr --scripted --jitter --validate-fg --warmup 16 --ml-patches 4 --scale 1.5 --fixed-dt 0.05 --frames 46 --scene /home/matthew/Documents/Workspace/ante-galic/assets/sponza/Sponza.gltf --scene-fit 12 --path-radius 4 --path-phase 3.0
sponza-r2-p2.0-30,train,1.5,30,35.40,25.13,130,--width 1920 --height 1080 --upscaler fsr --scripted --jitter --validate-fg --warmup 16 --ml-patches 4 --scale 1.5 --fixed-dt 0.0333333 --frames 56 --scene /home/matthew/Documents/Workspace/ante-galic/assets/sponza/Sponza.gltf --scene-fit 12 --path-radius 2 --path-phase 2.0
