step,lr,train_loss,val_loss,val_psnr_net,val_psnr_heur,seconds
1000,0.00198274,0.0113239,0.00692849,33.9319,33.8988,36.4334
2000,0.00189966,0.0101691,0.00686231,34.0416,33.8988,72.5444
3000,0.00175354,0.0100673,0.0067663,34.0858,33.8988,108.659
4000,0.00155485,0.0100225,0.00675667,34.1035,33.8988,144.758
5000,0.00131783,0.00952748,0.00671412,34.1302,33.8988,180.737
6000,0.00105946,0.00974432,0.00664542,34.1767,33.8988,216.743
7000,0.000798266,0.0096651,0.00660086,34.2046,33.8988,252.904
8000,0.000552963,0.0094745,0.00656932,34.2216,33.8988,288.989
9000,0.00034113,0.00958015,0.00655232,34.2226,33.8988,324.967
10000,0.00017795,0.00940076,0.00655036,34.2183,33.8988,361.076
11000,7.51167e-05,0.00961307,0.00653974,34.2277,33.8988,397.128
12000,4e-05,0.00947601,0.00653701,34.2291,33.8988,433.182
