step,lr,train_loss,val_loss,val_psnr_net,val_psnr_heur,seconds
1000,0.00198274,0.000935014,0.000413004,33.8405,33.8988,37.1038
2000,0.00189966,0.000744621,0.000409138,33.8813,33.8988,74.0599
3000,0.00175354,0.000673572,0.00040901,33.8827,33.8988,111.39
4000,0.00155485,0.000710465,0.000413913,33.8309,33.8988,148.84
5000,0.00131783,0.000668084,0.000413951,33.8305,33.8988,185.062
6000,0.00105946,0.000708565,0.000413391,33.8364,33.8988,221.803
7000,0.000798266,0.000668104,0.000414437,33.8254,33.8988,258.459
8000,0.000552963,0.000617169,0.000409189,33.8808,33.8988,294.859
9000,0.00034113,0.000630203,0.00040871,33.8858,33.8988,331.489
10000,0.00017795,0.000611676,0.00040967,33.8757,33.8988,368.061
11000,7.51167e-05,0.000584254,0.000410124,33.8708,33.8988,405.555
12000,4e-05,0.000591769,0.00041021,33.8699,33.8988,443.855
