step,lr,train_loss,val_loss,val_psnr_net,val_psnr_heur,seconds
1000,0.00198274,0.0114767,0.00717271,33.6888,33.8988,61.503
2000,0.00189966,0.0114184,0.00705581,33.8988,33.8988,123.164
3000,0.00175354,0.0118704,0.00698587,33.9119,33.8988,184.739
4000,0.00155485,0.0116255,0.00701989,33.9069,33.8988,246.225
5000,0.00131783,0.0111344,0.0069547,33.9427,33.8988,307.534
6000,0.00105946,0.0105708,0.00710352,33.6072,33.8988,369.116
7000,0.000798266,0.010062,0.00658757,34.1591,33.8988,430.558
8000,0.000552963,0.010271,0.00657386,34.1812,33.8988,492.059
9000,0.00034113,0.0104261,0.00655087,34.2025,33.8988,553.396
10000,0.00017795,0.0103005,0.00653036,34.2117,33.8988,614.877
11000,7.51167e-05,0.0103303,0.00652114,34.2249,33.8988,676.25
12000,4e-05,0.010112,0.00651576,34.2264,33.8988,737.642
