step,lr,train_loss,val_loss,val_psnr_net,val_psnr_heur,seconds
1000,0.00198274,0.0104103,0.00705029,33.8169,33.8503,68.0113
2000,0.00189966,0.00947389,0.00686666,33.7348,33.8503,138.318
3000,0.00175354,0.00985856,0.00674151,33.9634,33.8503,205.95
4000,0.00155485,0.0091437,0.00670549,34.0036,33.8503,268.777
5000,0.00131783,0.00909105,0.00667898,34.0215,33.8503,332.501
6000,0.00105946,0.00909204,0.00666517,34.0207,33.8503,394.773
7000,0.000798266,0.00893177,0.00666622,34.0139,33.8503,456.386
8000,0.000552963,0.00902324,0.00666128,34.0278,33.8503,519.423
9000,0.00034113,0.00905142,0.00669014,34.0135,33.8503,585.752
10000,0.00017795,0.0088692,0.00665392,34.0173,33.8503,650.437
11000,7.51167e-05,0.00885734,0.00665418,34.002,33.8503,713.873
12000,4e-05,0.00892229,0.00665507,34.0029,33.8503,776.664
