step,lr,train_loss,val_loss,val_psnr_net,val_psnr_heur,seconds
1000,0.00198274,0.0104926,0.0069215,33.9512,33.8503,39.0857
2000,0.00189966,0.0101664,0.00714092,33.6874,33.8503,78.7361
3000,0.00175354,0.00994846,0.00689537,33.939,33.8503,118.948
4000,0.00155485,0.0102257,0.00664571,34.0434,33.8503,155.997
5000,0.00131783,0.0101317,0.00672469,33.9561,33.8503,197.433
6000,0.00105946,0.00979781,0.0066075,34.0891,33.8503,236.618
7000,0.000798266,0.00929772,0.00657713,34.0923,33.8503,273.788
8000,0.000552963,0.00929951,0.00657841,34.1141,33.8503,310.231
9000,0.00034113,0.00926364,0.00656126,34.1202,33.8503,348.518
10000,0.00017795,0.0090112,0.00655515,34.1144,33.8503,385.477
11000,7.51167e-05,0.00906961,0.00655241,34.1159,33.8503,422.426
12000,4e-05,0.00884843,0.00656075,34.1224,33.8503,461.829
