step,lr,train_loss,val_loss,val_psnr_net,val_psnr_heur,seconds
1000,0.00198274,0.0106618,0.00336349,44.3324,46.8784,37.1294
2000,0.00189966,0.00941096,0.00319969,46.7845,46.8784,73.5688
3000,0.00175354,0.00891544,0.00315109,47.7102,46.8784,109.955
4000,0.00155485,0.00899869,0.00314677,47.6483,46.8784,146.427
5000,0.00131783,0.00867141,0.00312697,47.792,46.8784,183.273
6000,0.00105946,0.00884204,0.00307499,47.9962,46.8784,219.697
7000,0.000798266,0.00876363,0.00310016,47.8515,46.8784,256.066
8000,0.000552963,0.00860711,0.00308466,47.956,46.8784,292.602
9000,0.00034113,0.00851112,0.00308638,47.9318,46.8784,328.915
10000,0.00017795,0.00852043,0.0030959,47.8826,46.8784,365.241
11000,7.51167e-05,0.00850082,0.0030859,47.9146,46.8784,401.564
12000,4e-05,0.00855267,0.00309004,47.8957,46.8784,437.94
