frame,interpolated,sample_ms,ready_ms,present_ms,gpu_wait_ms,caught_up
0,0,9.8470,29.4720,30.3216,0.4104,0
1,1,29.9253,56.7824,57.3464,0.4801,0
1,0,29.9253,56.7824,71.0587,0.3046,0
2,1,57.9014,80.8310,81.3678,0.4631,0
2,0,57.9014,80.8310,94.9111,0.2896,0
3,1,81.7131,104.3516,105.5033,1.1163,0
3,0,81.7131,104.3516,118.8950,0.3313,0
4,1,105.8905,127.4816,128.7725,1.2449,0
4,0,105.8905,127.4816,141.9407,0.1704,0
5,1,128.9988,149.7291,150.8777,1.0857,0
5,0,128.9988,149.7291,163.8415,0.2419,0
6,1,151.2035,174.4762,175.6303,1.0999,0
6,0,151.2035,174.4762,188.5492,0.1660,0
7,1,175.8650,198.6709,199.9360,1.2174,0
7,0,175.8650,198.6709,212.7772,0.1744,0
8,1,200.1745,222.1086,223.3307,1.1784,0
8,0,200.1745,222.1086,236.0618,0.1547,0
9,1,223.5331,245.1530,246.3225,1.1257,0
9,0,223.5331,245.1530,258.9299,0.1563,0
10,1,246.5295,268.1824,269.3587,1.1291,0
10,0,246.5295,268.1824,281.8702,0.1586,0
11,1,269.5676,291.3591,292.5349,1.1304,0
11,0,269.5676,291.3591,304.9554,0.1613,0
12,1,292.7514,315.2848,316.4531,1.1098,0
12,0,292.7514,315.2848,328.8185,0.1532,0
13,1,316.6593,338.4493,339.5882,1.1033,0
13,0,316.6593,338.4493,351.8759,0.1610,0
14,1,339.7991,362.7679,362.9780,0.1701,0
14,0,339.7991,362.7679,375.2549,0.1496,0
15,1,363.1782,385.2796,386.4428,1.1094,0
15,0,363.1782,385.2796,398.6197,0.1953,0
16,1,386.6867,408.8850,410.0244,1.1099,0
16,0,386.6867,408.8850,422.1647,0.1621,0
17,1,410.2348,433.4299,433.6329,0.1751,0
17,0,410.2348,433.4299,445.7886,1.1145,0
18,1,434.7947,456.8387,457.9775,1.1082,0
18,0,434.7947,456.8387,470.0896,0.1594,0
19,1,458.1863,479.9597,481.1086,1.1122,0
19,0,458.1863,479.9597,493.1683,0.1563,0
20,1,481.3176,504.4314,505.5699,1.1083,0
20,0,481.3176,504.4314,517.6478,0.1584,0
21,1,505.7781,527.8402,528.9787,1.1085,0
21,0,505.7781,527.8402,541.0445,0.1580,0
22,1,529.3098,550.9275,552.0726,1.1061,0
22,0,529.3098,550.9275,564.0877,0.1674,0
23,1,552.2968,575.7759,577.0480,1.2213,0
23,0,552.2968,575.7759,589.1124,0.1837,0
24,1,577.2957,600.1206,601.3891,1.2348,0
24,0,577.2957,600.1206,613.4443,0.1647,0
25,1,601.6082,624.2594,625.5242,1.2194,0
25,0,601.6082,624.2594,637.5880,0.1743,0
26,1,625.7543,648.5643,649.8144,1.2017,0
26,0,625.7543,648.5643,661.9035,0.1596,0
27,1,650.0296,674.0161,675.1871,1.1240,0
27,0,650.0296,674.0161,687.3297,0.1843,0
28,1,675.4289,698.2978,699.4820,1.1470,0
28,0,675.4289,698.2978,711.6259,0.1564,0
29,1,699.6877,723.3437,723.5907,0.1990,0
29,0,699.6877,723.3437,735.7843,0.1501,0
30,1,723.7869,746.6924,747.8771,1.1283,0
30,0,723.7869,746.6924,760.0135,0.1602,0
31,1,748.0905,771.2862,772.4770,1.1497,0
31,0,748.0905,771.2862,784.6437,0.1567,0
32,1,772.6859,796.3488,797.5391,1.1431,0
32,0,772.6859,796.3488,809.7344,0.1593,0
33,1,797.7542,822.0478,822.3390,0.2475,0
33,0,797.7542,822.0478,834.6096,0.1711,0
34,1,822.5944,846.8466,847.0650,0.1834,0
34,0,822.5944,846.8466,859.3455,0.1578,0
35,1,847.2620,869.9541,871.1360,1.1377,0
35,0,847.2620,869.9541,883.3439,0.1590,0
36,1,871.3412,896.0781,897.2571,1.1324,0
36,0,871.3412,896.0781,909.5538,0.1544,0
37,1,897.4623,920.7448,921.9039,1.1137,0
37,0,897.4623,920.7448,934.2092,0.1522,0
38,1,922.1155,944.5366,945.7161,1.1391,0
38,0,922.1155,944.5366,957.9867,0.1512,0
39,1,945.9176,965.3765,966.5510,1.1246,0
39,0,945.9176,965.3765,978.6551,0.2096,0
40,1,966.8281,986.4766,987.6370,1.1122,0
40,0,966.8281,986.4766,999.5788,0.1629,0
41,1,987.8557,1006.6888,1007.8492,1.1171,0
41,0,987.8557,1006.6888,1019.6142,0.1593,0
42,1,1008.0640,1026.3705,1027.5205,1.1085,0
42,0,1008.0640,1026.3705,1039.0811,0.1638,0
43,1,1027.7414,1046.5783,1047.7879,1.1696,0
43,0,1027.7414,1046.5783,1059.2132,0.1610,0
44,1,1048.1469,1066.9747,1068.1937,1.1756,0
44,0,1048.1469,1066.9747,1079.5120,0.1579,0
45,1,1068.4103,1086.7578,1088.0580,1.2412,0
45,0,1068.4103,1086.7578,1099.2344,0.2840,0
46,1,1088.4111,1108.1111,1109.2199,1.0665,0
46,0,1088.4111,1108.1111,1120.3394,0.1651,0
47,1,1109.4408,1129.1743,1130.1161,0.8885,0
47,0,1109.4408,1129.1743,1141.1785,0.1724,0
48,1,1130.3357,1150.3228,1151.2576,0.8951,0
48,0,1130.3357,1150.3228,1162.2726,0.1670,0
49,1,1151.4724,1171.1863,1172.1184,0.8817,0
49,0,1151.4724,1171.1863,1183.0795,0.1628,0
50,1,1172.3357,1193.1712,1193.4082,0.1943,0
50,0,1172.3357,1193.1712,1204.3788,0.1431,0
51,1,1193.5974,1212.8384,1213.7404,0.8688,0
51,0,1193.5974,1212.8384,1224.5962,0.1681,0
52,1,1213.9370,1233.3594,1233.6007,0.1974,0
52,0,1213.9370,1233.3594,1244.4004,0.1489,0
53,1,1233.7867,1253.8243,1254.7667,0.8974,0
53,0,1233.7867,1253.8243,1265.5126,0.1581,0
54,1,1254.9657,1275.0698,1275.9988,0.8918,0
54,0,1254.9657,1275.0698,1286.7343,0.1649,0
55,1,1276.2082,1295.4665,1296.4005,0.8935,0
55,0,1276.2082,1295.4665,1307.0882,0.1604,0
56,1,1296.6058,1316.6848,1317.6250,0.8952,0
56,0,1296.6058,1316.6848,1328.3033,0.1695,0
57,1,1317.8413,1337.8748,1338.8115,0.8996,0
57,0,1317.8413,1337.8748,1349.4866,0.1685,0
58,1,1339.0240,1359.0339,1359.9675,0.8966,0
58,0,1339.0240,1359.0339,1370.6350,0.1748,0
59,1,1360.1908,1379.8797,1380.8162,0.8980,0
59,0,1360.1908,1379.8797,1391.4711,0.1784,0
60,1,1381.0414,1401.9311,1402.1735,0.2022,0
60,0,1381.0414,1401.9311,1412.8589,0.1537,0
61,1,1402.3721,1422.3372,1423.2482,0.8772,0
61,0,1402.3721,1422.3372,1433.9031,0.1774,0
62,1,1423.4701,1443.2706,1443.5066,0.1979,0
62,0,1423.4701,1443.2706,1454.1439,0.1551,0
63,1,1443.6905,1463.8923,1464.8229,0.8682,0
63,0,1443.6905,1463.8923,1475.4166,0.1714,0
64,1,1465.0371,1485.0733,1485.9533,0.8516,0
64,0,1465.0371,1485.0733,1496.5512,0.1585,0
65,1,1486.1577,1505.2339,1506.0913,0.8287,0
65,0,1486.1577,1505.2339,1516.6386,0.1640,0
66,1,1506.3001,1526.2140,1527.0738,0.8288,0
66,0,1506.3001,1526.2140,1537.6154,0.1820,0
67,1,1527.2976,1547.2089,1548.0744,0.8336,0
67,0,1527.2976,1547.2089,1558.6156,0.1684,0
68,1,1548.4194,1568.3735,1569.2384,0.8240,0
68,0,1548.4194,1568.3735,1579.8087,0.1750,0
69,1,1569.4696,1589.4869,1590.5325,0.9860,0
69,0,1569.4696,1589.4869,1601.0897,0.1809,0
70,1,1590.7662,1612.2744,1612.4978,0.1876,0
70,0,1590.7662,1612.2744,1623.1369,0.1641,0
71,1,1612.7097,1632.3476,1633.2087,0.8284,0
71,0,1612.7097,1632.3476,1643.7869,0.1857,0
72,1,1633.4481,1653.1405,1653.3631,0.1869,0
72,0,1633.4481,1653.1405,1663.9363,0.1558,0
73,1,1653.5768,1673.8058,1674.0335,0.1921,0
73,0,1653.5768,1673.8058,1684.5768,0.1623,0
74,1,1674.2534,1694.4931,1694.6972,0.1732,0
74,0,1674.2534,1694.4931,1705.2217,0.1489,0
75,1,1694.8986,1714.5499,1714.7531,0.1722,0
75,0,1694.8986,1714.5499,1725.2288,0.1438,0
76,1,1714.9496,1735.1546,1735.3659,0.1777,0
76,0,1714.9496,1735.1546,1745.8289,0.1464,0
77,1,1735.5637,1755.8303,1756.0337,0.1706,0
77,0,1735.5637,1755.8303,1766.4892,0.1591,0
78,1,1756.2458,1776.4861,1776.6872,0.1704,0
78,0,1756.2458,1776.4861,1787.1438,0.1477,0
79,1,1776.8871,1796.8968,1797.1913,0.2384,0
79,0,1776.8871,1796.8968,1807.6261,0.1638,0
80,1,1797.4127,1817.9263,1818.1536,0.1933,0
80,0,1797.4127,1817.9263,1828.6014,0.1591,0
81,1,1818.3665,1838.1317,1838.9921,0.8205,0
81,0,1818.3665,1838.1317,1849.4046,0.1591,0
82,1,1839.2041,1859.0845,1859.9449,0.8267,0
82,0,1839.2041,1859.0845,1870.3592,0.1492,0
83,1,1860.1521,1881.5458,1881.7490,0.1712,0
83,0,1860.1521,1881.5458,1892.2506,0.1447,0
84,1,1881.9377,1903.3181,1903.5209,0.1700,0
84,0,1881.9377,1903.3181,1914.0586,0.1482,0
85,1,1903.7131,1923.7467,1923.9469,0.1699,0
85,0,1903.7131,1923.7467,1934.4566,0.1446,0
86,1,1924.1427,1944.8309,1945.0407,0.1771,0
86,0,1924.1427,1944.8309,1955.5578,0.1532,0
87,1,1945.2397,1965.9574,1966.1918,0.1976,0
87,0,1945.2397,1965.9574,1976.7187,0.1646,0
88,1,1966.4064,1987.2245,1987.4317,0.1761,0
88,0,1966.4064,1987.2245,1997.9670,0.1446,0
89,1,1987.6322,2007.9419,2008.1463,0.1710,0
89,0,1987.6322,2007.9419,2018.6651,0.1543,0
90,1,2008.3418,2029.0020,2029.2774,0.2257,0
90,0,2008.3418,2029.0020,2039.8107,0.1529,0
91,1,2029.4809,2050.2296,2051.0889,0.8224,0
91,0,2029.4809,2050.2296,2061.6287,0.1707,0
92,1,2051.4393,2072.5999,2072.8003,0.1696,0
92,0,2051.4393,2072.5999,2083.4176,0.1402,0
93,1,2072.9910,2094.2975,2094.5766,0.2335,0
93,0,2072.9910,2094.2975,2105.2238,0.1560,0
94,1,2094.7948,2116.1452,2116.3924,0.2130,0
94,0,2094.7948,2116.1452,2127.0557,0.1526,0
95,1,2116.5933,2136.7656,2137.6260,0.8290,0
95,0,2116.5933,2136.7656,2148.2545,0.1488,0
96,1,2137.8188,2158.9243,2159.7862,0.8309,0
96,0,2137.8188,2158.9243,2170.4730,0.1532,0
97,1,2160.0458,2180.9993,2181.8605,0.8271,0
97,0,2160.0458,2180.9993,2192.5748,0.1580,0
98,1,2182.0666,2204.0402,2204.2495,0.1751,0
98,0,2182.0666,2204.0402,2215.0536,0.1456,0
99,1,2204.4485,2225.2014,2225.4101,0.1766,0
99,0,2204.4485,2225.2014,2236.2083,0.1444,0
100,1,2225.6106,2247.0013,2247.2273,0.1914,0
100,0,2225.6106,2247.0013,2258.0195,0.1464,0
101,1,2247.4318,2267.9495,2268.8078,0.8270,0
101,0,2247.4318,2267.9495,2279.5735,0.1517,0
102,1,2269.0041,2289.7471,2290.6065,0.8279,0
102,0,2269.0041,2289.7471,2301.3888,0.1553,0
103,1,2290.8043,2313.0417,2313.2578,0.1801,0
103,0,2290.8043,2313.0417,2324.1274,0.1512,0
104,1,2313.4523,2335.0296,2335.2479,0.1822,0
104,0,2313.4523,2335.0296,2346.1358,0.1529,0
105,1,2335.4450,2356.5286,2356.7426,0.1803,0
105,0,2335.4450,2356.5286,2367.6155,0.1552,0
106,1,2356.9441,2378.5767,2378.7815,0.1715,0
106,0,2356.9441,2378.5767,2389.6705,0.1450,0
107,1,2378.9705,2400.6966,2400.8924,0.1640,0
107,0,2378.9705,2400.6966,2411.8028,0.1438,0
108,1,2401.0779,2423.7625,2423.9623,0.1663,0
108,0,2401.0779,2423.7625,2434.9370,0.1540,0
109,1,2424.1604,2445.9378,2446.1476,0.1754,0
109,0,2424.1604,2445.9378,2457.1374,0.1501,0
110,1,2446.3414,2467.9507,2468.1521,0.1706,0
110,0,2446.3414,2467.9507,2479.1440,0.1486,0
111,1,2468.3445,2487.9141,2488.7730,0.8260,0
111,0,2468.3445,2487.9141,2499.6667,0.1485,0
112,1,2488.9635,2507.9695,2508.8267,0.8250,0
112,0,2488.9635,2507.9695,2519.6368,0.1478,0
113,1,2509.0171,2528.4998,2529.3555,0.8236,0
113,0,2509.0171,2528.4998,2540.1208,0.1463,0
