frame,interpolated,sample_ms,ready_ms,present_ms,gpu_wait_ms,caught_up
0,0,18.3352,23.7743,27.7823,2.9941,0
1,1,26.8018,32.6592,35.8958,2.9543,0
1,0,26.8018,32.6592,38.8147,0.0422,0
2,1,35.9815,39.0108,41.6070,2.4004,0
2,0,35.9815,39.0108,44.8499,1.9395,0
3,1,43.5707,46.4439,46.7531,0.1197,0
3,0,43.5707,46.4439,49.4301,0.0406,0
4,1,46.8145,49.9666,50.3897,0.1364,0
4,0,46.8145,49.9666,52.9748,0.0483,0
5,1,50.4581,53.0211,53.3462,0.1133,0
5,0,50.4581,53.0211,55.7965,0.1677,0
6,1,53.5366,55.7915,56.1017,0.1698,0
6,0,53.5366,55.7915,58.4343,0.0438,0
7,1,56.1643,58.4295,58.7967,0.1768,0
7,0,56.1643,58.4295,61.0812,0.0626,0
8,1,58.9108,61.1905,61.5708,0.1927,0
8,0,58.9108,61.1905,63.7014,0.0450,0
9,1,61.6400,63.7219,64.3241,0.3398,0
9,0,61.6400,63.7219,66.3728,0.2882,0
10,1,64.6328,67.3419,67.8287,0.3220,0
10,0,64.6328,67.3419,69.8543,0.1283,0
11,1,67.9780,70.5873,70.9298,0.1795,0
11,0,67.9780,70.5873,72.8559,0.0381,0
12,1,70.9859,73.0623,73.3566,0.0876,0
12,0,70.9859,73.0623,75.2262,0.1815,0
13,1,73.5635,75.6454,75.8869,0.0854,0
13,0,73.5635,75.6454,77.7397,0.0426,0
14,1,75.9488,78.0849,78.6005,0.3484,0
14,0,75.9488,78.0849,80.3418,0.2224,0
15,1,78.8844,81.0218,81.2864,0.0883,0
15,0,78.8844,81.0218,82.9657,0.0380,0
16,1,81.3440,83.6080,83.9775,0.2065,0
16,0,81.3440,83.6080,85.6145,0.0381,0
17,1,84.0334,86.1647,86.6174,0.2065,0
17,0,84.0334,86.1647,88.2340,0.2025,0
18,1,86.8427,89.0746,89.4502,0.1981,0
18,0,86.8427,89.0746,91.0137,0.0412,0
19,1,89.5125,91.7018,92.1737,0.2111,0
19,0,89.5125,91.7018,93.7259,0.0562,0
20,1,92.2598,94.3795,94.9209,0.3332,0
20,0,92.2598,94.3795,96.4291,0.0436,0
21,1,94.9883,97.0615,97.6783,0.3437,0
21,0,94.9883,97.0615,99.1447,0.0470,0
22,1,97.7450,100.7868,101.4181,0.3946,0
22,0,97.7450,100.7868,102.9155,0.0534,0
23,1,101.4941,104.1231,104.5136,0.1757,0
23,0,101.4941,104.1231,105.9988,0.0423,0
24,1,104.5782,106.6873,106.9962,0.0865,0
24,0,104.5782,106.6873,108.4843,0.1572,0
25,1,107.1793,109.3084,109.5680,0.0905,0
25,0,107.1793,109.3084,111.0018,0.2727,0
26,1,109.8642,111.9788,112.3045,0.0814,0
26,0,109.8642,111.9788,113.7331,0.1447,0
27,1,112.4734,114.8888,115.4415,0.3808,0
27,0,112.4734,114.8888,116.8452,0.0467,0
28,1,115.5086,117.5956,117.8757,0.0876,0
28,0,115.5086,117.5956,119.2909,0.2769,0
29,1,118.1757,120.9312,121.3857,0.1144,0
29,0,118.1757,120.9312,122.7901,0.0447,0
30,1,121.4501,123.5442,123.8708,0.0779,0
30,0,121.4501,123.5442,125.2579,0.1475,0
31,1,124.0412,126.1215,126.3904,0.0827,0
31,0,124.0412,126.1215,127.7498,0.1987,0
32,1,126.6078,128.6883,128.9505,0.0867,0
32,0,126.6078,128.6883,130.3135,0.2223,0
33,1,129.2029,131.2792,131.5176,0.0776,0
33,0,129.2029,131.2792,132.8363,0.1780,0
34,1,131.7248,134.1571,134.4013,0.0783,0
34,0,131.7248,134.1571,135.7254,0.1755,0
35,1,134.5982,137.3810,137.7344,0.1753,0
35,0,134.5982,137.3810,139.1236,0.0425,0
36,1,137.7989,139.8912,140.2288,0.0787,0
36,0,137.7989,139.8912,141.5850,0.1391,0
37,1,140.3922,142.4771,142.7313,0.0866,0
37,0,140.3922,142.4771,144.0518,0.3076,0
38,1,143.0699,145.2340,145.4978,0.0899,0
38,0,143.0699,145.2340,146.8119,0.1733,0
39,1,145.6943,147.8116,148.0637,0.0887,0
39,0,145.6943,147.8116,149.3715,0.0425,0
40,1,148.1251,150.4474,150.7038,0.0641,0
40,0,148.1251,150.4474,152.0233,0.0403,0
41,1,150.7702,152.9183,153.3406,0.2153,0
41,0,150.7702,152.9183,154.6627,0.1423,0
42,1,153.5063,155.6195,156.0254,0.2207,0
42,0,153.5063,155.6195,157.3111,0.0426,0
43,1,156.0878,158.1737,158.8224,0.3377,0
43,0,156.0878,158.1737,160.1272,0.0462,0
44,1,158.8916,160.9839,161.5022,0.3382,0
44,0,158.8916,160.9839,162.7926,0.0369,0
45,1,161.5604,163.6385,164.1525,0.3444,0
45,0,161.5604,163.6385,165.3946,0.0881,0
46,1,164.2589,167.2811,167.6643,0.1152,0
46,0,164.2589,167.2811,168.9740,0.0471,0
47,1,167.7323,169.8116,170.3019,0.2797,0
47,0,167.7323,169.8116,171.5966,0.1427,0
48,1,170.4671,172.6686,173.2044,0.3231,0
48,0,170.4671,172.6686,174.4971,0.2470,0
49,1,173.4761,175.5570,175.9342,0.2187,0
49,0,173.4761,175.5570,177.2279,0.1757,0
