frame,interpolated,sample_ms,ready_ms,present_ms,gpu_wait_ms,caught_up
0,0,4.3743,6.9919,10.8717,2.8023,0
1,0,9.8888,11.4133,11.8632,0.1771,0
2,0,11.6505,12.6146,12.9383,0.1142,0
3,0,12.7735,13.4949,13.7823,0.1106,0
4,0,13.6362,14.3345,14.9973,0.4013,0
5,0,14.7785,15.7344,16.0490,0.1120,0
6,0,15.8827,16.6115,16.9094,0.1145,0
7,0,16.7573,17.7752,18.0794,0.1136,0
8,0,17.9234,18.6302,18.9254,0.1135,0
9,0,18.7740,19.6840,20.3731,0.3794,0
10,0,20.1217,21.0104,21.3158,0.1114,0
11,0,21.1566,21.8811,22.2713,0.1570,0
12,0,22.0752,22.8642,23.6843,0.4039,0
13,0,23.3339,24.2716,24.5845,0.1111,0
14,0,24.4168,25.1523,25.4759,0.1142,0
15,0,25.3152,26.0936,26.5004,0.2006,0
16,0,26.3360,27.0671,27.3610,0.1127,0
17,0,27.2150,27.9329,28.4423,0.2760,0
18,0,28.2424,28.9938,29.3059,0.1162,0
19,0,29.1443,29.8692,30.1692,0.1168,0
20,0,30.0183,30.7876,31.0827,0.1201,0
21,0,30.9384,31.7040,32.0794,0.1851,0
22,0,31.9251,32.6316,32.9234,0.1126,0
23,0,32.7736,33.4681,34.0511,0.3461,0
24,0,33.8454,34.6242,34.9326,0.1100,0
25,0,34.7706,35.5005,35.7971,0.1157,0
26,0,35.6470,36.5716,37.1729,0.3950,0
27,0,37.0044,37.7335,38.0186,0.1131,0
28,0,37.8775,38.5725,38.9208,0.1601,0
29,0,38.7636,39.4731,40.1184,0.3923,0
30,0,39.9120,40.6878,41.0058,0.1092,0
31,0,40.8363,41.5633,41.8645,0.1119,0
32,0,41.7090,42.5227,42.8841,0.1785,0
33,0,42.7345,43.4375,43.7229,0.1136,0
34,0,43.5810,44.2825,44.5800,0.1180,0
35,0,44.4333,45.2992,45.6664,0.1730,0
36,0,45.5149,46.2260,46.5392,0.1115,0
37,0,46.3696,47.0886,47.4042,0.1107,0
38,0,47.2306,48.0584,48.4414,0.1716,0
39,0,48.2829,49.0419,49.3417,0.1112,0
40,0,49.1875,49.9159,50.1963,0.1054,0
41,0,50.0506,50.9007,51.2714,0.1827,0
42,0,51.1171,51.8248,52.1186,0.1126,0
43,0,51.9689,52.6724,53.1358,0.2692,0
44,0,52.9820,53.9149,54.3044,0.1730,0
45,0,54.1368,54.8976,55.2043,0.1127,0
46,0,55.0471,55.7855,56.4750,0.4014,0
47,0,56.2483,57.4956,57.8043,0.1097,0
48,0,57.6425,58.3727,58.7333,0.1124,0
49,0,58.5332,59.4160,59.8053,0.1743,0
50,0,59.6378,60.3918,60.6863,0.1093,0
51,0,60.5363,61.2394,61.7353,0.2990,0
52,0,61.5960,62.3637,62.6810,0.1144,0
53,0,62.5188,63.2438,63.5529,0.1153,0
54,0,63.3965,64.1380,64.8327,0.3852,0
55,0,64.5850,65.4471,65.7480,0.1071,0
56,0,65.5890,66.3136,66.6019,0.1021,0
57,0,66.4527,67.1968,67.7108,0.3311,0
58,0,67.5677,68.3027,68.5934,0.1111,0
59,0,68.4488,69.1647,69.5704,0.1190,0
60,0,69.3129,70.1403,70.6963,0.3279,0
61,0,70.5062,71.2839,71.5920,0.1124,0
62,0,71.4316,72.1671,72.4847,0.1136,0
63,0,72.3176,73.1069,73.5008,0.1829,0
64,0,73.3339,74.1075,74.4227,0.1128,0
65,0,74.2575,74.9877,75.3255,0.1144,0
66,0,75.1731,76.0621,76.4020,0.1144,0
67,0,76.2324,77.0047,77.3253,0.1136,0
68,0,77.1650,78.0985,78.7297,0.3823,0
69,0,78.5588,79.3124,79.6370,0.1101,0
70,0,79.4734,80.3601,80.7421,0.1125,0
71,0,80.5249,81.4208,81.7865,0.1649,0
72,0,81.6233,82.3559,82.6479,0.1129,0
73,0,82.5012,83.2129,83.7946,0.1190,0
74,0,83.3948,84.3870,84.7166,0.1197,0
75,0,84.5488,85.2840,85.5962,0.1142,0
76,0,85.4328,86.3547,86.9252,0.3783,0
77,0,86.7916,87.5790,87.8900,0.1127,0
78,0,87.7262,88.4522,88.8517,0.1050,0
79,0,88.5990,89.4835,90.1076,0.3954,0
80,0,89.9431,90.9837,91.5713,0.1357,0
81,0,91.1551,92.2777,92.9081,0.1270,0
82,0,92.7204,93.4779,93.7859,0.1147,0
83,0,93.6251,94.3475,94.6409,0.1145,0
84,0,94.4916,95.2103,95.7537,0.3148,0
85,0,95.5855,96.3340,96.6348,0.1118,0
86,0,96.4837,97.2040,97.4837,0.1071,0
87,0,97.3416,98.1985,98.5705,0.1831,0
88,0,98.4197,99.1319,99.4145,0.1127,0
89,0,99.2746,99.9744,100.2547,0.1047,0
90,0,100.1087,100.9590,101.3282,0.1819,0
91,0,101.1782,101.8809,102.2432,0.1128,0
92,0,102.0484,103.0359,103.6113,0.3568,0
93,0,103.4513,104.2415,104.6295,0.1127,0
94,0,104.3908,105.2091,105.5684,0.1667,0
95,0,105.4104,106.1275,106.6398,0.3162,0
96,0,106.4847,107.2183,107.5190,0.1125,0
97,0,107.3625,108.0807,108.4167,0.1129,0
98,0,108.2331,109.1230,109.5094,0.1892,0
99,0,109.3503,110.0654,110.3950,0.1139,0
100,0,110.2304,110.9978,111.3071,0.1121,0
101,0,111.1614,111.9824,112.3694,0.1815,0
102,0,112.2022,112.9358,113.2286,0.1144,0
103,0,113.0802,113.7835,114.0673,0.1123,0
104,0,113.9251,114.7423,115.1123,0.1788,0
105,0,114.9583,115.6692,115.9755,0.1122,0
106,0,115.8787,116.5459,116.8597,0.1110,0
107,0,116.6912,117.5741,117.9515,0.1864,0
108,0,117.7981,118.5058,118.8005,0.1156,0
109,0,118.6512,119.5475,120.1221,0.1156,0
110,0,119.7031,120.6522,121.0366,0.1820,0
111,0,120.8720,121.6038,121.8991,0.1145,0
112,0,121.7489,122.4564,122.9431,0.2876,0
113,0,122.7855,123.6624,124.1419,0.2916,0
114,0,123.9877,124.7014,125.0704,0.1212,0
115,0,124.8571,125.6701,126.3011,0.3820,0
116,0,126.0934,126.8608,127.1862,0.1180,0
117,0,127.0110,127.7467,128.0463,0.1156,0
118,0,127.8992,128.6033,129.1088,0.3186,0
119,0,128.9579,129.6799,129.9810,0.1122,0
120,0,129.8271,130.5380,130.8283,0.1119,0
121,0,130.6840,131.5034,131.8723,0.1871,0
122,0,131.7219,132.4374,132.7286,0.1113,0
123,0,132.5795,133.2797,133.5681,0.1164,0
124,0,133.4247,134.1204,134.6593,0.3581,0
125,0,134.5115,135.2326,135.5535,0.1189,0
126,0,135.3881,136.3251,136.9771,0.3636,0
127,0,136.7657,137.5764,137.8887,0.1116,0
128,0,137.7247,138.4605,138.7547,0.1080,0
129,0,138.5988,139.3147,139.9852,0.3915,0
130,0,139.7621,140.5647,140.8704,0.1124,0
131,0,140.7108,141.4419,141.7268,0.1052,0
132,0,141.5784,142.2823,142.7656,0.2957,0
133,0,142.6352,143.4174,143.7506,0.1143,0
134,0,143.5719,144.3185,144.6382,0.1112,0
135,0,144.4673,145.3140,145.7142,0.1866,0
136,0,145.5386,146.2648,146.5571,0.1110,0
137,0,146.4057,147.1104,147.4360,0.1146,0
138,0,147.2639,148.1101,148.5088,0.1765,0
139,0,148.3319,149.0713,149.3753,0.1117,0
140,0,149.2220,149.9616,150.2505,0.1090,0
141,0,150.1015,150.8026,151.5072,0.3694,0
142,0,151.2095,152.0878,152.4010,0.1167,0
143,0,152.2388,153.2236,153.7803,0.3143,0
144,0,153.5732,154.3522,154.6689,0.1134,0
145,0,154.6337,155.3982,155.6842,0.1126,0
146,0,155.5656,156.4046,156.8942,0.2989,0
147,0,156.7399,157.5002,157.7892,0.1129,0
148,0,157.6458,158.3496,158.6287,0.1060,0
149,0,158.4848,159.3537,159.7376,0.2024,0
150,0,159.5931,160.3078,160.6071,0.1137,0
151,0,160.4564,161.1628,161.4455,0.1138,0
152,0,161.3058,162.1348,162.5518,0.1752,0
153,0,162.3490,163.1827,163.5188,0.1161,0
154,0,163.3381,164.1184,164.6622,0.3039,0
155,0,164.4744,165.2544,165.5705,0.1090,0
156,0,165.4214,166.2868,166.6983,0.1071,0
157,0,166.4266,167.2645,167.7708,0.3136,0
158,0,167.6161,168.3355,168.6214,0.1125,0
159,0,168.4782,169.1775,169.4563,0.1021,0
160,0,169.3383,170.1135,170.6452,0.3024,0
161,0,170.4706,171.2179,171.5201,0.1070,0
162,0,171.3592,172.0789,172.3674,0.1131,0
163,0,172.2220,172.9215,173.4186,0.3222,0
164,0,173.2730,173.9771,174.2572,0.1122,0
165,0,174.1177,174.8096,175.1105,0.1030,0
166,0,174.9493,175.6788,176.1960,0.3176,0
167,0,176.0375,176.7539,177.0403,0.1133,0
168,0,176.8969,177.6056,177.8847,0.1113,0
169,0,177.7460,178.4427,178.9579,0.3065,0
170,0,178.8039,179.6359,179.9504,0.1122,0
171,0,179.7856,180.5096,180.8057,0.1133,0
172,0,180.6533,181.5024,181.8717,0.1845,0
173,0,181.7207,182.4232,182.7267,0.1124,0
174,0,182.5705,183.3065,183.5901,0.1130,0
175,0,183.4486,184.1412,184.7231,0.3204,0
176,0,184.4950,185.2899,185.6093,0.1086,0
177,0,185.4445,186.3929,186.9286,0.2752,0
178,0,186.7397,187.5438,187.8715,0.1126,0
179,0,187.6949,188.4418,188.7590,0.1112,0
180,0,188.5847,189.3233,190.0239,0.3841,0
181,0,189.7652,190.7128,191.0348,0.1165,0
182,0,190.8664,191.6060,191.9281,0.1134,0
183,0,191.7560,192.5003,193.1045,0.3180,0
184,0,192.8750,193.6727,193.9871,0.1123,0
185,0,193.8216,194.5512,194.8575,0.1136,0
186,0,194.7059,195.4629,195.8435,0.1862,0
187,0,195.6838,196.4198,196.7099,0.1132,0
188,0,196.5660,197.2685,197.5853,0.1105,0
189,0,197.4123,198.2142,198.7352,0.2954,0
190,0,198.5470,199.2944,199.6180,0.1125,0
191,0,199.4575,200.3984,201.0173,0.3159,0
192,0,200.7542,201.6117,201.9452,0.1091,0
193,0,201.7622,202.5322,202.8947,0.1072,0
194,0,202.7109,203.6836,204.0666,0.1867,0
195,0,203.9112,204.6441,204.9361,0.1065,0
196,0,204.7804,205.5153,205.8412,0.1064,0
197,0,205.6657,206.4390,206.9796,0.2890,0
198,0,206.8040,207.5495,207.8565,0.1108,0
199,0,207.6964,208.4279,208.7113,0.1058,0
200,0,208.5649,209.3391,209.7411,0.1929,0
201,0,209.5747,210.3627,210.7132,0.1114,0
202,0,210.5433,211.4971,211.9920,0.2979,0
203,0,211.8330,212.5620,212.8621,0.1109,0
204,0,212.7572,213.4378,213.7656,0.1114,0
205,0,213.5888,214.3351,214.9206,0.3491,0
206,0,214.7266,215.4910,215.8041,0.1126,0
207,0,215.6408,216.3778,216.6708,0.1157,0
208,0,216.5246,217.2341,217.7624,0.3284,0
209,0,217.5987,218.3203,218.6045,0.1117,0
210,0,218.4618,219.1628,219.5160,0.1127,0
211,0,219.3360,220.3194,220.6726,0.1490,0
212,0,220.5096,221.2409,221.5232,0.1058,0
213,0,221.3777,222.0807,222.3617,0.1116,0
214,0,222.2215,223.0466,223.4353,0.1750,0
215,0,223.2620,224.0110,224.5142,0.2966,0
216,0,224.3404,225.0714,225.4614,0.1103,0
217,0,225.2356,226.0748,226.4692,0.1922,0
218,0,226.3011,227.0347,227.3167,0.1138,0
219,0,227.1776,227.8693,228.3353,0.2856,0
220,0,228.1837,228.9035,229.2109,0.1150,0
221,0,229.0570,229.7742,230.0676,0.1105,0
222,0,229.9201,230.6210,230.9187,0.1131,0
223,0,230.7665,231.5109,231.8767,0.1845,0
224,0,231.7286,232.4382,232.7218,0.1130,0
225,0,232.5810,233.2779,233.5517,0.1125,0
226,0,233.4186,234.1106,234.7017,0.3301,0
227,0,234.4771,235.2928,235.5971,0.1144,0
228,0,235.4416,236.3580,236.8681,0.2920,0
229,0,236.6819,237.4321,237.7294,0.1114,0
230,0,237.5777,238.2851,238.5730,0.1148,0
231,0,238.4287,239.1228,239.7049,0.3033,0
232,0,239.4672,240.3185,240.6436,0.1072,0
233,0,240.4657,241.2102,241.5648,0.1122,0
234,0,241.3549,242.1217,242.7378,0.4075,0
235,0,242.5651,243.3033,243.5902,0.1122,0
236,0,243.4460,244.1510,244.4752,0.1278,0
237,0,244.3110,245.0525,245.5949,0.3230,0
238,0,245.4147,246.3002,246.6318,0.1542,0
239,0,246.4858,247.1921,247.5825,0.1515,0
240,0,247.3946,248.2874,248.6162,0.1158,0
241,0,248.4486,249.2079,249.5151,0.1107,0
242,0,249.3550,250.0968,250.3967,0.1149,0
