frame,interpolated,sample_ms,ready_ms,present_ms,gpu_wait_ms,caught_up
0,0,10.4686,21.9409,23.2028,0.6251,0
1,1,22.6220,29.6665,32.2146,1.8671,0
1,0,22.6220,29.6665,33.2548,0.9444,0
2,1,33.8080,41.4495,45.6909,2.2952,0
2,0,33.8080,41.4495,48.1759,2.3688,0
3,1,48.2362,56.1881,56.6243,0.3733,0
3,0,48.2362,56.1881,57.1620,0.4505,0
4,1,57.1423,63.3117,65.0005,1.6044,0
4,0,57.1423,63.3117,65.2967,0.2694,0
5,1,65.3536,71.1667,72.8266,1.4977,0
5,0,65.3536,71.1667,73.1326,0.2711,0
6,1,73.1916,79.2122,81.6526,2.3667,0
6,0,73.1916,79.2122,82.0063,0.2705,0
7,1,82.0662,87.9120,88.3173,0.3248,0
7,0,82.0662,87.9120,88.8148,0.3008,0
8,1,88.6817,94.9009,95.2102,0.2593,0
8,0,88.6817,94.9009,95.4231,0.1917,0
9,1,95.4486,101.1846,102.8697,1.6235,0
9,0,95.4486,101.1846,103.0962,0.1967,0
10,1,103.1307,108.7114,110.3948,1.6240,0
10,0,103.1307,108.7114,110.6402,0.2146,0
11,1,110.6632,116.4293,116.7358,0.2563,0
11,0,110.6632,116.4293,116.9414,0.1786,0
12,1,116.9565,122.6255,124.3102,1.6276,0
12,0,116.9565,122.6255,124.5338,0.2002,0
13,1,124.5651,130.2229,132.0450,1.7758,0
13,0,124.5651,130.2229,132.2922,0.2235,0
14,1,132.3153,138.0849,138.4211,0.2890,0
14,0,132.3153,138.0849,140.1916,1.7392,0
15,1,140.2159,145.8742,146.1694,0.2424,0
15,0,140.2159,145.8742,146.3643,0.1738,0
16,1,146.3855,151.9754,153.6644,1.6291,0
16,0,146.3855,151.9754,153.8860,0.1975,0
17,1,153.9135,159.6851,161.3633,1.6309,0
17,0,153.9135,159.6851,161.5651,0.1804,0
18,1,161.5848,167.2748,167.5778,0.2550,0
18,0,161.5848,167.2748,167.7732,0.1739,0
19,1,167.7933,174.6410,174.9890,0.2896,0
19,0,167.7933,174.6410,175.2028,0.1856,0
20,1,175.2457,181.2435,182.9120,1.6152,0
20,0,175.2457,181.2435,183.1249,0.1882,0
21,1,183.1399,188.7622,190.4416,1.6364,0
21,0,183.1399,188.7622,190.6430,0.1804,0
22,1,190.6755,196.3088,196.6065,0.2290,0
22,0,190.6755,196.3088,196.8223,0.1959,0
23,1,196.8454,202.4468,204.0968,1.6019,0
23,0,196.8454,202.4468,204.3348,0.2091,0
24,1,204.3674,210.0464,211.7528,1.6178,0
24,0,204.3674,210.0464,212.0804,0.2935,0
25,1,212.1182,217.8723,218.1660,0.2411,0
25,0,212.1182,217.8723,218.6318,0.1844,0
26,1,218.3966,224.6508,224.9671,0.2560,0
26,0,218.3966,224.6508,225.1623,0.1698,0
27,1,225.1914,230.8189,232.4949,1.6189,0
27,0,225.1914,230.8189,232.7074,0.1825,0
28,1,232.7193,238.3507,240.0525,1.6444,0
28,0,232.7193,238.3507,240.2805,0.2003,0
29,1,240.3063,245.9825,246.2777,0.2436,0
29,0,240.3063,245.9825,246.4925,0.1875,0
30,1,246.5092,252.1646,253.8243,1.6028,0
30,0,246.5092,252.1646,254.0375,0.1869,0
31,1,254.0693,259.9571,261.6132,1.6006,0
31,0,254.0693,259.9571,261.8250,0.1846,0
32,1,261.8410,267.5181,267.8094,0.2354,0
32,0,261.8410,267.5181,268.5962,0.1702,0
33,1,268.0214,274.6332,274.9248,0.2399,0
33,0,268.0214,274.6332,275.1286,0.1810,0
34,1,275.1637,280.8147,282.4829,1.6195,0
34,0,275.1637,280.8147,282.6845,0.1783,0
35,1,282.7046,288.3059,290.1775,1.7761,0
35,0,282.7046,288.3059,290.4801,0.2691,0
36,1,290.5273,296.5294,296.8488,0.2640,0
36,0,290.5273,296.5294,297.0601,0.1886,0
37,1,297.0814,302.7629,304.4413,1.6301,0
37,0,297.0814,302.7629,304.6426,0.1815,0
38,1,304.6757,310.3203,311.9924,1.6231,0
38,0,304.6757,310.3203,312.1857,0.1746,0
39,1,312.2066,317.8799,318.1808,0.2370,0
39,0,312.2066,317.8799,318.6114,0.1854,0
40,1,318.4119,324.6616,324.9872,0.2642,0
40,0,318.4119,324.6616,325.1960,0.1857,0
41,1,325.2244,331.1294,332.7895,1.6115,0
41,0,325.2244,331.1294,333.0146,0.2023,0
42,1,333.0403,338.6989,340.3630,1.6193,0
42,0,333.0403,338.6989,340.5775,0.1926,0
43,1,340.6105,346.2919,346.5400,0.2122,0
43,0,340.6105,346.2919,346.7350,0.1753,0
44,1,346.7527,352.3090,353.9573,1.5945,0
44,0,346.7527,352.3090,354.1923,0.2100,0
45,1,354.2207,359.9624,361.6139,1.6032,0
45,0,354.2207,359.9624,361.8576,0.2178,0
46,1,361.8780,367.5842,367.8186,0.1977,0
46,0,361.8780,367.5842,368.7077,0.1760,0
47,1,368.0322,374.7670,375.0687,0.2523,0
47,0,368.0322,374.7670,375.2729,0.1835,0
48,1,375.3058,380.9791,382.6490,1.6229,0
48,0,375.3058,380.9791,382.8656,0.1953,0
49,1,382.8862,388.5733,390.2260,1.6077,0
49,0,382.8862,388.5733,390.4354,0.1863,0
50,1,390.4642,396.0926,396.3660,0.2318,0
50,0,390.4642,396.0926,396.5579,0.1721,0
51,1,396.5770,402.1526,403.8258,1.6139,0
51,0,396.5770,402.1526,404.5522,0.6873,0
52,1,404.5822,410.4707,412.1395,1.6135,0
52,0,404.5822,410.4707,412.3703,0.2031,0
53,1,412.3900,418.0085,418.3341,0.2715,0
53,0,412.3900,418.0085,420.0184,1.6551,0
54,1,420.0459,425.6594,425.9413,0.2327,0
54,0,420.0459,425.6594,426.1373,0.1743,0
55,1,426.1557,431.7194,433.3856,1.6098,0
55,0,426.1557,431.7194,433.6054,0.1962,0
56,1,433.6508,439.4056,441.0551,1.6022,0
56,0,433.6508,439.4056,441.2543,0.1767,0
57,1,441.2829,447.0423,447.3429,0.2307,0
57,0,441.2829,447.0423,447.5707,0.1978,0
58,1,447.5852,454.7180,455.0383,0.2654,0
58,0,447.5852,454.7180,455.2269,0.1674,0
59,1,455.2591,461.1059,462.7656,1.6016,0
59,0,455.2591,461.1059,462.9806,0.1917,0
60,1,463.0078,468.7056,470.3732,1.6255,0
60,0,463.0078,468.7056,470.6010,0.2039,0
61,1,470.6307,476.2880,476.5788,0.2473,0
61,0,470.6307,476.2880,476.7826,0.1822,0
62,1,476.8009,482.3906,484.0417,1.5998,0
62,0,476.8009,482.3906,484.2543,0.1917,0
63,1,484.3097,489.9591,491.6246,1.6109,0
63,0,484.3097,489.9591,491.8801,0.2262,0
64,1,491.9023,497.6459,497.9170,0.2247,0
64,0,491.9023,497.6459,498.6666,0.1661,0
65,1,498.1250,504.7216,504.9942,0.2291,0
65,0,498.1250,504.7216,505.1960,0.1781,0
66,1,505.2261,510.8863,512.5515,1.6037,0
66,0,505.2261,510.8863,512.7991,0.2193,0
67,1,512.9584,518.7033,520.3598,1.6103,0
67,0,512.9584,518.7033,520.5572,0.1732,0
68,1,520.5940,526.3038,526.7267,0.3416,0
68,0,520.5940,526.3038,526.9934,0.2303,0
69,1,527.0226,532.9934,534.6579,1.5975,0
69,0,527.0226,532.9934,534.9653,0.2720,0
70,1,535.0054,540.9561,542.6427,1.5923,0
70,0,535.0054,540.9561,542.9493,0.2719,0
71,1,542.9746,548.6659,550.3219,1.6012,0
71,0,542.9746,548.6659,550.6252,0.2598,0
72,1,550.6574,556.4234,556.7278,0.2475,0
72,0,550.6574,556.4234,556.9410,0.1830,0
73,1,556.9571,562.7821,564.4513,1.6115,0
73,0,556.9571,562.7821,564.6751,0.1975,0
74,1,564.7086,570.4466,572.1118,1.6071,0
74,0,564.7086,570.4466,572.3466,0.1956,0
75,1,572.3635,578.0986,578.4680,0.3060,0
75,0,572.3635,578.0986,580.1598,1.6477,0
76,1,580.2329,586.0764,586.4030,0.2755,0
76,0,580.2329,586.0764,586.6691,0.2242,0
77,1,586.6791,592.4412,594.0936,1.6014,0
77,0,586.6791,592.4412,594.3077,0.1900,0
78,1,594.3973,600.2192,602.0975,1.8235,0
78,0,594.3973,600.2192,602.3197,0.1988,0
79,1,602.3603,608.1624,608.4917,0.2722,0
79,0,602.3603,608.1624,610.1647,1.6409,0
80,1,610.1900,616.0123,616.4359,0.3398,0
80,0,610.1900,616.0123,616.6452,0.1804,0
81,1,616.6773,622.3804,624.0279,1.5977,0
81,0,616.6773,622.3804,624.2312,0.1825,0
82,1,624.2650,629.8601,631.5180,1.6089,0
82,0,624.2650,629.8601,631.7169,0.1752,0
83,1,631.7358,637.3810,637.8071,0.3509,0
83,0,631.7358,637.3810,638.7178,0.1930,0
84,1,638.0515,644.7430,645.0387,0.2493,0
84,0,638.0515,644.7430,645.2308,0.1712,0
85,1,645.2662,650.9273,652.5789,1.6097,0
85,0,645.2662,650.9273,652.7872,0.1830,0
86,1,652.8187,658.4138,660.0627,1.5952,0
86,0,652.8187,658.4138,660.2629,0.1812,0
87,1,660.2984,665.9032,666.1859,0.2345,0
87,0,660.2984,665.9032,666.3892,0.1763,0
88,1,666.4096,672.0060,673.6670,1.6066,0
88,0,666.4096,672.0060,673.8786,0.1895,0
89,1,673.9168,680.3706,682.0371,1.6134,0
89,0,673.9168,680.3706,682.2398,0.1800,0
90,1,682.2633,687.8950,688.1700,0.2289,0
90,0,682.2633,687.8950,688.6519,0.1805,0
91,1,688.3932,694.6900,694.9269,0.1995,0
91,0,688.3932,694.6900,695.1192,0.1710,0
92,1,695.1512,700.8112,702.4614,1.6100,0
92,0,695.1512,700.8112,702.6663,0.1840,0
93,1,702.6901,708.3038,709.9639,1.6203,0
93,0,702.6901,708.3038,710.1685,0.1850,0
94,1,710.1993,715.8588,716.0741,0.1814,0
94,0,710.1993,715.8588,716.2627,0.1691,0
95,1,716.2785,721.7883,723.4480,1.6198,0
95,0,716.2785,721.7883,723.6571,0.1857,0
96,1,723.6896,729.2979,730.9567,1.6239,0
96,0,723.6896,729.2979,731.1542,0.1782,0
97,1,731.1783,736.8068,737.1956,0.3230,0
97,0,731.1783,736.8068,737.3994,0.1804,0
98,1,737.4365,744.8162,745.1159,0.2543,0
98,0,737.4365,744.8162,745.3315,0.1884,0
99,1,745.3676,751.0410,752.7045,1.5920,0
99,0,745.3676,751.0410,752.9894,0.2551,0
100,1,753.0212,758.8879,760.5446,1.5950,0
100,0,753.0212,758.8879,760.8122,0.2402,0
101,1,760.9245,766.7386,767.0473,0.2593,0
101,0,760.9245,766.7386,767.2418,0.1695,0
102,1,767.2671,773.0629,774.7147,1.6011,0
102,0,767.2671,773.0629,774.9499,0.2062,0
103,1,774.9804,780.7523,782.3981,1.5838,0
103,0,774.9804,780.7523,782.6732,0.2454,0
104,1,782.7062,788.5316,790.1893,1.6109,0
104,0,782.7062,788.5316,790.4129,0.2008,0
105,1,790.4471,796.1714,796.5876,0.3518,0
105,0,790.4471,796.1714,796.8506,0.2298,0
106,1,796.8706,802.9562,804.6116,1.5803,0
106,0,796.8706,802.9562,804.8814,0.2422,0
107,1,804.9107,810.6459,812.2963,1.5998,0
107,0,804.9107,810.6459,812.5286,0.2085,0
108,1,812.5520,818.2438,818.5617,0.2640,0
108,0,812.5520,818.2438,820.2069,1.5995,0
109,1,820.2323,826.2171,826.5782,0.3002,0
109,0,820.2323,826.2171,826.7954,0.1919,0
110,1,826.8213,832.7021,834.3670,1.6122,0
110,0,826.8213,832.7021,834.5705,0.1826,0
111,1,834.6106,840.4563,842.1080,1.6016,0
111,0,834.6106,840.4563,842.3194,0.1910,0
112,1,842.3990,848.2199,848.5275,0.2538,0
112,0,842.3990,848.2199,850.1452,1.5914,0
113,1,850.2085,856.0681,856.4143,0.2989,0
113,0,850.2085,856.0681,856.6212,0.1852,0
114,1,856.6513,862.4995,863.9586,1.4122,0
114,0,856.6513,862.4995,864.1832,0.2019,0
115,1,864.2200,869.9965,871.4520,1.4156,0
115,0,864.2200,869.9965,871.6402,0.1671,0
116,1,871.6582,877.2288,877.4461,0.1883,0
116,0,871.6582,877.2288,877.6238,0.1585,0
117,1,877.6341,884.3566,884.5830,0.1931,0
117,0,877.6341,884.3566,884.7738,0.1705,0
118,1,884.7924,890.2825,891.7409,1.4294,0
118,0,884.7924,890.2825,891.9323,0.1716,0
119,1,891.9415,897.4310,897.6448,0.1845,0
119,0,891.9415,897.4310,897.8251,0.1609,0
120,1,897.8321,904.3334,904.5734,0.2026,0
120,0,897.8321,904.3334,904.7664,0.1732,0
121,1,904.7921,910.2920,911.7391,1.4153,0
121,0,904.7921,910.2920,911.9391,0.1790,0
122,1,911.9486,917.3954,917.6002,0.1767,0
122,0,911.9486,917.3954,917.7801,0.1608,0
123,1,917.7855,924.2234,924.4381,0.1812,0
123,0,917.7855,924.2234,924.6284,0.1702,0
124,1,924.6517,929.9585,931.4200,1.4270,0
124,0,924.6517,929.9585,931.6176,0.1773,0
125,1,931.6278,936.9399,937.1367,0.1684,0
125,0,931.6278,936.9399,937.3103,0.1548,0
126,1,937.3187,942.5512,944.0102,1.4243,0
