frame,interpolated,sample_ms,ready_ms,present_ms,gpu_wait_ms,caught_up
0,0,5.1768,15.0990,16.0558,0.4305,0
1,0,15.5730,21.0780,21.8530,0.6367,0
2,0,26.0333,32.5212,34.8332,2.1802,0
3,0,34.7807,41.0703,41.9102,0.5135,0
4,0,41.6615,48.6014,48.9381,0.2666,0
5,0,48.9671,54.8144,56.4992,1.6125,0
6,0,56.5175,62.9304,65.0651,2.0484,0
7,0,65.0979,70.4019,71.0121,0.5326,0
8,0,71.6061,81.3749,81.9776,0.4690,0
9,0,82.0003,89.2430,90.3534,0.3364,0
10,0,89.6450,95.8212,97.9743,2.0482,0
11,0,98.0042,104.3594,106.0434,1.6191,0
12,0,106.0586,111.9306,112.2854,0.3044,0
13,0,112.2924,119.0921,120.0697,0.9063,0
14,0,120.0998,126.6272,128.5362,1.8531,0
15,0,128.5452,134.2288,136.0130,1.7372,0
16,0,136.0298,141.8696,142.0855,0.1799,0
17,0,142.0951,149.1384,149.3617,0.1834,0
18,0,149.3781,154.7846,156.4580,1.6330,0
19,0,156.4669,162.3336,162.5738,0.2031,0
20,0,162.5824,168.8147,169.0341,0.1845,0
21,0,169.0519,174.2999,175.9621,1.6211,0
22,0,175.9716,181.8613,182.0719,0.1760,0
23,0,182.0809,188.7865,189.0004,0.1791,0
24,0,189.0179,194.0958,195.7637,1.6296,0
25,0,195.7722,201.6608,201.8823,0.1861,0
26,0,201.8926,208.8256,209.0453,0.1799,0
27,0,209.0604,213.9869,215.6622,1.6351,0
28,0,215.6707,221.5486,221.7711,0.1860,0
29,0,221.7811,228.7773,229.0159,0.1865,0
30,0,229.0111,234.8436,236.5129,1.6301,0
31,0,236.5278,242.4751,242.7122,0.1908,0
32,0,242.7204,248.8655,249.0841,0.1818,0
33,0,249.0945,254.9294,256.6004,1.6315,0
34,0,256.6188,262.5392,262.7539,0.1829,0
35,0,262.7611,268.9207,269.1337,0.1777,0
36,0,269.1418,274.9688,276.6136,1.6127,0
37,0,276.6287,282.5117,282.7317,0.1906,0
38,0,282.7372,288.9087,289.1241,0.1787,0
39,0,289.1341,294.9064,296.5739,1.6323,0
40,0,296.5879,302.4058,302.6195,0.1835,0
41,0,302.6235,308.8429,309.0541,0.1761,0
42,0,309.0622,314.8008,316.4659,1.6332,0
43,0,316.4801,322.2679,322.4780,0.1814,0
44,0,322.4861,328.8723,329.0835,0.1764,0
45,0,329.0920,334.8688,336.5223,1.6199,0
46,0,336.5360,342.3698,342.5803,0.1803,0
47,0,342.5852,348.8478,349.0587,0.1760,0
48,0,349.0671,354.8424,356.5056,1.6256,0
49,0,356.5194,362.4372,362.6523,0.1856,0
50,0,362.6600,368.8597,369.0716,0.1785,0
51,0,369.0799,374.9447,376.5999,1.6205,0
52,0,376.6123,382.4551,382.6696,0.1833,0
53,0,382.6763,388.8748,389.0934,0.1788,0
54,0,389.0972,394.9857,396.6376,1.6085,0
55,0,396.6594,402.5748,402.8231,0.2062,0
56,0,402.8306,408.9926,409.2187,0.1904,0
57,0,409.2247,415.0558,416.7360,1.6297,0
58,0,416.7556,422.2600,422.4729,0.1802,0
59,0,422.4816,428.9124,429.1243,0.1812,0
60,0,429.1281,434.8818,436.5470,1.6305,0
61,0,436.5640,441.9084,442.1149,0.1711,0
62,0,442.1196,448.9280,449.1403,0.1758,0
63,0,449.1590,454.9488,456.6004,1.6160,0
64,0,456.6094,461.7940,461.9950,0.1701,0
65,0,462.0043,468.8617,469.0728,0.1761,0
66,0,469.0891,474.8585,476.5219,1.6264,0
67,0,476.5294,481.5865,481.8016,0.1795,0
68,0,481.8105,488.9298,489.1429,0.1772,0
69,0,489.1614,495.0038,496.6610,1.6233,0
70,0,496.6649,502.4505,502.6727,0.1875,0
71,0,502.6835,508.8943,509.1047,0.1769,0
72,0,509.1813,514.8990,516.5577,1.6258,0
73,0,516.5730,522.5799,522.9143,0.2746,0
74,0,522.9233,529.3034,529.6562,0.2884,0
75,0,529.6824,535.6996,537.3493,1.5860,0
76,0,537.3576,543.3588,545.0193,1.6233,0
77,0,545.0342,551.2433,551.4497,0.1741,0
78,0,551.4547,556.9518,558.6190,1.6284,0
79,0,558.6381,564.4705,566.1336,1.6241,0
80,0,566.1431,572.0251,572.2290,0.1687,0
81,0,572.2390,578.9591,579.1749,0.1771,0
82,0,579.1962,585.0173,586.6775,1.6283,0
83,0,586.6820,592.6241,594.4418,1.7667,0
84,0,594.4601,599.8135,600.0247,0.1761,0
85,0,600.0331,605.9222,607.5785,1.6104,0
86,0,607.5938,613.6256,615.2934,1.6150,0
87,0,615.3040,620.9908,621.2198,0.1887,0
88,0,621.2257,627.0842,628.7972,1.6701,0
89,0,628.8112,634.7889,636.5272,1.6617,0
90,0,636.5147,642.5136,642.7706,0.2125,0
91,0,642.7797,649.0851,649.3070,0.1854,0
92,0,649.3232,655.1220,656.7953,1.6333,0
93,0,656.7993,662.7542,664.4478,1.6171,0
94,0,664.4338,670.4418,670.7466,0.2580,0
95,0,670.7550,676.5403,678.2288,1.6475,0
96,0,678.2439,684.1789,685.8557,1.6384,0
97,0,685.8630,691.8684,692.1155,0.2014,0
98,0,692.1270,699.2134,699.5272,0.2553,0
99,0,699.5500,705.4881,707.1630,1.6262,0
100,0,707.1705,713.4080,715.0678,1.6144,0
101,0,715.0900,720.7904,721.0170,0.1912,0
102,0,721.0249,727.1112,728.7805,1.6064,0
103,0,728.8049,734.9859,736.6350,1.6127,0
104,0,736.6393,741.9938,742.2079,0.1795,0
105,0,742.2173,749.0504,749.2680,0.1808,0
106,0,749.2863,755.2453,756.9066,1.6216,0
107,0,756.9152,762.1401,762.3596,0.1887,0
108,0,762.3632,769.0460,769.3050,0.1900,0
109,0,769.2891,775.2470,776.9213,1.6333,0
110,0,776.9421,783.0636,784.7252,1.6078,0
111,0,784.7336,790.8767,791.1564,0.2222,0
112,0,791.1706,797.1942,798.8599,1.6192,0
113,0,798.8754,804.9754,806.6483,1.6214,0
114,0,806.6589,812.8306,814.5377,1.6531,0
