frame,interpolated,sample_ms,ready_ms,present_ms,gpu_wait_ms,caught_up
0,0,5.6754,14.8164,23.7403,7.9358,0
1,0,22.7824,31.1794,31.7058,0.1560,0
2,0,31.3964,41.4806,43.4668,1.7276,0
3,0,43.2681,51.0938,51.9189,0.5797,0
4,0,51.7239,59.2125,59.6507,0.1955,0
5,0,59.4429,67.2333,68.2869,0.5948,0
6,0,67.8885,76.1461,78.5967,2.2176,0
7,0,78.4013,87.5045,88.3417,0.5976,0
8,0,88.1470,96.1712,96.5600,0.1759,0
9,0,96.4097,104.0263,104.8414,0.5991,0
10,0,104.6741,112.3683,112.8792,0.1690,0
11,0,112.5885,120.7353,121.1039,0.1395,0
12,0,120.9140,128.7375,129.0925,0.1197,0
13,0,128.8989,136.8433,137.3372,0.2693,0
14,0,137.1513,144.8930,145.2972,0.1773,0
15,0,145.1058,153.1075,153.4833,0.1657,0
16,0,153.3075,161.2536,161.6313,0.1288,0
17,0,161.4357,169.8468,170.3653,0.1356,0
18,0,170.0455,178.6848,179.2866,0.2615,0
19,0,179.0881,187.5565,188.1127,0.1150,0
20,0,187.8614,195.8175,196.1772,0.1128,0
21,0,195.9681,204.3613,204.8095,0.1615,0
22,0,204.5628,212.8361,213.1690,0.1227,0
23,0,212.9920,220.9119,221.2648,0.1170,0
24,0,221.0676,229.2433,229.6048,0.1141,0
25,0,229.3934,238.5457,238.9102,0.1285,0
26,0,238.7181,247.1090,247.4658,0.1155,0
27,0,247.2744,255.5965,255.9507,0.1196,0
28,0,255.7577,264.0756,264.4259,0.1134,0
29,0,264.2314,272.5153,272.8642,0.1149,0
30,0,272.6744,281.1182,281.4817,0.1170,0
31,0,281.2778,289.6803,290.0242,0.1128,0
32,0,289.8305,298.0065,298.3469,0.1148,0
33,0,298.1556,306.5517,306.9421,0.1644,0
34,0,306.7558,315.0662,315.5330,0.1709,0
35,0,315.2753,323.6393,323.9789,0.1117,0
36,0,323.7891,331.9807,332.3668,0.1272,0
37,0,332.1435,339.9521,340.3155,0.1280,0
38,0,340.1270,347.9859,348.3258,0.1132,0
39,0,348.1363,356.1386,356.4730,0.1187,0
40,0,356.2917,364.0140,364.3384,0.1136,0
41,0,364.1613,371.9877,372.3122,0.1191,0
42,0,372.1389,379.8228,380.1772,0.1173,0
43,0,379.9800,387.9603,388.3062,0.1200,0
44,0,388.1262,395.8354,396.1905,0.1162,0
45,0,395.9919,403.8778,404.2518,0.1199,0
46,0,404.0675,411.8070,412.1472,0.1156,0
47,0,411.9602,420.1106,420.5138,0.1172,0
48,0,420.2854,428.1921,428.5337,0.1152,0
49,0,428.3461,436.4091,436.7617,0.1219,0
50,0,436.5715,444.4272,444.7720,0.1157,0
51,0,444.5811,452.7813,453.1248,0.1203,0
52,0,452.9377,460.8304,461.1734,0.1212,0
53,0,460.9883,469.1055,469.4975,0.1704,0
54,0,469.3120,477.1940,477.6085,0.1696,0
55,0,477.3986,485.5029,485.8685,0.1215,0
56,0,485.6569,493.6745,494.0335,0.1202,0
57,0,493.8292,501.7205,502.0905,0.1235,0
58,0,501.8793,509.5720,509.9141,0.1181,0
59,0,510.2163,517.6443,518.0818,0.1218,0
60,0,517.8552,525.8261,526.1753,0.1129,0
61,0,525.9823,533.8380,534.1829,0.1215,0
62,0,533.9931,541.7051,542.0388,0.1124,0
63,0,541.8532,549.6576,549.9953,0.1124,0
64,0,549.8122,557.4987,557.8351,0.1133,0
65,0,557.6485,565.4209,565.7932,0.1252,0
66,0,565.5864,573.3310,573.6716,0.1244,0
67,0,573.4913,581.2167,581.5996,0.1249,0
68,0,581.3813,589.4346,589.8199,0.1191,0
69,0,589.5882,597.3125,597.6922,0.1228,0
70,0,597.4715,605.4030,605.7914,0.1676,0
71,0,605.6036,613.4558,613.8344,0.1299,0
72,0,613.6224,621.6480,622.0079,0.1182,0
73,0,621.8393,629.4217,629.9008,0.1181,0
74,0,629.6266,637.6400,638.1305,0.1079,0
75,0,637.8524,645.6538,646.0979,0.1168,0
76,0,645.8571,653.8350,654.2174,0.1629,0
77,0,654.0347,662.0084,662.3763,0.1501,0
78,0,662.1978,670.3161,670.7075,0.1367,0
79,0,670.5027,678.3170,678.6792,0.1221,0
80,0,678.4734,686.4496,686.8343,0.1219,0
81,0,686.6235,694.5445,694.9381,0.1232,0
82,0,694.7079,702.7309,703.1368,0.1649,0
83,0,702.9330,710.8957,711.2470,0.1203,0
84,0,711.0558,718.9478,719.2834,0.1154,0
85,0,719.0996,726.8587,727.2222,0.1225,0
86,0,727.0152,734.9779,735.3112,0.1093,0
87,0,735.1256,742.8021,743.1518,0.1170,0
88,0,742.9596,750.7890,751.1378,0.1153,0
89,0,750.9462,758.8441,759.1875,0.1158,0
90,0,758.9970,766.8697,767.2079,0.1133,0
91,0,767.0208,774.6638,775.0519,0.1522,0
92,0,774.8506,783.0737,783.4079,0.1126,0
93,0,783.2220,791.1040,791.4338,0.1184,0
94,0,791.2550,799.0130,799.5610,0.2678,0
95,0,799.3170,807.4148,807.7782,0.1227,0
96,0,807.5722,815.3713,815.8062,0.1229,0
97,0,815.5340,823.6152,823.9796,0.1245,0
98,0,823.7783,831.8289,832.1980,0.1225,0
99,0,831.9896,839.9294,840.2708,0.1114,0
100,0,840.0862,847.8794,848.2255,0.1156,0
101,0,848.1417,856.0959,856.4330,0.1133,0
102,0,856.2449,864.2997,864.6341,0.1172,0
103,0,864.4488,872.6551,872.9914,0.1153,0
104,0,872.8034,880.6339,880.9705,0.1155,0
105,0,880.7834,888.8978,889.2199,0.1035,0
106,0,889.0582,897.2219,897.5889,0.1206,0
107,0,897.3765,905.6925,906.0577,0.1229,0
108,0,905.8503,914.1084,914.4708,0.1204,0
109,0,914.2655,922.7803,923.1981,0.1233,0
110,0,922.9629,931.3735,931.8027,0.1834,0
111,0,931.5920,940.2206,940.5931,0.1235,0
112,0,940.3842,948.8519,949.2184,0.1086,0
113,0,949.0018,957.6503,957.9935,0.1164,0
114,0,957.8048,966.5162,966.8429,0.1120,0
115,0,966.6610,975.1721,975.5064,0.1171,0
116,0,975.3220,984.1187,984.4437,0.1108,0
117,0,984.2631,992.8051,993.1703,0.1241,0
118,0,992.9642,1001.8704,1002.2566,0.1336,0
119,0,1002.0702,1010.5919,1010.9320,0.1176,0
120,0,1011.1950,1019.5409,1019.9122,0.1116,0
121,0,1019.7398,1028.4852,1028.8849,0.1756,0
122,0,1028.6961,1037.9764,1038.3278,0.1158,0
123,0,1038.1374,1046.8448,1047.1718,0.1180,0
124,0,1046.9945,1055.8035,1056.1593,0.1188,0
125,0,1055.9559,1064.5899,1064.9704,0.1237,0
126,0,1064.7511,1073.7021,1074.0568,0.1189,0
127,0,1073.8552,1082.2510,1082.8040,0.3030,0
128,0,1082.5950,1090.7951,1091.1672,0.1140,0
129,0,1090.9537,1099.0032,1099.4368,0.2105,0
130,0,1099.2537,1107.1258,1107.5252,0.1184,0
131,0,1107.2811,1115.1773,1115.5245,0.1208,0
132,0,1115.3386,1123.0669,1123.4274,0.1163,0
133,0,1123.2175,1130.6921,1131.2089,0.1172,0
134,0,1130.8944,1138.7661,1139.2898,0.1119,0
135,0,1138.9733,1146.5200,1147.0391,0.1229,0
136,0,1146.7231,1154.5358,1154.9212,0.1615,0
137,0,1154.7325,1162.2686,1162.6716,0.1620,0
138,0,1162.4694,1170.0160,1170.3644,0.1196,0
139,0,1170.1763,1177.5401,1177.8908,0.1191,0
140,0,1177.6963,1185.1969,1185.5214,0.1155,0
141,0,1185.3449,1192.3913,1192.7278,0.1136,0
142,0,1192.5406,1199.9929,1200.3165,0.1134,0
143,0,1200.1414,1207.4609,1207.8165,0.1251,0
144,0,1207.6277,1214.7635,1215.1692,0.1290,0
145,0,1214.9309,1222.3654,1222.7565,0.1585,0
146,0,1222.5654,1229.9213,1230.2637,0.1128,0
