frame,interpolated,sample_ms,ready_ms,present_ms,gpu_wait_ms,caught_up
0,0,10.5500,17.3005,21.6273,3.3911,0
1,1,20.7240,24.7637,27.9897,2.9661,0
1,0,20.7240,24.7637,35.3187,0.0430,0
2,1,28.0809,31.4070,38.2291,2.7640,0
2,0,28.0809,31.4070,42.4943,1.9104,0
3,1,40.1692,43.2108,43.5240,0.1242,0
3,0,40.1692,43.2108,51.7785,0.0372,0
4,1,43.5980,46.9003,52.0304,0.0549,0
4,0,43.5980,46.9003,66.7657,0.0469,0
5,1,52.0988,55.2138,66.9457,0.0528,0
5,0,52.0988,55.2138,82.8534,0.0352,0
6,1,67.0018,70.0009,83.0554,0.0490,0
6,0,67.0018,70.0009,99.0469,0.0410,0
7,1,83.1203,86.5734,99.2424,0.0458,0
7,0,83.1203,86.5734,101.8510,0.0407,0
8,1,99.3075,102.4156,102.7550,0.1336,0
8,0,99.3075,102.4156,105.2711,0.0384,0
9,1,102.8157,105.8186,106.1823,0.1140,0
9,0,102.8157,105.8186,108.6173,0.0415,0
10,1,106.2680,109.0903,109.6174,0.3497,0
10,0,106.2680,109.0903,112.1444,0.0430,0
11,1,109.6849,112.6523,112.9206,0.1051,0
11,0,109.6849,112.6523,115.1923,0.0417,0
12,1,112.9843,115.8724,116.1517,0.1200,0
12,0,112.9843,115.8724,118.3366,0.0443,0
13,1,116.2147,119.3736,119.6555,0.1145,0
13,0,116.2147,119.3736,121.8015,0.0359,0
14,1,119.7121,122.6062,122.8789,0.1101,0
14,0,119.7121,122.6062,124.9550,0.0371,0
15,1,122.9351,125.6380,125.9253,0.1133,0
15,0,122.9351,125.6380,128.0142,0.3102,0
16,1,126.2548,128.6755,128.9885,0.1032,0
16,0,126.2548,128.6755,130.9553,0.1525,0
17,1,129.1776,132.4584,132.7873,0.1175,0
17,0,129.1776,132.4584,134.7293,0.0411,0
18,1,132.8523,135.9232,136.1811,0.1058,0
18,0,132.8523,135.9232,138.0792,0.0354,0
19,1,136.2351,139.2146,139.5412,0.1099,0
19,0,136.2351,139.2146,141.4319,0.0430,0
20,1,139.6047,142.2111,142.5043,0.1095,0
20,0,139.6047,142.2111,144.3636,0.0399,0
21,1,142.5977,145.7370,146.0731,0.1577,0
21,0,142.5977,145.7370,147.8960,0.0374,0
